# Unicode Characters in the Geometric Shapes Block
# Source: http://www.fileformat.info/info/unicode/block/geometric_shapes/list.htm
"U+25E0", "\xe2\x97\xa0", "UPPER HALF CIRCLE (U+25E0)"
"U+25E1", "\xe2\x97\xa1", "LOWER HALF CIRCLE (U+25E1)"
"U+25E2", "\xe2\x97\xa2", "BLACK LOWER RIGHT TRIANGLE (U+25E2)"
"U+25E3", "\xe2\x97\xa3", "BLACK LOWER LEFT TRIANGLE (U+25E3)"
"U+25E4", "\xe2\x97\xa4", "BLACK UPPER LEFT TRIANGLE (U+25E4)"
"U+25E5", "\xe2\x97\xa5", "BLACK UPPER RIGHT TRIANGLE (U+25E5)"
"U+25E6", "\xe2\x97\xa6", "WHITE BULLET (U+25E6)"
"U+25E7", "\xe2\x97\xa7", "SQUARE WITH LEFT HALF BLACK (U+25E7)"
"U+25E8", "\xe2\x97\xa8", "SQUARE WITH RIGHT HALF BLACK (U+25E8)"
"U+25E9", "\xe2\x97\xa9", "SQUARE WITH UPPER LEFT DIAGONAL HALF BLACK (U+25E9)"
"U+25EA", "\xe2\x97\xaa", "SQUARE WITH LOWER RIGHT DIAGONAL HALF BLACK (U+25EA)"
"U+25EB", "\xe2\x97\xab", "WHITE SQUARE WITH VERTICAL BISECTING LINE (U+25EB)"
"U+25EC", "\xe2\x97\xac", "WHITE UP-POINTING TRIANGLE WITH DOT (U+25EC)"
"U+25ED", "\xe2\x97\xad", "UP-POINTING TRIANGLE WITH LEFT HALF BLACK (U+25ED)"
"U+25EE", "\xe2\x97\xae", "UP-POINTING TRIANGLE WITH RIGHT HALF BLACK (U+25EE)"
"U+25EF", "\xe2\x97\xaf", "LARGE CIRCLE (U+25EF)"
"U+25F0", "\xe2\x97\xb0", "WHITE SQUARE WITH UPPER LEFT QUADRANT (U+25F0)"
"U+25F1", "\xe2\x97\xb1", "WHITE SQUARE WITH LOWER LEFT QUADRANT (U+25F1)"
"U+25F2", "\xe2\x97\xb2", "WHITE SQUARE WITH LOWER RIGHT QUADRANT (U+25F2)"
"U+25F3", "\xe2\x97\xb3", "WHITE SQUARE WITH UPPER RIGHT QUADRANT (U+25F3)"
"U+25F4", "\xe2\x97\xb4", "WHITE CIRCLE WITH UPPER LEFT QUADRANT (U+25F4)"
"U+25F5", "\xe2\x97\xb5", "WHITE CIRCLE WITH LOWER LEFT QUADRANT (U+25F5)"
"U+25F6", "\xe2\x97\xb6", "WHITE CIRCLE WITH LOWER RIGHT QUADRANT (U+25F6)"
"U+25F7", "\xe2\x97\xb7", "WHITE CIRCLE WITH UPPER RIGHT QUADRANT (U+25F7)"
"U+25F8", "\xe2\x97\xb8", "UPPER LEFT TRIANGLE (U+25F8)"
"U+25F9", "\xe2\x97\xb9", "UPPER RIGHT TRIANGLE (U+25F9)"
"U+25FA", "\xe2\x97\xba", "LOWER LEFT TRIANGLE (U+25FA)"
"U+25FB", "\xe2\x97\xbb", "WHITE MEDIUM SQUARE (U+25FB)"
"U+25FC", "\xe2\x97\xbc", "BLACK MEDIUM SQUARE (U+25FC)"
"U+25FD", "\xe2\x97\xbd", "WHITE MEDIUM SMALL SQUARE (U+25FD)"
"U+25FE", "\xe2\x97\xbe", "BLACK MEDIUM SMALL SQUARE (U+25FE)"
"U+25FF", "\xe2\x97\xbf", "LOWER RIGHT TRIANGLE (U+25FF)"
