# Unicode Characters in the Mongolian Block
# Source: http://www.fileformat.info/info/unicode/block/mongolian/list.htm
"U+184D", "\xe1\xa1\x8d", "MONGOLIAN LETTER TODO QA (U+184D)"
"U+184E", "\xe1\xa1\x8e", "MONGOLIAN LETTER TODO GA (U+184E)"
"U+184F", "\xe1\xa1\x8f", "MONGOLIAN LETTER TODO MA (U+184F)"
"U+1850", "\xe1\xa1\x90", "MONGOLIAN LETTER TODO TA (U+1850)"
"U+1851", "\xe1\xa1\x91", "MONGOLIAN LETTER TODO DA (U+1851)"
"U+1852", "\xe1\xa1\x92", "MONGOLIAN LETTER TODO CHA (U+1852)"
"U+1853", "\xe1\xa1\x93", "MONGOLIAN LETTER TODO JA (U+1853)"
"U+1854", "\xe1\xa1\x94", "MONGOLIAN LETTER TODO TSA (U+1854)"
"U+1855", "\xe1\xa1\x95", "MONGOLIAN LETTER TODO YA (U+1855)"
"U+1856", "\xe1\xa1\x96", "MONGOLIAN LETTER TODO WA (U+1856)"
"U+1857", "\xe1\xa1\x97", "MONGOLIAN LETTER TODO KA (U+1857)"
"U+1858", "\xe1\xa1\x98", "MONGOLIAN LETTER TODO GAA (U+1858)"
"U+1859", "\xe1\xa1\x99", "MONGOLIAN LETTER TODO HAA (U+1859)"
"U+185A", "\xe1\xa1\x9a", "MONGOLIAN LETTER TODO JIA (U+185A)"
"U+185B", "\xe1\xa1\x9b", "MONGOLIAN LETTER TODO NIA (U+185B)"
"U+185C", "\xe1\xa1\x9c", "MONGOLIAN LETTER TODO DZA (U+185C)"
"U+185D", "\xe1\xa1\x9d", "MONGOLIAN LETTER SIBE E (U+185D)"
"U+185E", "\xe1\xa1\x9e", "MONGOLIAN LETTER SIBE I (U+185E)"
"U+185F", "\xe1\xa1\x9f", "MONGOLIAN LETTER SIBE IY (U+185F)"
"U+1860", "\xe1\xa1\xa0", "MONGOLIAN LETTER SIBE UE (U+1860)"
"U+1861", "\xe1\xa1\xa1", "MONGOLIAN LETTER SIBE U (U+1861)"
"U+1862", "\xe1\xa1\xa2", "MONGOLIAN LETTER SIBE ANG (U+1862)"
"U+1863", "\xe1\xa1\xa3", "MONGOLIAN LETTER SIBE KA (U+1863)"
"U+1864", "\xe1\xa1\xa4", "MONGOLIAN LETTER SIBE GA (U+1864)"
"U+1865", "\xe1\xa1\xa5", "MONGOLIAN LETTER SIBE HA (U+1865)"
"U+1866", "\xe1\xa1\xa6", "MONGOLIAN LETTER SIBE PA (U+1866)"
"U+1867", "\xe1\xa1\xa7", "MONGOLIAN LETTER SIBE SHA (U+1867)"
"U+1868", "\xe1\xa1\xa8", "MONGOLIAN LETTER SIBE TA (U+1868)"
"U+1869", "\xe1\xa1\xa9", "MONGOLIAN LETTER SIBE DA (U+1869)"
"U+186A", "\xe1\xa1\xaa", "MONGOLIAN LETTER SIBE JA (U+186A)"
"U+186B", "\xe1\xa1\xab", "MONGOLIAN LETTER SIBE FA (U+186B)"
"U+186C", "\xe1\xa1\xac", "MONGOLIAN LETTER SIBE GAA (U+186C)"
"U+186D", "\xe1\xa1\xad", "MONGOLIAN LETTER SIBE HAA (U+186D)"
"U+186E", "\xe1\xa1\xae", "MONGOLIAN LETTER SIBE TSA (U+186E)"
"U+186F", "\xe1\xa1\xaf", "MONGOLIAN LETTER SIBE ZA (U+186F)"
"U+1870", "\xe1\xa1\xb0", "MONGOLIAN LETTER SIBE RAA (U+1870)"
"U+1871", "\xe1\xa1\xb1", "MONGOLIAN LETTER SIBE CHA (U+1871)"
"U+1872", "\xe1\xa1\xb2", "MONGOLIAN LETTER SIBE ZHA (U+1872)"
"U+1873", "\xe1\xa1\xb3", "MONGOLIAN LETTER MANCHU I (U+1873)"
"U+1874", "\xe1\xa1\xb4", "MONGOLIAN LETTER MANCHU KA (U+1874)"
"U+1875", "\xe1\xa1\xb5", "MONGOLIAN LETTER MANCHU RA (U+1875)"
"U+1876", "\xe1\xa1\xb6", "MONGOLIAN LETTER MANCHU FA (U+1876)"
"U+1877", "\xe1\xa1\xb7", "MONGOLIAN LETTER MANCHU ZHA (U+1877)"
