# CJK Compatibility Ideographs Supplement
U+2F840, \xf0\xaf\xa1\x80, CJK COMPATIBILITY IDEOGRAPH-2F840
U+2F841, \xf0\xaf\xa1\x81, CJK COMPATIBILITY IDEOGRAPH-2F841
U+2F842, \xf0\xaf\xa1\x82, CJK COMPATIBILITY IDEOGRAPH-2F842
U+2F843, \xf0\xaf\xa1\x83, CJK COMPATIBILITY IDEOGRAPH-2F843
U+2F844, \xf0\xaf\xa1\x84, CJK COMPATIBILITY IDEOGRAPH-2F844
U+2F845, \xf0\xaf\xa1\x85, CJK COMPATIBILITY IDEOGRAPH-2F845
U+2F846, \xf0\xaf\xa1\x86, CJK COMPATIBILITY IDEOGRAPH-2F846
U+2F847, \xf0\xaf\xa1\x87, CJK COMPATIBILITY IDEOGRAPH-2F847
U+2F848, \xf0\xaf\xa1\x88, CJK COMPATIBILITY IDEOGRAPH-2F848
U+2F849, \xf0\xaf\xa1\x89, CJK COMPATIBILITY IDEOGRAPH-2F849
U+2F84A, \xf0\xaf\xa1\x8a, CJK COMPATIBILITY IDEOGRAPH-2F84A
U+2F84B, \xf0\xaf\xa1\x8b, CJK COMPATIBILITY IDEOGRAPH-2F84B
U+2F84C, \xf0\xaf\xa1\x8c, CJK COMPATIBILITY IDEOGRAPH-2F84C
U+2F84D, \xf0\xaf\xa1\x8d, CJK COMPATIBILITY IDEOGRAPH-2F84D
U+2F84E, \xf0\xaf\xa1\x8e, CJK COMPATIBILITY IDEOGRAPH-2F84E
U+2F84F, \xf0\xaf\xa1\x8f, CJK COMPATIBILITY IDEOGRAPH-2F84F
U+2F850, \xf0\xaf\xa1\x90, CJK COMPATIBILITY IDEOGRAPH-2F850
U+2F851, \xf0\xaf\xa1\x91, CJK COMPATIBILITY IDEOGRAPH-2F851
U+2F852, \xf0\xaf\xa1\x92, CJK COMPATIBILITY IDEOGRAPH-2F852
U+2F853, \xf0\xaf\xa1\x93, CJK COMPATIBILITY IDEOGRAPH-2F853
U+2F854, \xf0\xaf\xa1\x94, CJK COMPATIBILITY IDEOGRAPH-2F854
U+2F855, \xf0\xaf\xa1\x95, CJK COMPATIBILITY IDEOGRAPH-2F855
U+2F856, \xf0\xaf\xa1\x96, CJK COMPATIBILITY IDEOGRAPH-2F856
U+2F857, \xf0\xaf\xa1\x97, CJK COMPATIBILITY IDEOGRAPH-2F857
U+2F858, \xf0\xaf\xa1\x98, CJK COMPATIBILITY IDEOGRAPH-2F858
U+2F859, \xf0\xaf\xa1\x99, CJK COMPATIBILITY IDEOGRAPH-2F859
U+2F85A, \xf0\xaf\xa1\x9a, CJK COMPATIBILITY IDEOGRAPH-2F85A
U+2F85B, \xf0\xaf\xa1\x9b, CJK COMPATIBILITY IDEOGRAPH-2F85B
U+2F85C, \xf0\xaf\xa1\x9c, CJK COMPATIBILITY IDEOGRAPH-2F85C
U+2F85D, \xf0\xaf\xa1\x9d, CJK COMPATIBILITY IDEOGRAPH-2F85D
U+2F85E, \xf0\xaf\xa1\x9e, CJK COMPATIBILITY IDEOGRAPH-2F85E
U+2F85F, \xf0\xaf\xa1\x9f, CJK COMPATIBILITY IDEOGRAPH-2F85F
U+2F860, \xf0\xaf\xa1\xa0, CJK COMPATIBILITY IDEOGRAPH-2F860
U+2F861, \xf0\xaf\xa1\xa1, CJK COMPATIBILITY IDEOGRAPH-2F861
U+2F862, \xf0\xaf\xa1\xa2, CJK COMPATIBILITY IDEOGRAPH-2F862
U+2F863, \xf0\xaf\xa1\xa3, CJK COMPATIBILITY IDEOGRAPH-2F863
U+2F864, \xf0\xaf\xa1\xa4, CJK COMPATIBILITY IDEOGRAPH-2F864
U+2F865, \xf0\xaf\xa1\xa5, CJK COMPATIBILITY IDEOGRAPH-2F865
U+2F866, \xf0\xaf\xa1\xa6, CJK COMPATIBILITY IDEOGRAPH-2F866
U+2F867, \xf0\xaf\xa1\xa7, CJK COMPATIBILITY IDEOGRAPH-2F867
U+2F868, \xf0\xaf\xa1\xa8, CJK COMPATIBILITY IDEOGRAPH-2F868
U+2F869, \xf0\xaf\xa1\xa9, CJK COMPATIBILITY IDEOGRAPH-2F869
U+2F86A, \xf0\xaf\xa1\xaa, CJK COMPATIBILITY IDEOGRAPH-2F86A
U+2F86B, \xf0\xaf\xa1\xab, CJK COMPATIBILITY IDEOGRAPH-2F86B
U+2F86C, \xf0\xaf\xa1\xac, CJK COMPATIBILITY IDEOGRAPH-2F86C
U+2F86D, \xf0\xaf\xa1\xad, CJK COMPATIBILITY IDEOGRAPH-2F86D
U+2F86E, \xf0\xaf\xa1\xae, CJK COMPATIBILITY IDEOGRAPH-2F86E
U+2F86F, \xf0\xaf\xa1\xaf, CJK COMPATIBILITY IDEOGRAPH-2F86F
U+2F870, \xf0\xaf\xa1\xb0, CJK COMPATIBILITY IDEOGRAPH-2F870
U+2F871, \xf0\xaf\xa1\xb1, CJK COMPATIBILITY IDEOGRAPH-2F871
U+2F872, \xf0\xaf\xa1\xb2, CJK COMPATIBILITY IDEOGRAPH-2F872
