# Enclosed Ideographic Supplement
U+1F22F, \xf0\x9f\x88\xaf, SQUARED CJK UNIFIED IDEOGRAPH-6307
U+1F230, \xf0\x9f\x88\xb0, SQUARED CJK UNIFIED IDEOGRAPH-8D70
U+1F231, \xf0\x9f\x88\xb1, SQUARED CJK UNIFIED IDEOGRAPH-6253
U+1F232, \xf0\x9f\x88\xb2, SQUARED CJK UNIFIED IDEOGRAPH-7981
U+1F233, \xf0\x9f\x88\xb3, SQUARED CJK UNIFIED IDEOGRAPH-7A7A
U+1F234, \xf0\x9f\x88\xb4, SQUARED CJK UNIFIED IDEOGRAPH-5408
U+1F235, \xf0\x9f\x88\xb5, SQUARED CJK UNIFIED IDEOGRAPH-6E80
U+1F236, \xf0\x9f\x88\xb6, SQUARED CJK UNIFIED IDEOGRAPH-6709
U+1F237, \xf0\x9f\x88\xb7, SQUARED CJK UNIFIED IDEOGRAPH-6708
U+1F238, \xf0\x9f\x88\xb8, SQUARED CJK UNIFIED IDEOGRAPH-7533
U+1F239, \xf0\x9f\x88\xb9, SQUARED CJK UNIFIED IDEOGRAPH-5272
U+1F23A, \xf0\x9f\x88\xba, SQUARED CJK UNIFIED IDEOGRAPH-55B6
U+1F240, \xf0\x9f\x89\x80, TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-672C
U+1F241, \xf0\x9f\x89\x81, TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-4E09
U+1F242, \xf0\x9f\x89\x82, TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-4E8C
U+1F243, \xf0\x9f\x89\x83, TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-5B89
U+1F244, \xf0\x9f\x89\x84, TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-70B9
U+1F245, \xf0\x9f\x89\x85, TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-6253
U+1F246, \xf0\x9f\x89\x86, TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-76D7
U+1F247, \xf0\x9f\x89\x87, TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-52DD
U+1F248, \xf0\x9f\x89\x88, TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-6557
U+1F250, \xf0\x9f\x89\x90, CIRCLED IDEOGRAPH ADVANTAGE
U+1F251, \xf0\x9f\x89\x91, CIRCLED IDEOGRAPH ACCEPT
