# Tai Le
U+19EF, \xe1\xa7\xaf, KHMER SYMBOL DAP-PRAM KOET
U+19F0, \xe1\xa7\xb0, KHMER SYMBOL TUTEYASAT
U+19F1, \xe1\xa7\xb1, KHMER SYMBOL MUOY ROC
U+19F2, \xe1\xa7\xb2, KHMER SYMBOL PII ROC
U+19F3, \xe1\xa7\xb3, KHMER SYMBOL BEI ROC
U+19F4, \xe1\xa7\xb4, KHMER SYMBOL BUON ROC
U+19F5, \xe1\xa7\xb5, KHMER SYMBOL PRAM ROC
U+19F6, \xe1\xa7\xb6, KHMER SYMBOL PRAM-MUOY ROC
U+19F7, \xe1\xa7\xb7, KHMER SYMBOL PRAM-PII ROC
U+19F8, \xe1\xa7\xb8, KHMER SYMBOL PRAM-BEI ROC
U+19F9, \xe1\xa7\xb9, KHMER SYMBOL PRAM-BUON ROC
U+19FA, \xe1\xa7\xba, KHMER SYMBOL DAP ROC
U+19FB, \xe1\xa7\xbb, KHMER SYMBOL DAP-MUOY ROC
U+19FC, \xe1\xa7\xbc, KHMER SYMBOL DAP-PII ROC
U+19FD, \xe1\xa7\xbd, KHMER SYMBOL DAP-BEI ROC
U+19FE, \xe1\xa7\xbe, KHMER SYMBOL DAP-BUON ROC
U+19FF, \xe1\xa7\xbf, KHMER SYMBOL DAP-PRAM ROC
U+1A00, \xe1\xa8\x80, BUGINESE LETTER KA
U+1A01, \xe1\xa8\x81, BUGINESE LETTER GA
U+1A02, \xe1\xa8\x82, BUGINESE LETTER NGA
U+1A03, \xe1\xa8\x83, BUGINESE LETTER NGKA
U+1A04, \xe1\xa8\x84, BUGINESE LETTER PA
U+1A05, \xe1\xa8\x85, BUGINESE LETTER BA
U+1A06, \xe1\xa8\x86, BUGINESE LETTER MA
U+1A07, \xe1\xa8\x87, BUGINESE LETTER MPA
U+1A08, \xe1\xa8\x88, BUGINESE LETTER TA
U+1A09, \xe1\xa8\x89, BUGINESE LETTER DA
U+1A0A, \xe1\xa8\x8a, BUGINESE LETTER NA
U+1A0B, \xe1\xa8\x8b, BUGINESE LETTER NRA
U+1A0C, \xe1\xa8\x8c, BUGINESE LETTER CA
U+1A0D, \xe1\xa8\x8d, BUGINESE LETTER JA
U+1A0E, \xe1\xa8\x8e, BUGINESE LETTER NYA
U+1A0F, \xe1\xa8\x8f, BUGINESE LETTER NYCA
U+1A10, \xe1\xa8\x90, BUGINESE LETTER YA
U+1A11, \xe1\xa8\x91, BUGINESE LETTER RA
U+1A12, \xe1\xa8\x92, BUGINESE LETTER LA
U+1A13, \xe1\xa8\x93, BUGINESE LETTER VA
U+1A14, \xe1\xa8\x94, BUGINESE LETTER SA
U+1A15, \xe1\xa8\x95, BUGINESE LETTER A
U+1A16, \xe1\xa8\x96, BUGINESE LETTER HA
U+1A17, \xe1\xa8\x97, BUGINESE VOWEL SIGN I
U+1A18, \xe1\xa8\x98, BUGINESE VOWEL SIGN U
U+1A19, \xe1\xa8\x99, BUGINESE VOWEL SIGN E
U+1A1A, \xe1\xa8\x9a, BUGINESE VOWEL SIGN O
U+1A1B, \xe1\xa8\x9b, BUGINESE VOWEL SIGN AE
U+1A1E, \xe1\xa8\x9e, BUGINESE PALLAWA
U+1A1F, \xe1\xa8\x9f, BUGINESE END OF SECTION
U+1A20, \xe1\xa8\xa0, TAI THAM LETTER HIGH KA
U+1A21, \xe1\xa8\xa1, TAI THAM LETTER HIGH KHA
U+1A22, \xe1\xa8\xa2, TAI THAM LETTER HIGH KXA
U+1A23, \xe1\xa8\xa3, TAI THAM LETTER LOW KA
U+1A24, \xe1\xa8\xa4, TAI THAM LETTER LOW KXA
U+1A25, \xe1\xa8\xa5, TAI THAM LETTER LOW KHA
U+1A26, \xe1\xa8\xa6, TAI THAM LETTER NGA
U+1A27, \xe1\xa8\xa7, TAI THAM LETTER HIGH CA
U+1A28, \xe1\xa8\xa8, TAI THAM LETTER HIGH CHA
U+1A29, \xe1\xa8\xa9, TAI THAM LETTER LOW CA
U+1A2A, \xe1\xa8\xaa, TAI THAM LETTER LOW SA
U+1A2B, \xe1\xa8\xab, TAI THAM LETTER LOW CHA
U+1A2C, \xe1\xa8\xac, TAI THAM LETTER NYA
U+1A2D, \xe1\xa8\xad, TAI THAM LETTER RATA
U+1A2E, \xe1\xa8\xae, TAI THAM LETTER HIGH RATHA
U+1A2F, \xe1\xa8\xaf, TAI THAM LETTER DA
U+1A30, \xe1\xa8\xb0, TAI THAM LETTER LOW RATHA
U+1A31, \xe1\xa8\xb1, TAI THAM LETTER RANA
U+1A32, \xe1\xa8\xb2, TAI THAM LETTER HIGH TA
U+1A33, \xe1\xa8\xb3, TAI THAM LETTER HIGH THA
U+1A34, \xe1\xa8\xb4, TAI THAM LETTER LOW TA
U+1A35, \xe1\xa8\xb5, TAI THAM LETTER LOW THA
U+1A36, \xe1\xa8\xb6, TAI THAM LETTER NA
U+1A37, \xe1\xa8\xb7, TAI THAM LETTER BA
U+1A38, \xe1\xa8\xb8, TAI THAM LETTER HIGH PA
U+1A39, \xe1\xa8\xb9, TAI THAM LETTER HIGH PHA
U+1A3A, \xe1\xa8\xba, TAI THAM LETTER HIGH FA
U+1A3B, \xe1\xa8\xbb, TAI THAM LETTER LOW PA
U+1A3C, \xe1\xa8\xbc, TAI THAM LETTER LOW FA
U+1A3D, \xe1\xa8\xbd, TAI THAM LETTER LOW PHA
U+1A3E, \xe1\xa8\xbe, TAI THAM LETTER MA
U+1A3F, \xe1\xa8\xbf, TAI THAM LETTER LOW YA
U+1A40, \xe1\xa9\x80, TAI THAM LETTER HIGH YA
U+1A41, \xe1\xa9\x81, TAI THAM LETTER RA
U+1A42, \xe1\xa9\x82, TAI THAM LETTER RUE
U+1A43, \xe1\xa9\x83, TAI THAM LETTER LA
