# Kayah Li
U+A9B0, \xea\xa6\xb0, JAVANESE LETTER SA MAHAPRANA
U+A9B1, \xea\xa6\xb1, JAVANESE LETTER SA
U+A9B2, \xea\xa6\xb2, JAVANESE LETTER HA
U+A9B3, \xea\xa6\xb3, JAVANESE SIGN CECAK TELU
U+A9B4, \xea\xa6\xb4, JAVANESE VOWEL SIGN TARUNG
U+A9B5, \xea\xa6\xb5, JAVANESE VOWEL SIGN TOLONG
U+A9B6, \xea\xa6\xb6, JAVANESE VOWEL SIGN WULU
U+A9B7, \xea\xa6\xb7, JAVANESE VOWEL SIGN WULU MELIK
U+A9B8, \xea\xa6\xb8, JAVANESE VOWEL SIGN SUKU
U+A9B9, \xea\xa6\xb9, JAVANESE VOWEL SIGN SUKU MENDUT
U+A9BA, \xea\xa6\xba, JAVANESE VOWEL SIGN TALING
U+A9BB, \xea\xa6\xbb, JAVANESE VOWEL SIGN DIRGA MURE
U+A9BC, \xea\xa6\xbc, JAVANESE VOWEL SIGN PEPET
U+A9BD, \xea\xa6\xbd, JAVANESE CONSONANT SIGN KERET
U+A9BE, \xea\xa6\xbe, JAVANESE CONSONANT SIGN PENGKAL
U+A9BF, \xea\xa6\xbf, JAVANESE CONSONANT SIGN CAKRA
U+A9C0, \xea\xa7\x80, JAVANESE PANGKON
U+A9C1, \xea\xa7\x81, JAVANESE LEFT RERENGGAN
U+A9C2, \xea\xa7\x82, JAVANESE RIGHT RERENGGAN
U+A9C3, \xea\xa7\x83, JAVANESE PADA ANDAP
U+A9C4, \xea\xa7\x84, JAVANESE PADA MADYA
U+A9C5, \xea\xa7\x85, JAVANESE PADA LUHUR
U+A9C6, \xea\xa7\x86, JAVANESE PADA WINDU
U+A9C7, \xea\xa7\x87, JAVANESE PADA PANGKAT
U+A9C8, \xea\xa7\x88, JAVANESE PADA LINGSA
U+A9C9, \xea\xa7\x89, JAVANESE PADA LUNGSI
U+A9CA, \xea\xa7\x8a, JAVANESE PADA ADEG
U+A9CB, \xea\xa7\x8b, JAVANESE PADA ADEG ADEG
U+A9CC, \xea\xa7\x8c, JAVANESE PADA PISELEH
U+A9CD, \xea\xa7\x8d, JAVANESE TURNED PADA PISELEH
U+A9CF, \xea\xa7\x8f, JAVANESE PANGRANGKEP
U+A9D0, \xea\xa7\x90, JAVANESE DIGIT ZERO
U+A9D1, \xea\xa7\x91, JAVANESE DIGIT ONE
U+A9D2, \xea\xa7\x92, JAVANESE DIGIT TWO
U+A9D3, \xea\xa7\x93, JAVANESE DIGIT THREE
U+A9D4, \xea\xa7\x94, JAVANESE DIGIT FOUR
U+A9D5, \xea\xa7\x95, JAVANESE DIGIT FIVE
U+A9D6, \xea\xa7\x96, JAVANESE DIGIT SIX
U+A9D7, \xea\xa7\x97, JAVANESE DIGIT SEVEN
U+A9D8, \xea\xa7\x98, JAVANESE DIGIT EIGHT
U+A9D9, \xea\xa7\x99, JAVANESE DIGIT NINE
U+A9DE, \xea\xa7\x9e, JAVANESE PADA TIRTA TUMETES
U+A9DF, \xea\xa7\x9f, JAVANESE PADA ISEN-ISEN
