# Unicode Characters in the Combining Diacritical Marks Block
# Source: http://www.fileformat.info/info/unicode/block/combining_diacritical_marks/list.htm
"U+034D", "\xcd\x8d", "COMBINING LEFT RIGHT ARROW BELOW (U+034D)"
"U+034E", "\xcd\x8e", "COMBINING UPWARDS ARROW BELOW (U+034E)"
"U+034F", "\xcd\x8f", "COMBINING GRAPHEME JOINER (U+034F)"
"U+0350", "\xcd\x90", "COMBINING RIGHT ARROWHEAD ABOVE (U+0350)"
"U+0351", "\xcd\x91", "COMBINING LEFT HALF RING ABOVE (U+0351)"
"U+0352", "\xcd\x92", "COMBINING FERMATA (U+0352)"
"U+0353", "\xcd\x93", "COMBINING X BELOW (U+0353)"
"U+0354", "\xcd\x94", "COMBINING LEFT ARROWHEAD BELOW (U+0354)"
"U+0355", "\xcd\x95", "COMBINING RIGHT ARROWHEAD BELOW (U+0355)"
"U+0356", "\xcd\x96", "COMBINING RIGHT ARROWHEAD AND UP ARROWHEAD BELOW (U+0356)"
"U+0357", "\xcd\x97", "COMBINING RIGHT HALF RING ABOVE (U+0357)"
"U+0358", "\xcd\x98", "COMBINING DOT ABOVE RIGHT (U+0358)"
"U+0359", "\xcd\x99", "COMBINING ASTERISK BELOW (U+0359)"
"U+035A", "\xcd\x9a", "COMBINING DOUBLE RING BELOW (U+035A)"
"U+035B", "\xcd\x9b", "COMBINING ZIGZAG ABOVE (U+035B)"
"U+035C", "\xcd\x9c", "COMBINING DOUBLE BREVE BELOW (U+035C)"
"U+035D", "\xcd\x9d", "COMBINING DOUBLE BREVE (U+035D)"
"U+035E", "\xcd\x9e", "COMBINING DOUBLE MACRON (U+035E)"
"U+035F", "\xcd\x9f", "COMBINING DOUBLE MACRON BELOW (U+035F)"
"U+0360", "\xcd\xa0", "COMBINING DOUBLE TILDE (U+0360)"
"U+0361", "\xcd\xa1", "COMBINING DOUBLE INVERTED BREVE (U+0361)"
"U+0362", "\xcd\xa2", "COMBINING DOUBLE RIGHTWARDS ARROW BELOW (U+0362)"
"U+0363", "\xcd\xa3", "COMBINING LATIN SMALL LETTER A (U+0363)"
"U+0364", "\xcd\xa4", "COMBINING LATIN SMALL LETTER E (U+0364)"
"U+0365", "\xcd\xa5", "COMBINING LATIN SMALL LETTER I (U+0365)"
"U+0366", "\xcd\xa6", "COMBINING LATIN SMALL LETTER O (U+0366)"
"U+0367", "\xcd\xa7", "COMBINING LATIN SMALL LETTER U (U+0367)"
"U+0368", "\xcd\xa8", "COMBINING LATIN SMALL LETTER C (U+0368)"
"U+0369", "\xcd\xa9", "COMBINING LATIN SMALL LETTER D (U+0369)"
"U+036A", "\xcd\xaa", "COMBINING LATIN SMALL LETTER H (U+036A)"
"U+036B", "\xcd\xab", "COMBINING LATIN SMALL LETTER M (U+036B)"
"U+036C", "\xcd\xac", "COMBINING LATIN SMALL LETTER R (U+036C)"
"U+036D", "\xcd\xad", "COMBINING LATIN SMALL LETTER T (U+036D)"
"U+036E", "\xcd\xae", "COMBINING LATIN SMALL LETTER V (U+036E)"
"U+036F", "\xcd\xaf", "COMBINING LATIN SMALL LETTER X (U+036F)"
