# Unicode Characters in the Enclosed Alphanumerics Block
# Source: http://www.fileformat.info/info/unicode/block/enclosed_alphanumerics/list.htm
"U+24A4", "\xe2\x92\xa4", "PARENTHESIZED LATIN SMALL LETTER I (U+24A4)"
"U+24A5", "\xe2\x92\xa5", "PARENTHESIZED LATIN SMALL LETTER J (U+24A5)"
"U+24A6", "\xe2\x92\xa6", "PARENTHESIZED LATIN SMALL LETTER K (U+24A6)"
"U+24A7", "\xe2\x92\xa7", "PARENTHESIZED LATIN SMALL LETTER L (U+24A7)"
"U+24A8", "\xe2\x92\xa8", "PARENTHESIZED LATIN SMALL LETTER M (U+24A8)"
"U+24A9", "\xe2\x92\xa9", "PARENTHESIZED LATIN SMALL LETTER N (U+24A9)"
"U+24AA", "\xe2\x92\xaa", "PARENTHESIZED LATIN SMALL LETTER O (U+24AA)"
"U+24AB", "\xe2\x92\xab", "PARENTHESIZED LATIN SMALL LETTER P (U+24AB)"
"U+24AC", "\xe2\x92\xac", "PARENTHESIZED LATIN SMALL LETTER Q (U+24AC)"
"U+24AD", "\xe2\x92\xad", "PARENTHESIZED LATIN SMALL LETTER R (U+24AD)"
"U+24AE", "\xe2\x92\xae", "PARENTHESIZED LATIN SMALL LETTER S (U+24AE)"
"U+24AF", "\xe2\x92\xaf", "PARENTHESIZED LATIN SMALL LETTER T (U+24AF)"
"U+24B0", "\xe2\x92\xb0", "PARENTHESIZED LATIN SMALL LETTER U (U+24B0)"
"U+24B1", "\xe2\x92\xb1", "PARENTHESIZED LATIN SMALL LETTER V (U+24B1)"
"U+24B2", "\xe2\x92\xb2", "PARENTHESIZED LATIN SMALL LETTER W (U+24B2)"
"U+24B3", "\xe2\x92\xb3", "PARENTHESIZED LATIN SMALL LETTER X (U+24B3)"
"U+24B4", "\xe2\x92\xb4", "PARENTHESIZED LATIN SMALL LETTER Y (U+24B4)"
"U+24B5", "\xe2\x92\xb5", "PARENTHESIZED LATIN SMALL LETTER Z (U+24B5)"
"U+24B6", "\xe2\x92\xb6", "CIRCLED LATIN CAPITAL LETTER A (U+24B6)"
"U+24B7", "\xe2\x92\xb7", "CIRCLED LATIN CAPITAL LETTER B (U+24B7)"
"U+24B8", "\xe2\x92\xb8", "CIRCLED LATIN CAPITAL LETTER C (U+24B8)"
"U+24B9", "\xe2\x92\xb9", "CIRCLED LATIN CAPITAL LETTER D (U+24B9)"
"U+24BA", "\xe2\x92\xba", "CIRCLED LATIN CAPITAL LETTER E (U+24BA)"
"U+24BB", "\xe2\x92\xbb", "CIRCLED LATIN CAPITAL LETTER F (U+24BB)"
"U+24BC", "\xe2\x92\xbc", "CIRCLED LATIN CAPITAL LETTER G (U+24BC)"
"U+24BD", "\xe2\x92\xbd", "CIRCLED LATIN CAPITAL LETTER H (U+24BD)"
"U+24BE", "\xe2\x92\xbe", "CIRCLED LATIN CAPITAL LETTER I (U+24BE)"
"U+24BF", "\xe2\x92\xbf", "CIRCLED LATIN CAPITAL LETTER J (U+24BF)"
"U+24C0", "\xe2\x93\x80", "CIRCLED LATIN CAPITAL LETTER K (U+24C0)"
"U+24C1", "\xe2\x93\x81", "CIRCLED LATIN CAPITAL LETTER L (U+24C1)"
"U+24C2", "\xe2\x93\x82", "CIRCLED LATIN CAPITAL LETTER M (U+24C2)"
"U+24C3", "\xe2\x93\x83", "CIRCLED LATIN CAPITAL LETTER N (U+24C3)"
"U+24C4", "\xe2\x93\x84", "CIRCLED LATIN CAPITAL LETTER O (U+24C4)"
"U+24C5", "\xe2\x93\x85", "CIRCLED LATIN CAPITAL LETTER P (U+24C5)"
"U+24C6", "\xe2\x93\x86", "CIRCLED LATIN CAPITAL LETTER Q (U+24C6)"
"U+24C7", "\xe2\x93\x87", "CIRCLED LATIN CAPITAL LETTER R (U+24C7)"
"U+24C8", "\xe2\x93\x88", "CIRCLED LATIN CAPITAL LETTER S (U+24C8)"
"U+24C9", "\xe2\x93\x89", "CIRCLED LATIN CAPITAL LETTER T (U+24C9)"
"U+24CA", "\xe2\x93\x8a", "CIRCLED LATIN CAPITAL LETTER U (U+24CA)"
"U+24CB", "\xe2\x93\x8b", "CIRCLED LATIN CAPITAL LETTER V (U+24CB)"
"U+24CC", "\xe2\x93\x8c", "CIRCLED LATIN CAPITAL LETTER W (U+24CC)"
"U+24CD", "\xe2\x93\x8d", "CIRCLED LATIN CAPITAL LETTER X (U+24CD)"
"U+24CE", "\xe2\x93\x8e", "CIRCLED LATIN CAPITAL LETTER Y (U+24CE)"
"U+24CF", "\xe2\x93\x8f", "CIRCLED LATIN CAPITAL LETTER Z (U+24CF)"
"U+24D0", "\xe2\x93\x90", "CIRCLED LATIN SMALL LETTER A (U+24D0)"
"U+24D1", "\xe2\x93\x91", "CIRCLED LATIN SMALL LETTER B (U+24D1)"
"U+24D2", "\xe2\x93\x92", "CIRCLED LATIN SMALL LETTER C (U+24D2)"
"U+24D3", "\xe2\x93\x93", "CIRCLED LATIN SMALL LETTER D (U+24D3)"
"U+24D4", "\xe2\x93\x94", "CIRCLED LATIN SMALL LETTER E (U+24D4)"
"U+24D5", "\xe2\x93\x95", "CIRCLED LATIN SMALL LETTER F (U+24D5)"
"U+24D6", "\xe2\x93\x96", "CIRCLED LATIN SMALL LETTER G (U+24D6)"
"U+24D7", "\xe2\x93\x97", "CIRCLED LATIN SMALL LETTER H (U+24D7)"
"U+24D8", "\xe2\x93\x98", "CIRCLED LATIN SMALL LETTER I (U+24D8)"
"U+24D9", "\xe2\x93\x99", "CIRCLED LATIN SMALL LETTER J (U+24D9)"
"U+24DA", "\xe2\x93\x9a", "CIRCLED LATIN SMALL LETTER K (U+24DA)"
"U+24DB", "\xe2\x93\x9b", "CIRCLED LATIN SMALL LETTER L (U+24DB)"
"U+24DC", "\xe2\x93\x9c", "CIRCLED LATIN SMALL LETTER M (U+24DC)"
"U+24DD", "\xe2\x93\x9d", "CIRCLED LATIN SMALL LETTER N (U+24DD)"
"U+24DE", "\xe2\x93\x9e", "CIRCLED LATIN SMALL LETTER O (U+24DE)"
"U+24DF", "\xe2\x93\x9f", "CIRCLED LATIN SMALL LETTER P (U+24DF)"
"U+24E0", "\xe2\x93\xa0", "CIRCLED LATIN SMALL LETTER Q (U+24E0)"
"U+24E1", "\xe2\x93\xa1", "CIRCLED LATIN SMALL LETTER R (U+24E1)"
"U+24E2", "\xe2\x93\xa2", "CIRCLED LATIN SMALL LETTER S (U+24E2)"
"U+24E3", "\xe2\x93\xa3", "CIRCLED LATIN SMALL LETTER T (U+24E3)"
"U+24E4", "\xe2\x93\xa4", "CIRCLED LATIN SMALL LETTER U (U+24E4)"
"U+24E5", "\xe2\x93\xa5", "CIRCLED LATIN SMALL LETTER V (U+24E5)"
"U+24E6", "\xe2\x93\xa6", "CIRCLED LATIN SMALL LETTER W (U+24E6)"
"U+24E7", "\xe2\x93\xa7", "CIRCLED LATIN SMALL LETTER X (U+24E7)"
"U+24E8", "\xe2\x93\xa8", "CIRCLED LATIN SMALL LETTER Y (U+24E8)"
"U+24E9", "\xe2\x93\xa9", "CIRCLED LATIN SMALL LETTER Z (U+24E9)"
"U+24EA", "\xe2\x93\xaa", "CIRCLED DIGIT ZERO (U+24EA)"
"U+24EB", "\xe2\x93\xab", "NEGATIVE CIRCLED NUMBER ELEVEN (U+24EB)"
"U+24EC", "\xe2\x93\xac", "NEGATIVE CIRCLED NUMBER TWELVE (U+24EC)"
"U+24ED", "\xe2\x93\xad", "NEGATIVE CIRCLED NUMBER THIRTEEN (U+24ED)"
"U+24EE", "\xe2\x93\xae", "NEGATIVE CIRCLED NUMBER FOURTEEN (U+24EE)"
"U+24EF", "\xe2\x93\xaf", "NEGATIVE CIRCLED NUMBER FIFTEEN (U+24EF)"
"U+24F0", "\xe2\x93\xb0", "NEGATIVE CIRCLED NUMBER SIXTEEN (U+24F0)"
"U+24F1", "\xe2\x93\xb1", "NEGATIVE CIRCLED NUMBER SEVENTEEN (U+24F1)"
"U+24F2", "\xe2\x93\xb2", "NEGATIVE CIRCLED NUMBER EIGHTEEN (U+24F2)"
"U+24F3", "\xe2\x93\xb3", "NEGATIVE CIRCLED NUMBER NINETEEN (U+24F3)"
"U+24F4", "\xe2\x93\xb4", "NEGATIVE CIRCLED NUMBER TWENTY (U+24F4)"
"U+24F5", "\xe2\x93\xb5", "DOUBLE CIRCLED DIGIT ONE (U+24F5)"
"U+24F6", "\xe2\x93\xb6", "DOUBLE CIRCLED DIGIT TWO (U+24F6)"
"U+24F7", "\xe2\x93\xb7", "DOUBLE CIRCLED DIGIT THREE (U+24F7)"
"U+24F8", "\xe2\x93\xb8", "DOUBLE CIRCLED DIGIT FOUR (U+24F8)"
"U+24F9", "\xe2\x93\xb9", "DOUBLE CIRCLED DIGIT FIVE (U+24F9)"
"U+24FA", "\xe2\x93\xba", "DOUBLE CIRCLED DIGIT SIX (U+24FA)"
"U+24FB", "\xe2\x93\xbb", "DOUBLE CIRCLED DIGIT SEVEN (U+24FB)"
"U+24FC", "\xe2\x93\xbc", "DOUBLE CIRCLED DIGIT EIGHT (U+24FC)"
"U+24FD", "\xe2\x93\xbd", "DOUBLE CIRCLED DIGIT NINE (U+24FD)"
"U+24FE", "\xe2\x93\xbe", "DOUBLE CIRCLED NUMBER TEN (U+24FE)"
"U+24FF", "\xe2\x93\xbf", "NEGATIVE CIRCLED DIGIT ZERO (U+24FF)"
