# Unicode Characters in the General Punctuation Block
# Source: http://www.fileformat.info/info/unicode/block/general_punctuation/list.htm
"U+2044", "\xe2\x81\x84", "FRACTION SLASH (U+2044)"
"U+2045", "\xe2\x81\x85", "LEFT SQUARE BRACKET WITH QUILL (U+2045)"
"U+2046", "\xe2\x81\x86", "RIGHT SQUARE BRACKET WITH QUILL (U+2046)"
"U+2047", "\xe2\x81\x87", "DOUBLE QUESTION MARK (U+2047)"
"U+2048", "\xe2\x81\x88", "QUESTION EXCLAMATION MARK (U+2048)"
"U+2049", "\xe2\x81\x89", "EXCLAMATION QUESTION MARK (U+2049)"
"U+204A", "\xe2\x81\x8a", "TIRONIAN SIGN ET (U+204A)"
"U+204B", "\xe2\x81\x8b", "REVERSED PILCROW SIGN (U+204B)"
"U+204C", "\xe2\x81\x8c", "BLACK LEFTWARDS BULLET (U+204C)"
"U+204D", "\xe2\x81\x8d", "BLACK RIGHTWARDS BULLET (U+204D)"
"U+204E", "\xe2\x81\x8e", "LOW ASTERISK (U+204E)"
"U+204F", "\xe2\x81\x8f", "REVERSED SEMICOLON (U+204F)"
"U+2050", "\xe2\x81\x90", "CLOSE UP (U+2050)"
"U+2051", "\xe2\x81\x91", "TWO ASTERISKS ALIGNED VERTICALLY (U+2051)"
"U+2052", "\xe2\x81\x92", "COMMERCIAL MINUS SIGN (U+2052)"
"U+2053", "\xe2\x81\x93", "SWUNG DASH (U+2053)"
"U+2054", "\xe2\x81\x94", "INVERTED UNDERTIE (U+2054)"
"U+2055", "\xe2\x81\x95", "FLOWER PUNCTUATION MARK (U+2055)"
"U+2056", "\xe2\x81\x96", "THREE DOT PUNCTUATION (U+2056)"
"U+2057", "\xe2\x81\x97", "QUADRUPLE PRIME (U+2057)"
"U+2058", "\xe2\x81\x98", "FOUR DOT PUNCTUATION (U+2058)"
"U+2059", "\xe2\x81\x99", "FIVE DOT PUNCTUATION (U+2059)"
"U+205A", "\xe2\x81\x9a", "TWO DOT PUNCTUATION (U+205A)"
"U+205B", "\xe2\x81\x9b", "FOUR DOT MARK (U+205B)"
"U+205C", "\xe2\x81\x9c", "DOTTED CROSS (U+205C)"
"U+205D", "\xe2\x81\x9d", "TRICOLON (U+205D)"
"U+205E", "\xe2\x81\x9e", "VERTICAL FOUR DOTS (U+205E)"
"U+205F", "\xe2\x81\x9f", "MEDIUM MATHEMATICAL SPACE (U+205F)"
"U+2060", "\xe2\x81\xa0", "WORD JOINER (U+2060)"
"U+2061", "\xe2\x81\xa1", "FUNCTION APPLICATION (U+2061)"
"U+2062", "\xe2\x81\xa2", "INVISIBLE TIMES (U+2062)"
"U+2063", "\xe2\x81\xa3", "INVISIBLE SEPARATOR (U+2063)"
"U+2064", "\xe2\x81\xa4", "INVISIBLE PLUS (U+2064)"
"U+206A", "\xe2\x81\xaa", "INHIBIT SYMMETRIC SWAPPING (U+206A)"
"U+206B", "\xe2\x81\xab", "ACTIVATE SYMMETRIC SWAPPING (U+206B)"
"U+206C", "\xe2\x81\xac", "INHIBIT ARABIC FORM SHAPING (U+206C)"
"U+206D", "\xe2\x81\xad", "ACTIVATE ARABIC FORM SHAPING (U+206D)"
"U+206E", "\xe2\x81\xae", "NATIONAL DIGIT SHAPES (U+206E)"
"U+206F", "\xe2\x81\xaf", "NOMINAL DIGIT SHAPES (U+206F)"
