# Unicode Characters in the Gujarati Block
# Source: http://www.fileformat.info/info/unicode/block/gujarati/list.htm
"U+0AE0", "\xe0\xab\xa0", "GUJARATI LETTER VOCALIC RR (U+0AE0)"
"U+0AE1", "\xe0\xab\xa1", "GUJARATI LETTER VOCALIC LL (U+0AE1)"
"U+0AE2", "\xe0\xab\xa2", "GUJARATI VOWEL SIGN VOCALIC L (U+0AE2)"
"U+0AE3", "\xe0\xab\xa3", "GUJARATI VOWEL SIGN VOCALIC LL (U+0AE3)"
"U+0AE6", "\xe0\xab\xa6", "GUJARATI DIGIT ZERO (U+0AE6)"
"U+0AE7", "\xe0\xab\xa7", "GUJARATI DIGIT ONE (U+0AE7)"
"U+0AE8", "\xe0\xab\xa8", "GUJARATI DIGIT TWO (U+0AE8)"
"U+0AE9", "\xe0\xab\xa9", "GUJARATI DIGIT THREE (U+0AE9)"
"U+0AEA", "\xe0\xab\xaa", "GUJARATI DIGIT FOUR (U+0AEA)"
"U+0AEB", "\xe0\xab\xab", "GUJARATI DIGIT FIVE (U+0AEB)"
"U+0AEC", "\xe0\xab\xac", "GUJARATI DIGIT SIX (U+0AEC)"
"U+0AED", "\xe0\xab\xad", "GUJARATI DIGIT SEVEN (U+0AED)"
"U+0AEE", "\xe0\xab\xae", "GUJARATI DIGIT EIGHT (U+0AEE)"
"U+0AEF", "\xe0\xab\xaf", "GUJARATI DIGIT NINE (U+0AEF)"
"U+0AF0", "\xe0\xab\xb0", "GUJARATI ABBREVIATION SIGN (U+0AF0)"
"U+0AF1", "\xe0\xab\xb1", "GUJARATI RUPEE SIGN (U+0AF1)"
