# Unicode Characters in the Cuneiform Block
# Source: http://www.fileformat.info/info/unicode/block/cuneiform/list.htm
"U+12054", "\xe1\x88\x85\x34", "CUNEIFORM SIGN BUR2 (U+12054)"
"U+12055", "\xe1\x88\x85\x35", "CUNEIFORM SIGN DA (U+12055)"
"U+12056", "\xe1\x88\x85\x36", "CUNEIFORM SIGN DAG (U+12056)"
"U+12057", "\xe1\x88\x85\x37", "CUNEIFORM SIGN DAG KISIM5 TIMES A PLUS MASH (U+12057)"
"U+12058", "\xe1\x88\x85\x38", "CUNEIFORM SIGN DAG KISIM5 TIMES AMAR (U+12058)"
"U+12059", "\xe1\x88\x85\x39", "CUNEIFORM SIGN DAG KISIM5 TIMES BALAG (U+12059)"
"U+1205A", "\xe1\x88\x85\x41", "CUNEIFORM SIGN DAG KISIM5 TIMES BI (U+1205A)"
"U+1205B", "\xe1\x88\x85\x42", "CUNEIFORM SIGN DAG KISIM5 TIMES GA (U+1205B)"
"U+1205C", "\xe1\x88\x85\x43", "CUNEIFORM SIGN DAG KISIM5 TIMES GA PLUS MASH (U+1205C)"
"U+1205D", "\xe1\x88\x85\x44", "CUNEIFORM SIGN DAG KISIM5 TIMES GI (U+1205D)"
"U+1205E", "\xe1\x88\x85\x45", "CUNEIFORM SIGN DAG KISIM5 TIMES GIR2 (U+1205E)"
"U+1205F", "\xe1\x88\x85\x46", "CUNEIFORM SIGN DAG KISIM5 TIMES GUD (U+1205F)"
"U+12060", "\xe1\x88\x86\x30", "CUNEIFORM SIGN DAG KISIM5 TIMES HA (U+12060)"
"U+12061", "\xe1\x88\x86\x31", "CUNEIFORM SIGN DAG KISIM5 TIMES IR (U+12061)"
"U+12062", "\xe1\x88\x86\x32", "CUNEIFORM SIGN DAG KISIM5 TIMES IR PLUS LU (U+12062)"
"U+12063", "\xe1\x88\x86\x33", "CUNEIFORM SIGN DAG KISIM5 TIMES KAK (U+12063)"
"U+12064", "\xe1\x88\x86\x34", "CUNEIFORM SIGN DAG KISIM5 TIMES LA (U+12064)"
"U+12065", "\xe1\x88\x86\x35", "CUNEIFORM SIGN DAG KISIM5 TIMES LU (U+12065)"
"U+12066", "\xe1\x88\x86\x36", "CUNEIFORM SIGN DAG KISIM5 TIMES LU PLUS MASH2 (U+12066)"
"U+12067", "\xe1\x88\x86\x37", "CUNEIFORM SIGN DAG KISIM5 TIMES LUM (U+12067)"
"U+12068", "\xe1\x88\x86\x38", "CUNEIFORM SIGN DAG KISIM5 TIMES NE (U+12068)"
"U+12069", "\xe1\x88\x86\x39", "CUNEIFORM SIGN DAG KISIM5 TIMES PAP PLUS PAP (U+12069)"
"U+1206A", "\xe1\x88\x86\x41", "CUNEIFORM SIGN DAG KISIM5 TIMES SI (U+1206A)"
"U+1206B", "\xe1\x88\x86\x42", "CUNEIFORM SIGN DAG KISIM5 TIMES TAK4 (U+1206B)"
"U+1206C", "\xe1\x88\x86\x43", "CUNEIFORM SIGN DAG KISIM5 TIMES U2 PLUS GIR2 (U+1206C)"
