# Unicode Characters in the Saurashtra Block
# Source: http://www.fileformat.info/info/unicode/block/saurashtra/list.htm
"U+A8C4", "\xea\xa3\x84", "SAURASHTRA SIGN VIRAMA (U+A8C4)"
"U+A8CE", "\xea\xa3\x8e", "SAURASHTRA DANDA (U+A8CE)"
"U+A8CF", "\xea\xa3\x8f", "SAURASHTRA DOUBLE DANDA (U+A8CF)"
"U+A8D0", "\xea\xa3\x90", "SAURASHTRA DIGIT ZERO (U+A8D0)"
"U+A8D1", "\xea\xa3\x91", "SAURASHTRA DIGIT ONE (U+A8D1)"
"U+A8D2", "\xea\xa3\x92", "SAURASHTRA DIGIT TWO (U+A8D2)"
"U+A8D3", "\xea\xa3\x93", "SAURASHTRA DIGIT THREE (U+A8D3)"
"U+A8D4", "\xea\xa3\x94", "SAURASHTRA DIGIT FOUR (U+A8D4)"
"U+A8D5", "\xea\xa3\x95", "SAURASHTRA DIGIT FIVE (U+A8D5)"
"U+A8D6", "\xea\xa3\x96", "SAURASHTRA DIGIT SIX (U+A8D6)"
"U+A8D7", "\xea\xa3\x97", "SAURASHTRA DIGIT SEVEN (U+A8D7)"
"U+A8D8", "\xea\xa3\x98", "SAURASHTRA DIGIT EIGHT (U+A8D8)"
"U+A8D9", "\xea\xa3\x99", "SAURASHTRA DIGIT NINE (U+A8D9)"
