# Unicode Characters in the Arabic Block
# Source: http://www.fileformat.info/info/unicode/block/arabic/list.htm
"U+0650", "\xd9\x90", "ARABIC KASRA (U+0650)"
"U+0651", "\xd9\x91", "ARABIC SHADDA (U+0651)"
"U+0652", "\xd9\x92", "ARABIC SUKUN (U+0652)"
"U+0653", "\xd9\x93", "ARABIC MADDAH ABOVE (U+0653)"
"U+0654", "\xd9\x94", "ARABIC HAMZA ABOVE (U+0654)"
"U+0655", "\xd9\x95", "ARABIC HAMZA BELOW (U+0655)"
"U+0656", "\xd9\x96", "ARABIC SUBSCRIPT ALEF (U+0656)"
"U+0657", "\xd9\x97", "ARABIC INVERTED DAMMA (U+0657)"
"U+0658", "\xd9\x98", "ARABIC MARK NOON GHUNNA (U+0658)"
"U+0659", "\xd9\x99", "ARABIC ZWARAKAY (U+0659)"
"U+065A", "\xd9\x9a", "ARABIC VOWEL SIGN SMALL V ABOVE (U+065A)"
"U+065B", "\xd9\x9b", "ARABIC VOWEL SIGN INVERTED SMALL V ABOVE (U+065B)"
"U+065C", "\xd9\x9c", "ARABIC VOWEL SIGN DOT BELOW (U+065C)"
"U+065D", "\xd9\x9d", "ARABIC REVERSED DAMMA (U+065D)"
"U+065E", "\xd9\x9e", "ARABIC FATHA WITH TWO DOTS (U+065E)"
"U+065F", "\xd9\x9f", "ARABIC WAVY HAMZA BELOW (U+065F)"
"U+0660", "\xd9\xa0", "ARABIC-INDIC DIGIT ZERO (U+0660)"
"U+0661", "\xd9\xa1", "ARABIC-INDIC DIGIT ONE (U+0661)"
"U+0662", "\xd9\xa2", "ARABIC-INDIC DIGIT TWO (U+0662)"
"U+0663", "\xd9\xa3", "ARABIC-INDIC DIGIT THREE (U+0663)"
"U+0664", "\xd9\xa4", "ARABIC-INDIC DIGIT FOUR (U+0664)"
"U+0665", "\xd9\xa5", "ARABIC-INDIC DIGIT FIVE (U+0665)"
"U+0666", "\xd9\xa6", "ARABIC-INDIC DIGIT SIX (U+0666)"
"U+0667", "\xd9\xa7", "ARABIC-INDIC DIGIT SEVEN (U+0667)"
"U+0668", "\xd9\xa8", "ARABIC-INDIC DIGIT EIGHT (U+0668)"
"U+0669", "\xd9\xa9", "ARABIC-INDIC DIGIT NINE (U+0669)"
"U+066A", "\xd9\xaa", "ARABIC PERCENT SIGN (U+066A)"
"U+066B", "\xd9\xab", "ARABIC DECIMAL SEPARATOR (U+066B)"
"U+066C", "\xd9\xac", "ARABIC THOUSANDS SEPARATOR (U+066C)"
"U+066D", "\xd9\xad", "ARABIC FIVE POINTED STAR (U+066D)"
"U+066E", "\xd9\xae", "ARABIC LETTER DOTLESS BEH (U+066E)"
"U+066F", "\xd9\xaf", "ARABIC LETTER DOTLESS QAF (U+066F)"
"U+0670", "\xd9\xb0", "ARABIC LETTER SUPERSCRIPT ALEF (U+0670)"
"U+0671", "\xd9\xb1", "ARABIC LETTER ALEF WASLA (U+0671)"
"U+0672", "\xd9\xb2", "ARABIC LETTER ALEF WITH WAVY HAMZA ABOVE (U+0672)"
"U+0673", "\xd9\xb3", "ARABIC LETTER ALEF WITH WAVY HAMZA BELOW (U+0673)"
"U+0674", "\xd9\xb4", "ARABIC LETTER HIGH HAMZA (U+0674)"
"U+0675", "\xd9\xb5", "ARABIC LETTER HIGH HAMZA ALEF (U+0675)"
"U+0676", "\xd9\xb6", "ARABIC LETTER HIGH HAMZA WAW (U+0676)"
"U+0677", "\xd9\xb7", "ARABIC LETTER U WITH HAMZA ABOVE (U+0677)"
