# Kangxi Radicals
U+2F42, \xe2\xbd\x82, KANGXI RADICAL SCRIPT
U+2F43, \xe2\xbd\x83, KANGXI RADICAL DIPPER
U+2F44, \xe2\xbd\x84, KANGXI RADICAL AXE
U+2F45, \xe2\xbd\x85, KANGXI RADICAL SQUARE
U+2F46, \xe2\xbd\x86, KANGXI RADICAL NOT
U+2F47, \xe2\xbd\x87, KANGXI RADICAL SUN
U+2F48, \xe2\xbd\x88, KANGXI RADICAL SAY
U+2F49, \xe2\xbd\x89, KANGXI RADICAL MOON
U+2F4A, \xe2\xbd\x8a, KANGXI RADICAL TREE
U+2F4B, \xe2\xbd\x8b, KANGXI RADICAL LACK
U+2F4C, \xe2\xbd\x8c, KANGXI RADICAL STOP
U+2F4D, \xe2\xbd\x8d, KANGXI RADICAL DEATH
U+2F4E, \xe2\xbd\x8e, KANGXI RADICAL WEAPON
U+2F4F, \xe2\xbd\x8f, KANGXI RADICAL DO NOT
U+2F50, \xe2\xbd\x90, KANGXI RADICAL COMPARE
U+2F51, \xe2\xbd\x91, KANGXI RADICAL FUR
U+2F52, \xe2\xbd\x92, KANGXI RADICAL CLAN
U+2F53, \xe2\xbd\x93, KANGXI RADICAL STEAM
U+2F54, \xe2\xbd\x94, KANGXI RADICAL WATER
U+2F55, \xe2\xbd\x95, KANGXI RADICAL FIRE
U+2F56, \xe2\xbd\x96, KANGXI RADICAL CLAW
U+2F57, \xe2\xbd\x97, KANGXI RADICAL FATHER
U+2F58, \xe2\xbd\x98, KANGXI RADICAL DOUBLE X
U+2F59, \xe2\xbd\x99, KANGXI RADICAL HALF TREE TRUNK
U+2F5A, \xe2\xbd\x9a, KANGXI RADICAL SLICE
U+2F5B, \xe2\xbd\x9b, KANGXI RADICAL FANG
U+2F5C, \xe2\xbd\x9c, KANGXI RADICAL COW
U+2F5D, \xe2\xbd\x9d, KANGXI RADICAL DOG
U+2F5E, \xe2\xbd\x9e, KANGXI RADICAL PROFOUND
U+2F5F, \xe2\xbd\x9f, KANGXI RADICAL JADE
U+2F60, \xe2\xbd\xa0, KANGXI RADICAL MELON
U+2F61, \xe2\xbd\xa1, KANGXI RADICAL TILE
U+2F62, \xe2\xbd\xa2, KANGXI RADICAL SWEET
U+2F63, \xe2\xbd\xa3, KANGXI RADICAL LIFE
U+2F64, \xe2\xbd\xa4, KANGXI RADICAL USE
U+2F65, \xe2\xbd\xa5, KANGXI RADICAL FIELD
U+2F66, \xe2\xbd\xa6, KANGXI RADICAL BOLT OF CLOTH
U+2F67, \xe2\xbd\xa7, KANGXI RADICAL SICKNESS
U+2F68, \xe2\xbd\xa8, KANGXI RADICAL DOTTED TENT
U+2F69, \xe2\xbd\xa9, KANGXI RADICAL WHITE
U+2F6A, \xe2\xbd\xaa, KANGXI RADICAL SKIN
U+2F6B, \xe2\xbd\xab, KANGXI RADICAL DISH
U+2F6C, \xe2\xbd\xac, KANGXI RADICAL EYE
U+2F6D, \xe2\xbd\xad, KANGXI RADICAL SPEAR
U+2F6E, \xe2\xbd\xae, KANGXI RADICAL ARROW
U+2F6F, \xe2\xbd\xaf, KANGXI RADICAL STONE
U+2F70, \xe2\xbd\xb0, KANGXI RADICAL SPIRIT
U+2F71, \xe2\xbd\xb1, KANGXI RADICAL TRACK
U+2F72, \xe2\xbd\xb2, KANGXI RADICAL GRAIN
U+2F73, \xe2\xbd\xb3, KANGXI RADICAL CAVE
U+2F74, \xe2\xbd\xb4, KANGXI RADICAL STAND
U+2F75, \xe2\xbd\xb5, KANGXI RADICAL BAMBOO
U+2F76, \xe2\xbd\xb6, KANGXI RADICAL RICE
U+2F77, \xe2\xbd\xb7, KANGXI RADICAL SILK
U+2F78, \xe2\xbd\xb8, KANGXI RADICAL JAR
U+2F79, \xe2\xbd\xb9, KANGXI RADICAL NET
U+2F7A, \xe2\xbd\xba, KANGXI RADICAL SHEEP
U+2F7B, \xe2\xbd\xbb, KANGXI RADICAL FEATHER
U+2F7C, \xe2\xbd\xbc, KANGXI RADICAL OLD
U+2F7D, \xe2\xbd\xbd, KANGXI RADICAL AND
U+2F7E, \xe2\xbd\xbe, KANGXI RADICAL PLOW
U+2F7F, \xe2\xbd\xbf, KANGXI RADICAL EAR
U+2F80, \xe2\xbe\x80, KANGXI RADICAL BRUSH
U+2F81, \xe2\xbe\x81, KANGXI RADICAL MEAT
U+2F82, \xe2\xbe\x82, KANGXI RADICAL MINISTER
U+2F83, \xe2\xbe\x83, KANGXI RADICAL SELF
U+2F84, \xe2\xbe\x84, KANGXI RADICAL ARRIVE
U+2F85, \xe2\xbe\x85, KANGXI RADICAL MORTAR
U+2F86, \xe2\xbe\x86, KANGXI RADICAL TONGUE
U+2F87, \xe2\xbe\x87, KANGXI RADICAL OPPOSE
U+2F88, \xe2\xbe\x88, KANGXI RADICAL BOAT
U+2F89, \xe2\xbe\x89, KANGXI RADICAL STOPPING
U+2F8A, \xe2\xbe\x8a, KANGXI RADICAL COLOR
U+2F8B, \xe2\xbe\x8b, KANGXI RADICAL GRASS
U+2F8C, \xe2\xbe\x8c, KANGXI RADICAL TIGER
U+2F8D, \xe2\xbe\x8d, KANGXI RADICAL INSECT
U+2F8E, \xe2\xbe\x8e, KANGXI RADICAL BLOOD
U+2F8F, \xe2\xbe\x8f, KANGXI RADICAL WALK ENCLOSURE
U+2F90, \xe2\xbe\x90, KANGXI RADICAL CLOTHES
U+2F91, \xe2\xbe\x91, KANGXI RADICAL WEST
U+2F92, \xe2\xbe\x92, KANGXI RADICAL SEE
U+2F93, \xe2\xbe\x93, KANGXI RADICAL HORN
U+2F94, \xe2\xbe\x94, KANGXI RADICAL SPEECH
U+2F95, \xe2\xbe\x95, KANGXI RADICAL VALLEY
U+2F96, \xe2\xbe\x96, KANGXI RADICAL BEAN
U+2F97, \xe2\xbe\x97, KANGXI RADICAL PIG
U+2F98, \xe2\xbe\x98, KANGXI RADICAL BADGER
U+2F99, \xe2\xbe\x99, KANGXI RADICAL SHELL
U+2F9A, \xe2\xbe\x9a, KANGXI RADICAL RED
U+2F9B, \xe2\xbe\x9b, KANGXI RADICAL RUN
U+2F9C, \xe2\xbe\x9c, KANGXI RADICAL FOOT
U+2F9D, \xe2\xbe\x9d, KANGXI RADICAL BODY
U+2F9E, \xe2\xbe\x9e, KANGXI RADICAL CART
U+2F9F, \xe2\xbe\x9f, KANGXI RADICAL BITTER
U+2FA0, \xe2\xbe\xa0, KANGXI RADICAL MORNING
U+2FA1, \xe2\xbe\xa1, KANGXI RADICAL WALK
