# Ethiopic
U+1261, \xe1\x89\xa1, ETHIOPIC SYLLABLE BU
U+1262, \xe1\x89\xa2, ETHIOPIC SYLLABLE BI
U+1263, \xe1\x89\xa3, ETHIOPIC SYLLABLE BAA
U+1264, \xe1\x89\xa4, ETHIOPIC SYLLABLE BEE
U+1265, \xe1\x89\xa5, ETHIOPIC SYLLABLE BE
U+1266, \xe1\x89\xa6, ETHIOPIC SYLLABLE BO
U+1267, \xe1\x89\xa7, ETHIOPIC SYLLABLE BWA
U+1268, \xe1\x89\xa8, ETHIOPIC SYLLABLE VA
U+1269, \xe1\x89\xa9, ETHIOPIC SYLLABLE VU
U+126A, \xe1\x89\xaa, ETHIOPIC SYLLABLE VI
U+126B, \xe1\x89\xab, ETHIOPIC SYLLABLE VAA
U+126C, \xe1\x89\xac, ETHIOPIC SYLLABLE VEE
U+126D, \xe1\x89\xad, ETHIOPIC SYLLABLE VE
U+126E, \xe1\x89\xae, ETHIOPIC SYLLABLE VO
U+126F, \xe1\x89\xaf, ETHIOPIC SYLLABLE VWA
U+1270, \xe1\x89\xb0, ETHIOPIC SYLLABLE TA
U+1271, \xe1\x89\xb1, ETHIOPIC SYLLABLE TU
U+1272, \xe1\x89\xb2, ETHIOPIC SYLLABLE TI
U+1273, \xe1\x89\xb3, ETHIOPIC SYLLABLE TAA
U+1274, \xe1\x89\xb4, ETHIOPIC SYLLABLE TEE
U+1275, \xe1\x89\xb5, ETHIOPIC SYLLABLE TE
U+1276, \xe1\x89\xb6, ETHIOPIC SYLLABLE TO
U+1277, \xe1\x89\xb7, ETHIOPIC SYLLABLE TWA
U+1278, \xe1\x89\xb8, ETHIOPIC SYLLABLE CA
U+1279, \xe1\x89\xb9, ETHIOPIC SYLLABLE CU
U+127A, \xe1\x89\xba, ETHIOPIC SYLLABLE CI
U+127B, \xe1\x89\xbb, ETHIOPIC SYLLABLE CAA
U+127C, \xe1\x89\xbc, ETHIOPIC SYLLABLE CEE
U+127D, \xe1\x89\xbd, ETHIOPIC SYLLABLE CE
U+127E, \xe1\x89\xbe, ETHIOPIC SYLLABLE CO
U+127F, \xe1\x89\xbf, ETHIOPIC SYLLABLE CWA
U+1280, \xe1\x8a\x80, ETHIOPIC SYLLABLE XA
U+1281, \xe1\x8a\x81, ETHIOPIC SYLLABLE XU
U+1282, \xe1\x8a\x82, ETHIOPIC SYLLABLE XI
U+1283, \xe1\x8a\x83, ETHIOPIC SYLLABLE XAA
U+1284, \xe1\x8a\x84, ETHIOPIC SYLLABLE XEE
U+1285, \xe1\x8a\x85, ETHIOPIC SYLLABLE XE
U+1286, \xe1\x8a\x86, ETHIOPIC SYLLABLE XO
U+1287, \xe1\x8a\x87, ETHIOPIC SYLLABLE XOA
U+1288, \xe1\x8a\x88, ETHIOPIC SYLLABLE XWA
U+128A, \xe1\x8a\x8a, ETHIOPIC SYLLABLE XWI
U+128B, \xe1\x8a\x8b, ETHIOPIC SYLLABLE XWAA
U+128C, \xe1\x8a\x8c, ETHIOPIC SYLLABLE XWEE
U+128D, \xe1\x8a\x8d, ETHIOPIC SYLLABLE XWE
U+1290, \xe1\x8a\x90, ETHIOPIC SYLLABLE NA
U+1291, \xe1\x8a\x91, ETHIOPIC SYLLABLE NU
U+1292, \xe1\x8a\x92, ETHIOPIC SYLLABLE NI
U+1293, \xe1\x8a\x93, ETHIOPIC SYLLABLE NAA
U+1294, \xe1\x8a\x94, ETHIOPIC SYLLABLE NEE
U+1295, \xe1\x8a\x95, ETHIOPIC SYLLABLE NE
U+1296, \xe1\x8a\x96, ETHIOPIC SYLLABLE NO
U+1297, \xe1\x8a\x97, ETHIOPIC SYLLABLE NWA
U+1298, \xe1\x8a\x98, ETHIOPIC SYLLABLE NYA
U+1299, \xe1\x8a\x99, ETHIOPIC SYLLABLE NYU
U+129A, \xe1\x8a\x9a, ETHIOPIC SYLLABLE NYI
U+129B, \xe1\x8a\x9b, ETHIOPIC SYLLABLE NYAA
U+129C, \xe1\x8a\x9c, ETHIOPIC SYLLABLE NYEE
U+129D, \xe1\x8a\x9d, ETHIOPIC SYLLABLE NYE
U+129E, \xe1\x8a\x9e, ETHIOPIC SYLLABLE NYO
U+129F, \xe1\x8a\x9f, ETHIOPIC SYLLABLE NYWA
U+12A0, \xe1\x8a\xa0, ETHIOPIC SYLLABLE GLOTTAL A
U+12A1, \xe1\x8a\xa1, ETHIOPIC SYLLABLE GLOTTAL U
U+12A2, \xe1\x8a\xa2, ETHIOPIC SYLLABLE GLOTTAL I
U+12A3, \xe1\x8a\xa3, ETHIOPIC SYLLABLE GLOTTAL AA
U+12A4, \xe1\x8a\xa4, ETHIOPIC SYLLABLE GLOTTAL EE
U+12A5, \xe1\x8a\xa5, ETHIOPIC SYLLABLE GLOTTAL E
U+12A6, \xe1\x8a\xa6, ETHIOPIC SYLLABLE GLOTTAL O
U+12A7, \xe1\x8a\xa7, ETHIOPIC SYLLABLE GLOTTAL WA
U+12A8, \xe1\x8a\xa8, ETHIOPIC SYLLABLE KA
U+12A9, \xe1\x8a\xa9, ETHIOPIC SYLLABLE KU
U+12AA, \xe1\x8a\xaa, ETHIOPIC SYLLABLE KI
U+12AB, \xe1\x8a\xab, ETHIOPIC SYLLABLE KAA
U+12AC, \xe1\x8a\xac, ETHIOPIC SYLLABLE KEE
