# Gothic
U+103BD, \xf0\x90\x8e\xbd, OLD PERSIAN SIGN RU
U+103BE, \xf0\x90\x8e\xbe, OLD PERSIAN SIGN LA
U+103BF, \xf0\x90\x8e\xbf, OLD PERSIAN SIGN SA
U+103C0, \xf0\x90\x8f\x80, OLD PERSIAN SIGN ZA
U+103C1, \xf0\x90\x8f\x81, OLD PERSIAN SIGN SHA
U+103C2, \xf0\x90\x8f\x82, OLD PERSIAN SIGN SSA
U+103C3, \xf0\x90\x8f\x83, OLD PERSIAN SIGN HA
U+103C8, \xf0\x90\x8f\x88, OLD PERSIAN SIGN AURAMAZDAA
U+103C9, \xf0\x90\x8f\x89, OLD PERSIAN SIGN AURAMAZDAA-2
U+103CA, \xf0\x90\x8f\x8a, OLD PERSIAN SIGN AURAMAZDAAHA
U+103CB, \xf0\x90\x8f\x8b, OLD PERSIAN SIGN XSHAAYATHIYA
U+103CC, \xf0\x90\x8f\x8c, OLD PERSIAN SIGN DAHYAAUSH
U+103CD, \xf0\x90\x8f\x8d, OLD PERSIAN SIGN DAHYAAUSH-2
U+103CE, \xf0\x90\x8f\x8e, OLD PERSIAN SIGN BAGA
U+103CF, \xf0\x90\x8f\x8f, OLD PERSIAN SIGN BUUMISH
U+103D0, \xf0\x90\x8f\x90, OLD PERSIAN WORD DIVIDER
U+103D1, \xf0\x90\x8f\x91, OLD PERSIAN NUMBER ONE
U+103D2, \xf0\x90\x8f\x92, OLD PERSIAN NUMBER TWO
U+103D3, \xf0\x90\x8f\x93, OLD PERSIAN NUMBER TEN
U+103D4, \xf0\x90\x8f\x94, OLD PERSIAN NUMBER TWENTY
U+103D5, \xf0\x90\x8f\x95, OLD PERSIAN NUMBER HUNDRED
U+10400, \xf0\x90\x90\x80, DESERET CAPITAL LETTER LONG I
U+10401, \xf0\x90\x90\x81, DESERET CAPITAL LETTER LONG E
U+10402, \xf0\x90\x90\x82, DESERET CAPITAL LETTER LONG A
U+10403, \xf0\x90\x90\x83, DESERET CAPITAL LETTER LONG AH
U+10404, \xf0\x90\x90\x84, DESERET CAPITAL LETTER LONG O
U+10405, \xf0\x90\x90\x85, DESERET CAPITAL LETTER LONG OO
U+10406, \xf0\x90\x90\x86, DESERET CAPITAL LETTER SHORT I
U+10407, \xf0\x90\x90\x87, DESERET CAPITAL LETTER SHORT E
U+10408, \xf0\x90\x90\x88, DESERET CAPITAL LETTER SHORT A
U+10409, \xf0\x90\x90\x89, DESERET CAPITAL LETTER SHORT AH
U+1040A, \xf0\x90\x90\x8a, DESERET CAPITAL LETTER SHORT O
U+1040B, \xf0\x90\x90\x8b, DESERET CAPITAL LETTER SHORT OO
U+1040C, \xf0\x90\x90\x8c, DESERET CAPITAL LETTER AY
U+1040D, \xf0\x90\x90\x8d, DESERET CAPITAL LETTER OW
U+1040E, \xf0\x90\x90\x8e, DESERET CAPITAL LETTER WU
U+1040F, \xf0\x90\x90\x8f, DESERET CAPITAL LETTER YEE
U+10410, \xf0\x90\x90\x90, DESERET CAPITAL LETTER H
U+10411, \xf0\x90\x90\x91, DESERET CAPITAL LETTER PEE
U+10412, \xf0\x90\x90\x92, DESERET CAPITAL LETTER BEE
U+10413, \xf0\x90\x90\x93, DESERET CAPITAL LETTER TEE
U+10414, \xf0\x90\x90\x94, DESERET CAPITAL LETTER DEE
U+10415, \xf0\x90\x90\x95, DESERET CAPITAL LETTER CHEE
U+10416, \xf0\x90\x90\x96, DESERET CAPITAL LETTER JEE
U+10417, \xf0\x90\x90\x97, DESERET CAPITAL LETTER KAY
U+10418, \xf0\x90\x90\x98, DESERET CAPITAL LETTER GAY
U+10419, \xf0\x90\x90\x99, DESERET CAPITAL LETTER EF
U+1041A, \xf0\x90\x90\x9a, DESERET CAPITAL LETTER VEE
U+1041B, \xf0\x90\x90\x9b, DESERET CAPITAL LETTER ETH
U+1041C, \xf0\x90\x90\x9c, DESERET CAPITAL LETTER THEE
U+1041D, \xf0\x90\x90\x9d, DESERET CAPITAL LETTER ES
U+1041E, \xf0\x90\x90\x9e, DESERET CAPITAL LETTER ZEE
U+1041F, \xf0\x90\x90\x9f, DESERET CAPITAL LETTER ESH
U+10420, \xf0\x90\x90\xa0, DESERET CAPITAL LETTER ZHEE
U+10421, \xf0\x90\x90\xa1, DESERET CAPITAL LETTER ER
U+10422, \xf0\x90\x90\xa2, DESERET CAPITAL LETTER EL
U+10423, \xf0\x90\x90\xa3, DESERET CAPITAL LETTER EM
U+10424, \xf0\x90\x90\xa4, DESERET CAPITAL LETTER EN
U+10425, \xf0\x90\x90\xa5, DESERET CAPITAL LETTER ENG
U+10426, \xf0\x90\x90\xa6, DESERET CAPITAL LETTER OI
U+10427, \xf0\x90\x90\xa7, DESERET CAPITAL LETTER EW
U+10428, \xf0\x90\x90\xa8, DESERET SMALL LETTER LONG I
U+10429, \xf0\x90\x90\xa9, DESERET SMALL LETTER LONG E
U+1042A, \xf0\x90\x90\xaa, DESERET SMALL LETTER LONG A
U+1042B, \xf0\x90\x90\xab, DESERET SMALL LETTER LONG AH
U+1042C, \xf0\x90\x90\xac, DESERET SMALL LETTER LONG O
U+1042D, \xf0\x90\x90\xad, DESERET SMALL LETTER LONG OO
U+1042E, \xf0\x90\x90\xae, DESERET SMALL LETTER SHORT I
U+1042F, \xf0\x90\x90\xaf, DESERET SMALL LETTER SHORT E
