# Unicode Characters in the Unified Canadian Aboriginal Syllabics Block
# Source: http://www.fileformat.info/info/unicode/block/unified_canadian_aboriginal_syllabics/list.htm
"U+1442", "\xe1\x91\x82", "CANADIAN SYLLABICS PWOO (U+1442)"
"U+1443", "\xe1\x91\x83", "CANADIAN SYLLABICS WEST-CREE PWOO (U+1443)"
"U+1444", "\xe1\x91\x84", "CANADIAN SYLLABICS PWA (U+1444)"
"U+1445", "\xe1\x91\x85", "CANADIAN SYLLABICS WEST-CREE PWA (U+1445)"
"U+1446", "\xe1\x91\x86", "CANADIAN SYLLABICS PWAA (U+1446)"
"U+1447", "\xe1\x91\x87", "CANADIAN SYLLABICS WEST-CREE PWAA (U+1447)"
"U+1448", "\xe1\x91\x88", "CANADIAN SYLLABICS Y-CREE PWAA (U+1448)"
"U+1449", "\xe1\x91\x89", "CANADIAN SYLLABICS P (U+1449)"
"U+144A", "\xe1\x91\x8a", "CANADIAN SYLLABICS WEST-CREE P (U+144A)"
"U+144B", "\xe1\x91\x8b", "CANADIAN SYLLABICS CARRIER H (U+144B)"
"U+144C", "\xe1\x91\x8c", "CANADIAN SYLLABICS TE (U+144C)"
"U+144D", "\xe1\x91\x8d", "CANADIAN SYLLABICS TAAI (U+144D)"
"U+144E", "\xe1\x91\x8e", "CANADIAN SYLLABICS TI (U+144E)"
"U+144F", "\xe1\x91\x8f", "CANADIAN SYLLABICS TII (U+144F)"
"U+1450", "\xe1\x91\x90", "CANADIAN SYLLABICS TO (U+1450)"
"U+1451", "\xe1\x91\x91", "CANADIAN SYLLABICS TOO (U+1451)"
"U+1452", "\xe1\x91\x92", "CANADIAN SYLLABICS Y-CREE TOO (U+1452)"
"U+1453", "\xe1\x91\x93", "CANADIAN SYLLABICS CARRIER DEE (U+1453)"
"U+1454", "\xe1\x91\x94", "CANADIAN SYLLABICS CARRIER DI (U+1454)"
"U+1455", "\xe1\x91\x95", "CANADIAN SYLLABICS TA (U+1455)"
"U+1456", "\xe1\x91\x96", "CANADIAN SYLLABICS TAA (U+1456)"
"U+1457", "\xe1\x91\x97", "CANADIAN SYLLABICS TWE (U+1457)"
"U+1458", "\xe1\x91\x98", "CANADIAN SYLLABICS WEST-CREE TWE (U+1458)"
"U+1459", "\xe1\x91\x99", "CANADIAN SYLLABICS TWI (U+1459)"
"U+145A", "\xe1\x91\x9a", "CANADIAN SYLLABICS WEST-CREE TWI (U+145A)"
"U+145B", "\xe1\x91\x9b", "CANADIAN SYLLABICS TWII (U+145B)"
"U+145C", "\xe1\x91\x9c", "CANADIAN SYLLABICS WEST-CREE TWII (U+145C)"
"U+145D", "\xe1\x91\x9d", "CANADIAN SYLLABICS TWO (U+145D)"
"U+145E", "\xe1\x91\x9e", "CANADIAN SYLLABICS WEST-CREE TWO (U+145E)"
"U+145F", "\xe1\x91\x9f", "CANADIAN SYLLABICS TWOO (U+145F)"
"U+1460", "\xe1\x91\xa0", "CANADIAN SYLLABICS WEST-CREE TWOO (U+1460)"
"U+1461", "\xe1\x91\xa1", "CANADIAN SYLLABICS TWA (U+1461)"
"U+1462", "\xe1\x91\xa2", "CANADIAN SYLLABICS WEST-CREE TWA (U+1462)"
"U+1463", "\xe1\x91\xa3", "CANADIAN SYLLABICS TWAA (U+1463)"
"U+1464", "\xe1\x91\xa4", "CANADIAN SYLLABICS WEST-CREE TWAA (U+1464)"
"U+1465", "\xe1\x91\xa5", "CANADIAN SYLLABICS NASKAPI TWAA (U+1465)"
"U+1466", "\xe1\x91\xa6", "CANADIAN SYLLABICS T (U+1466)"
"U+1467", "\xe1\x91\xa7", "CANADIAN SYLLABICS TTE (U+1467)"
"U+1468", "\xe1\x91\xa8", "CANADIAN SYLLABICS TTI (U+1468)"
"U+1469", "\xe1\x91\xa9", "CANADIAN SYLLABICS TTO (U+1469)"
"U+146A", "\xe1\x91\xaa", "CANADIAN SYLLABICS TTA (U+146A)"
"U+146B", "\xe1\x91\xab", "CANADIAN SYLLABICS KE (U+146B)"
"U+146C", "\xe1\x91\xac", "CANADIAN SYLLABICS KAAI (U+146C)"
"U+146D", "\xe1\x91\xad", "CANADIAN SYLLABICS KI (U+146D)"
"U+146E", "\xe1\x91\xae", "CANADIAN SYLLABICS KII (U+146E)"
"U+146F", "\xe1\x91\xaf", "CANADIAN SYLLABICS KO (U+146F)"
"U+1470", "\xe1\x91\xb0", "CANADIAN SYLLABICS KOO (U+1470)"
"U+1471", "\xe1\x91\xb1", "CANADIAN SYLLABICS Y-CREE KOO (U+1471)"
"U+1472", "\xe1\x91\xb2", "CANADIAN SYLLABICS KA (U+1472)"
"U+1473", "\xe1\x91\xb3", "CANADIAN SYLLABICS KAA (U+1473)"
"U+1474", "\xe1\x91\xb4", "CANADIAN SYLLABICS KWE (U+1474)"
"U+1475", "\xe1\x91\xb5", "CANADIAN SYLLABICS WEST-CREE KWE (U+1475)"
"U+1476", "\xe1\x91\xb6", "CANADIAN SYLLABICS KWI (U+1476)"
"U+1477", "\xe1\x91\xb7", "CANADIAN SYLLABICS WEST-CREE KWI (U+1477)"
"U+1478", "\xe1\x91\xb8", "CANADIAN SYLLABICS KWII (U+1478)"
"U+1479", "\xe1\x91\xb9", "CANADIAN SYLLABICS WEST-CREE KWII (U+1479)"
"U+147A", "\xe1\x91\xba", "CANADIAN SYLLABICS KWO (U+147A)"
"U+147B", "\xe1\x91\xbb", "CANADIAN SYLLABICS WEST-CREE KWO (U+147B)"
"U+147C", "\xe1\x91\xbc", "CANADIAN SYLLABICS KWOO (U+147C)"
"U+147D", "\xe1\x91\xbd", "CANADIAN SYLLABICS WEST-CREE KWOO (U+147D)"
"U+147E", "\xe1\x91\xbe", "CANADIAN SYLLABICS KWA (U+147E)"
"U+147F", "\xe1\x91\xbf", "CANADIAN SYLLABICS WEST-CREE KWA (U+147F)"
"U+1480", "\xe1\x92\x80", "CANADIAN SYLLABICS KWAA (U+1480)"
"U+1481", "\xe1\x92\x81", "CANADIAN SYLLABICS WEST-CREE KWAA (U+1481)"
"U+1482", "\xe1\x92\x82", "CANADIAN SYLLABICS NASKAPI KWAA (U+1482)"
"U+1483", "\xe1\x92\x83", "CANADIAN SYLLABICS K (U+1483)"
"U+1484", "\xe1\x92\x84", "CANADIAN SYLLABICS KW (U+1484)"
"U+1485", "\xe1\x92\x85", "CANADIAN SYLLABICS SOUTH-SLAVEY KEH (U+1485)"
"U+1486", "\xe1\x92\x86", "CANADIAN SYLLABICS SOUTH-SLAVEY KIH (U+1486)"
"U+1487", "\xe1\x92\x87", "CANADIAN SYLLABICS SOUTH-SLAVEY KOH (U+1487)"
"U+1488", "\xe1\x92\x88", "CANADIAN SYLLABICS SOUTH-SLAVEY KAH (U+1488)"
"U+1489", "\xe1\x92\x89", "CANADIAN SYLLABICS CE (U+1489)"
"U+148A", "\xe1\x92\x8a", "CANADIAN SYLLABICS CAAI (U+148A)"
"U+148B", "\xe1\x92\x8b", "CANADIAN SYLLABICS CI (U+148B)"
"U+148C", "\xe1\x92\x8c", "CANADIAN SYLLABICS CII (U+148C)"
"U+148D", "\xe1\x92\x8d", "CANADIAN SYLLABICS CO (U+148D)"
"U+148E", "\xe1\x92\x8e", "CANADIAN SYLLABICS COO (U+148E)"
