# Unicode Characters in the Hangul Compatibility Jamo Block
# Source: http://www.fileformat.info/info/unicode/block/hangul_compatibility_jamo/list.htm
"U+3178", "\xe3\x85\xb8", "HANGUL LETTER KAPYEOUNPIEUP (U+3178)"
"U+3179", "\xe3\x85\xb9", "HANGUL LETTER KAPYEOUNSSANGPIEUP (U+3179)"
"U+317A", "\xe3\x85\xba", "HANGUL LETTER SIOS-KIYEOK (U+317A)"
"U+317B", "\xe3\x85\xbb", "HANGUL LETTER SIOS-NIEUN (U+317B)"
"U+317C", "\xe3\x85\xbc", "HANGUL LETTER SIOS-TIKEUT (U+317C)"
"U+317D", "\xe3\x85\xbd", "HANGUL LETTER SIOS-PIEUP (U+317D)"
"U+317E", "\xe3\x85\xbe", "HANGUL LETTER SIOS-CIEUC (U+317E)"
"U+317F", "\xe3\x85\xbf", "HANGUL LETTER PANSIOS (U+317F)"
"U+3180", "\xe3\x86\x80", "HANGUL LETTER SSANGIEUNG (U+3180)"
"U+3181", "\xe3\x86\x81", "HANGUL LETTER YESIEUNG (U+3181)"
"U+3182", "\xe3\x86\x82", "HANGUL LETTER YESIEUNG-SIOS (U+3182)"
"U+3183", "\xe3\x86\x83", "HANGUL LETTER YESIEUNG-PANSIOS (U+3183)"
"U+3184", "\xe3\x86\x84", "HANGUL LETTER KAPYEOUNPHIEUPH (U+3184)"
"U+3185", "\xe3\x86\x85", "HANGUL LETTER SSANGHIEUH (U+3185)"
"U+3186", "\xe3\x86\x86", "HANGUL LETTER YEORINHIEUH (U+3186)"
"U+3187", "\xe3\x86\x87", "HANGUL LETTER YO-YA (U+3187)"
"U+3188", "\xe3\x86\x88", "HANGUL LETTER YO-YAE (U+3188)"
"U+3189", "\xe3\x86\x89", "HANGUL LETTER YO-I (U+3189)"
"U+318A", "\xe3\x86\x8a", "HANGUL LETTER YU-YEO (U+318A)"
"U+318B", "\xe3\x86\x8b", "HANGUL LETTER YU-YE (U+318B)"
"U+318C", "\xe3\x86\x8c", "HANGUL LETTER YU-I (U+318C)"
"U+318D", "\xe3\x86\x8d", "HANGUL LETTER ARAEA (U+318D)"
"U+318E", "\xe3\x86\x8e", "HANGUL LETTER ARAEAE (U+318E)"
