# Ogham
U+16DE, \xe1\x9b\x9e, RUNIC LETTER DAGAZ DAEG D
U+16DF, \xe1\x9b\x9f, RUNIC LETTER OTHALAN ETHEL O
U+16E0, \xe1\x9b\xa0, RUNIC LETTER EAR
U+16E1, \xe1\x9b\xa1, RUNIC LETTER IOR
U+16E2, \xe1\x9b\xa2, RUNIC LETTER CWEORTH
U+16E3, \xe1\x9b\xa3, RUNIC LETTER CALC
U+16E4, \xe1\x9b\xa4, RUNIC LETTER CEALC
U+16E5, \xe1\x9b\xa5, RUNIC LETTER STAN
U+16E6, \xe1\x9b\xa6, RUNIC LETTER LONG-BRANCH-YR
U+16E7, \xe1\x9b\xa7, RUNIC LETTER SHORT-TWIG-YR
U+16E8, \xe1\x9b\xa8, RUNIC LETTER ICELANDIC-YR
U+16E9, \xe1\x9b\xa9, RUNIC LETTER Q
U+16EA, \xe1\x9b\xaa, RUNIC LETTER X
U+16EB, \xe1\x9b\xab, RUNIC SINGLE PUNCTUATION
U+16EC, \xe1\x9b\xac, RUNIC MULTIPLE PUNCTUATION
U+16ED, \xe1\x9b\xad, RUNIC CROSS PUNCTUATION
U+16EE, \xe1\x9b\xae, RUNIC ARLAUG SYMBOL
U+16EF, \xe1\x9b\xaf, RUNIC TVIMADUR SYMBOL
U+16F0, \xe1\x9b\xb0, RUNIC BELGTHOR SYMBOL
U+1700, \xe1\x9c\x80, TAGALOG LETTER A
U+1701, \xe1\x9c\x81, TAGALOG LETTER I
U+1702, \xe1\x9c\x82, TAGALOG LETTER U
U+1703, \xe1\x9c\x83, TAGALOG LETTER KA
U+1704, \xe1\x9c\x84, TAGALOG LETTER GA
U+1705, \xe1\x9c\x85, TAGALOG LETTER NGA
U+1706, \xe1\x9c\x86, TAGALOG LETTER TA
U+1707, \xe1\x9c\x87, TAGALOG LETTER DA
U+1708, \xe1\x9c\x88, TAGALOG LETTER NA
U+1709, \xe1\x9c\x89, TAGALOG LETTER PA
U+170A, \xe1\x9c\x8a, TAGALOG LETTER BA
U+170B, \xe1\x9c\x8b, TAGALOG LETTER MA
U+170C, \xe1\x9c\x8c, TAGALOG LETTER YA
U+170E, \xe1\x9c\x8e, TAGALOG LETTER LA
U+170F, \xe1\x9c\x8f, TAGALOG LETTER WA
U+1710, \xe1\x9c\x90, TAGALOG LETTER SA
U+1711, \xe1\x9c\x91, TAGALOG LETTER HA
U+1712, \xe1\x9c\x92, TAGALOG VOWEL SIGN I
U+1713, \xe1\x9c\x93, TAGALOG VOWEL SIGN U
U+1714, \xe1\x9c\x94, TAGALOG SIGN VIRAMA
U+1720, \xe1\x9c\xa0, HANUNOO LETTER A
U+1721, \xe1\x9c\xa1, HANUNOO LETTER I
U+1722, \xe1\x9c\xa2, HANUNOO LETTER U
U+1723, \xe1\x9c\xa3, HANUNOO LETTER KA
U+1724, \xe1\x9c\xa4, HANUNOO LETTER GA
U+1725, \xe1\x9c\xa5, HANUNOO LETTER NGA
U+1726, \xe1\x9c\xa6, HANUNOO LETTER TA
