# Unicode Characters in the Emoticons Block
# Source: http://www.fileformat.info/info/unicode/block/emoticons/list.htm
"U+1F63F", "\xe1\xbd\xa3\x46", "CRYING CAT FACE (U+1F63F)"
"U+1F640", "\xe1\xbd\xa4\x30", "WEARY CAT FACE (U+1F640)"
"U+1F645", "\xe1\xbd\xa4\x35", "FACE WITH NO GOOD GESTURE (U+1F645)"
"U+1F646", "\xe1\xbd\xa4\x36", "FACE WITH OK GESTURE (U+1F646)"
"U+1F647", "\xe1\xbd\xa4\x37", "PERSON BOWING DEEPLY (U+1F647)"
"U+1F648", "\xe1\xbd\xa4\x38", "SEE-NO-EVIL MONKEY (U+1F648)"
"U+1F649", "\xe1\xbd\xa4\x39", "HEAR-NO-EVIL MONKEY (U+1F649)"
"U+1F64A", "\xe1\xbd\xa4\x41", "SPEAK-NO-EVIL MONKEY (U+1F64A)"
"U+1F64B", "\xe1\xbd\xa4\x42", "HAPPY PERSON RAISING ONE HAND (U+1F64B)"
"U+1F64C", "\xe1\xbd\xa4\x43", "PERSON RAISING BOTH HANDS IN CELEBRATION (U+1F64C)"
"U+1F64D", "\xe1\xbd\xa4\x44", "PERSON FROWNING (U+1F64D)"
"U+1F64E", "\xe1\xbd\xa4\x45", "PERSON WITH POUTING FACE (U+1F64E)"
"U+1F64F", "\xe1\xbd\xa4\x46", "PERSON WITH FOLDED HANDS (U+1F64F)"
