# Unicode Characters in the Arrows Block
# Source: http://www.fileformat.info/info/unicode/block/arrows/list.htm
"U+2190", "\xe2\x86\x90", "LEFTWARDS ARROW (U+2190)"
"U+21CF", "\xe2\x87\x8f", "RIGHTWARDS DOUBLE ARROW WITH STROKE (U+21CF)"
"U+21D0", "\xe2\x87\x90", "LEFTWARDS DOUBLE ARROW (U+21D0)"
"U+21D1", "\xe2\x87\x91", "UPWARDS DOUBLE ARROW (U+21D1)"
"U+21D2", "\xe2\x87\x92", "RIGHTWARDS DOUBLE ARROW (U+21D2)"
"U+21D3", "\xe2\x87\x93", "DOWNWARDS DOUBLE ARROW (U+21D3)"
"U+21D4", "\xe2\x87\x94", "LEFT RIGHT DOUBLE ARROW (U+21D4)"
"U+21D5", "\xe2\x87\x95", "UP DOWN DOUBLE ARROW (U+21D5)"
"U+21D6", "\xe2\x87\x96", "NORTH WEST DOUBLE ARROW (U+21D6)"
"U+21D7", "\xe2\x87\x97", "NORTH EAST DOUBLE ARROW (U+21D7)"
"U+21D8", "\xe2\x87\x98", "SOUTH EAST DOUBLE ARROW (U+21D8)"
"U+21D9", "\xe2\x87\x99", "SOUTH WEST DOUBLE ARROW (U+21D9)"
"U+21DA", "\xe2\x87\x9a", "LEFTWARDS TRIPLE ARROW (U+21DA)"
"U+21DB", "\xe2\x87\x9b", "RIGHTWARDS TRIPLE ARROW (U+21DB)"
"U+21DC", "\xe2\x87\x9c", "LEFTWARDS SQUIGGLE ARROW (U+21DC)"
"U+21DD", "\xe2\x87\x9d", "RIGHTWARDS SQUIGGLE ARROW (U+21DD)"
"U+21DE", "\xe2\x87\x9e", "UPWARDS ARROW WITH DOUBLE STROKE (U+21DE)"
"U+21DF", "\xe2\x87\x9f", "DOWNWARDS ARROW WITH DOUBLE STROKE (U+21DF)"
"U+21E0", "\xe2\x87\xa0", "LEFTWARDS DASHED ARROW (U+21E0)"
"U+21E1", "\xe2\x87\xa1", "UPWARDS DASHED ARROW (U+21E1)"
"U+21E2", "\xe2\x87\xa2", "RIGHTWARDS DASHED ARROW (U+21E2)"
"U+21E3", "\xe2\x87\xa3", "DOWNWARDS DASHED ARROW (U+21E3)"
