# Unicode Characters in the Vai Block
# Source: http://www.fileformat.info/info/unicode/block/vai/list.htm
"U+A54E", "\xea\x95\x8e", "VAI SYLLABLE WA (U+A54E)"
"U+A54F", "\xea\x95\x8f", "VAI SYLLABLE WAN (U+A54F)"
"U+A550", "\xea\x95\x90", "VAI SYLLABLE PA (U+A550)"
"U+A551", "\xea\x95\x91", "VAI SYLLABLE BHA (U+A551)"
"U+A552", "\xea\x95\x92", "VAI SYLLABLE BA (U+A552)"
"U+A553", "\xea\x95\x93", "VAI SYLLABLE MBA (U+A553)"
"U+A554", "\xea\x95\x94", "VAI SYLLABLE KPA (U+A554)"
"U+A555", "\xea\x95\x95", "VAI SYLLABLE KPAN (U+A555)"
"U+A556", "\xea\x95\x96", "VAI SYLLABLE MGBA (U+A556)"
"U+A557", "\xea\x95\x97", "VAI SYLLABLE GBA (U+A557)"
"U+A558", "\xea\x95\x98", "VAI SYLLABLE FA (U+A558)"
"U+A559", "\xea\x95\x99", "VAI SYLLABLE VA (U+A559)"
"U+A55A", "\xea\x95\x9a", "VAI SYLLABLE TA (U+A55A)"
"U+A55B", "\xea\x95\x9b", "VAI SYLLABLE THA (U+A55B)"
"U+A55C", "\xea\x95\x9c", "VAI SYLLABLE DHA (U+A55C)"
"U+A55D", "\xea\x95\x9d", "VAI SYLLABLE DHHA (U+A55D)"
"U+A55E", "\xea\x95\x9e", "VAI SYLLABLE LA (U+A55E)"
"U+A55F", "\xea\x95\x9f", "VAI SYLLABLE RA (U+A55F)"
"U+A560", "\xea\x95\xa0", "VAI SYLLABLE DA (U+A560)"
"U+A561", "\xea\x95\xa1", "VAI SYLLABLE NDA (U+A561)"
"U+A562", "\xea\x95\xa2", "VAI SYLLABLE SA (U+A562)"
"U+A563", "\xea\x95\xa3", "VAI SYLLABLE SHA (U+A563)"
"U+A564", "\xea\x95\xa4", "VAI SYLLABLE ZA (U+A564)"
"U+A565", "\xea\x95\xa5", "VAI SYLLABLE ZHA (U+A565)"
"U+A566", "\xea\x95\xa6", "VAI SYLLABLE CA (U+A566)"
"U+A567", "\xea\x95\xa7", "VAI SYLLABLE JA (U+A567)"
"U+A568", "\xea\x95\xa8", "VAI SYLLABLE NJA (U+A568)"
"U+A569", "\xea\x95\xa9", "VAI SYLLABLE YA (U+A569)"
"U+A56A", "\xea\x95\xaa", "VAI SYLLABLE KA (U+A56A)"
"U+A56B", "\xea\x95\xab", "VAI SYLLABLE KAN (U+A56B)"
"U+A56C", "\xea\x95\xac", "VAI SYLLABLE NGGA (U+A56C)"
"U+A56D", "\xea\x95\xad", "VAI SYLLABLE GA (U+A56D)"
"U+A56E", "\xea\x95\xae", "VAI SYLLABLE MA (U+A56E)"
"U+A56F", "\xea\x95\xaf", "VAI SYLLABLE NA (U+A56F)"
"U+A570", "\xea\x95\xb0", "VAI SYLLABLE NYA (U+A570)"
"U+A571", "\xea\x95\xb1", "VAI SYLLABLE OO (U+A571)"
"U+A572", "\xea\x95\xb2", "VAI SYLLABLE OON (U+A572)"
"U+A573", "\xea\x95\xb3", "VAI SYLLABLE HOO (U+A573)"
"U+A574", "\xea\x95\xb4", "VAI SYLLABLE WOO (U+A574)"
"U+A575", "\xea\x95\xb5", "VAI SYLLABLE WOON (U+A575)"
"U+A576", "\xea\x95\xb6", "VAI SYLLABLE POO (U+A576)"
"U+A577", "\xea\x95\xb7", "VAI SYLLABLE BHOO (U+A577)"
"U+A578", "\xea\x95\xb8", "VAI SYLLABLE BOO (U+A578)"
"U+A579", "\xea\x95\xb9", "VAI SYLLABLE MBOO (U+A579)"
"U+A57A", "\xea\x95\xba", "VAI SYLLABLE KPOO (U+A57A)"
"U+A57B", "\xea\x95\xbb", "VAI SYLLABLE MGBOO (U+A57B)"
"U+A57C", "\xea\x95\xbc", "VAI SYLLABLE GBOO (U+A57C)"
"U+A57D", "\xea\x95\xbd", "VAI SYLLABLE FOO (U+A57D)"
"U+A57E", "\xea\x95\xbe", "VAI SYLLABLE VOO (U+A57E)"
"U+A57F", "\xea\x95\xbf", "VAI SYLLABLE TOO (U+A57F)"
"U+A580", "\xea\x96\x80", "VAI SYLLABLE THOO (U+A580)"
"U+A581", "\xea\x96\x81", "VAI SYLLABLE DHOO (U+A581)"
"U+A582", "\xea\x96\x82", "VAI SYLLABLE DHHOO (U+A582)"
"U+A583", "\xea\x96\x83", "VAI SYLLABLE LOO (U+A583)"
"U+A584", "\xea\x96\x84", "VAI SYLLABLE ROO (U+A584)"
"U+A585", "\xea\x96\x85", "VAI SYLLABLE DOO (U+A585)"
"U+A586", "\xea\x96\x86", "VAI SYLLABLE NDOO (U+A586)"
"U+A587", "\xea\x96\x87", "VAI SYLLABLE SOO (U+A587)"
"U+A588", "\xea\x96\x88", "VAI SYLLABLE SHOO (U+A588)"
"U+A589", "\xea\x96\x89", "VAI SYLLABLE ZOO (U+A589)"
"U+A58A", "\xea\x96\x8a", "VAI SYLLABLE ZHOO (U+A58A)"
"U+A58B", "\xea\x96\x8b", "VAI SYLLABLE COO (U+A58B)"
"U+A58C", "\xea\x96\x8c", "VAI SYLLABLE JOO (U+A58C)"
"U+A58D", "\xea\x96\x8d", "VAI SYLLABLE NJOO (U+A58D)"
"U+A58E", "\xea\x96\x8e", "VAI SYLLABLE YOO (U+A58E)"
"U+A58F", "\xea\x96\x8f", "VAI SYLLABLE KOO (U+A58F)"
"U+A590", "\xea\x96\x90", "VAI SYLLABLE NGGOO (U+A590)"
"U+A591", "\xea\x96\x91", "VAI SYLLABLE GOO (U+A591)"
"U+A592", "\xea\x96\x92", "VAI SYLLABLE MOO (U+A592)"
"U+A593", "\xea\x96\x93", "VAI SYLLABLE NOO (U+A593)"
"U+A594", "\xea\x96\x94", "VAI SYLLABLE NYOO (U+A594)"
"U+A595", "\xea\x96\x95", "VAI SYLLABLE U (U+A595)"
"U+A596", "\xea\x96\x96", "VAI SYLLABLE UN (U+A596)"
"U+A597", "\xea\x96\x97", "VAI SYLLABLE HU (U+A597)"
"U+A598", "\xea\x96\x98", "VAI SYLLABLE HUN (U+A598)"
"U+A599", "\xea\x96\x99", "VAI SYLLABLE WU (U+A599)"
"U+A59A", "\xea\x96\x9a", "VAI SYLLABLE WUN (U+A59A)"
"U+A59B", "\xea\x96\x9b", "VAI SYLLABLE PU (U+A59B)"
"U+A59C", "\xea\x96\x9c", "VAI SYLLABLE BHU (U+A59C)"
"U+A59D", "\xea\x96\x9d", "VAI SYLLABLE BU (U+A59D)"
"U+A59E", "\xea\x96\x9e", "VAI SYLLABLE MBU (U+A59E)"
"U+A59F", "\xea\x96\x9f", "VAI SYLLABLE KPU (U+A59F)"
"U+A5A0", "\xea\x96\xa0", "VAI SYLLABLE MGBU (U+A5A0)"
"U+A5A1", "\xea\x96\xa1", "VAI SYLLABLE GBU (U+A5A1)"
"U+A5A2", "\xea\x96\xa2", "VAI SYLLABLE FU (U+A5A2)"
"U+A5A3", "\xea\x96\xa3", "VAI SYLLABLE VU (U+A5A3)"
"U+A5A4", "\xea\x96\xa4", "VAI SYLLABLE TU (U+A5A4)"
"U+A5A5", "\xea\x96\xa5", "VAI SYLLABLE THU (U+A5A5)"
"U+A5A6", "\xea\x96\xa6", "VAI SYLLABLE DHU (U+A5A6)"
"U+A5A7", "\xea\x96\xa7", "VAI SYLLABLE DHHU (U+A5A7)"
"U+A5A8", "\xea\x96\xa8", "VAI SYLLABLE LU (U+A5A8)"
"U+A5A9", "\xea\x96\xa9", "VAI SYLLABLE RU (U+A5A9)"
"U+A5AA", "\xea\x96\xaa", "VAI SYLLABLE DU (U+A5AA)"
"U+A5AB", "\xea\x96\xab", "VAI SYLLABLE NDU (U+A5AB)"
"U+A5AC", "\xea\x96\xac", "VAI SYLLABLE SU (U+A5AC)"
"U+A5AD", "\xea\x96\xad", "VAI SYLLABLE SHU (U+A5AD)"
"U+A5AE", "\xea\x96\xae", "VAI SYLLABLE ZU (U+A5AE)"
"U+A5AF", "\xea\x96\xaf", "VAI SYLLABLE ZHU (U+A5AF)"
"U+A5B0", "\xea\x96\xb0", "VAI SYLLABLE CU (U+A5B0)"
"U+A5B1", "\xea\x96\xb1", "VAI SYLLABLE JU (U+A5B1)"
"U+A5B2", "\xea\x96\xb2", "VAI SYLLABLE NJU (U+A5B2)"
"U+A5B3", "\xea\x96\xb3", "VAI SYLLABLE YU (U+A5B3)"
"U+A5B4", "\xea\x96\xb4", "VAI SYLLABLE KU (U+A5B4)"
"U+A5B5", "\xea\x96\xb5", "VAI SYLLABLE NGGU (U+A5B5)"
"U+A5B6", "\xea\x96\xb6", "VAI SYLLABLE GU (U+A5B6)"
"U+A5B7", "\xea\x96\xb7", "VAI SYLLABLE MU (U+A5B7)"
"U+A5B8", "\xea\x96\xb8", "VAI SYLLABLE NU (U+A5B8)"
"U+A5B9", "\xea\x96\xb9", "VAI SYLLABLE NYU (U+A5B9)"
"U+A5BA", "\xea\x96\xba", "VAI SYLLABLE O (U+A5BA)"
"U+A5BB", "\xea\x96\xbb", "VAI SYLLABLE ON (U+A5BB)"
"U+A5BC", "\xea\x96\xbc", "VAI SYLLABLE NGON (U+A5BC)"
"U+A5BD", "\xea\x96\xbd", "VAI SYLLABLE HO (U+A5BD)"
"U+A5BE", "\xea\x96\xbe", "VAI SYLLABLE HON (U+A5BE)"
"U+A5BF", "\xea\x96\xbf", "VAI SYLLABLE WO (U+A5BF)"
"U+A5C0", "\xea\x97\x80", "VAI SYLLABLE WON (U+A5C0)"
"U+A5C1", "\xea\x97\x81", "VAI SYLLABLE PO (U+A5C1)"
"U+A5C2", "\xea\x97\x82", "VAI SYLLABLE BHO (U+A5C2)"
"U+A5C3", "\xea\x97\x83", "VAI SYLLABLE BO (U+A5C3)"
"U+A5C4", "\xea\x97\x84", "VAI SYLLABLE MBO (U+A5C4)"
"U+A5C5", "\xea\x97\x85", "VAI SYLLABLE KPO (U+A5C5)"
"U+A5C6", "\xea\x97\x86", "VAI SYLLABLE MGBO (U+A5C6)"
"U+A5C7", "\xea\x97\x87", "VAI SYLLABLE GBO (U+A5C7)"
"U+A5C8", "\xea\x97\x88", "VAI SYLLABLE GBON (U+A5C8)"
"U+A5C9", "\xea\x97\x89", "VAI SYLLABLE FO (U+A5C9)"
"U+A5CA", "\xea\x97\x8a", "VAI SYLLABLE VO (U+A5CA)"
"U+A5CB", "\xea\x97\x8b", "VAI SYLLABLE TO (U+A5CB)"
"U+A5CC", "\xea\x97\x8c", "VAI SYLLABLE THO (U+A5CC)"
"U+A5CD", "\xea\x97\x8d", "VAI SYLLABLE DHO (U+A5CD)"
"U+A5CE", "\xea\x97\x8e", "VAI SYLLABLE DHHO (U+A5CE)"
"U+A5CF", "\xea\x97\x8f", "VAI SYLLABLE LO (U+A5CF)"
"U+A5D0", "\xea\x97\x90", "VAI SYLLABLE RO (U+A5D0)"
"U+A5D1", "\xea\x97\x91", "VAI SYLLABLE DO (U+A5D1)"
"U+A5D2", "\xea\x97\x92", "VAI SYLLABLE NDO (U+A5D2)"
"U+A5D3", "\xea\x97\x93", "VAI SYLLABLE SO (U+A5D3)"
"U+A5D4", "\xea\x97\x94", "VAI SYLLABLE SHO (U+A5D4)"
"U+A5D5", "\xea\x97\x95", "VAI SYLLABLE ZO (U+A5D5)"
"U+A5D6", "\xea\x97\x96", "VAI SYLLABLE ZHO (U+A5D6)"
"U+A5D7", "\xea\x97\x97", "VAI SYLLABLE CO (U+A5D7)"
"U+A5D8", "\xea\x97\x98", "VAI SYLLABLE JO (U+A5D8)"
"U+A5D9", "\xea\x97\x99", "VAI SYLLABLE NJO (U+A5D9)"
"U+A5DA", "\xea\x97\x9a", "VAI SYLLABLE YO (U+A5DA)"
"U+A5DB", "\xea\x97\x9b", "VAI SYLLABLE KO (U+A5DB)"
"U+A5DC", "\xea\x97\x9c", "VAI SYLLABLE NGGO (U+A5DC)"
"U+A5DD", "\xea\x97\x9d", "VAI SYLLABLE GO (U+A5DD)"
"U+A5DE", "\xea\x97\x9e", "VAI SYLLABLE MO (U+A5DE)"
"U+A5DF", "\xea\x97\x9f", "VAI SYLLABLE NO (U+A5DF)"
"U+A5E0", "\xea\x97\xa0", "VAI SYLLABLE NYO (U+A5E0)"
"U+A5E1", "\xea\x97\xa1", "VAI SYLLABLE E (U+A5E1)"
"U+A5E2", "\xea\x97\xa2", "VAI SYLLABLE EN (U+A5E2)"
"U+A5E3", "\xea\x97\xa3", "VAI SYLLABLE NGEN (U+A5E3)"
"U+A5E4", "\xea\x97\xa4", "VAI SYLLABLE HE (U+A5E4)"
"U+A5E5", "\xea\x97\xa5", "VAI SYLLABLE HEN (U+A5E5)"
"U+A5E6", "\xea\x97\xa6", "VAI SYLLABLE WE (U+A5E6)"
"U+A5E7", "\xea\x97\xa7", "VAI SYLLABLE WEN (U+A5E7)"
"U+A5E8", "\xea\x97\xa8", "VAI SYLLABLE PE (U+A5E8)"
"U+A5E9", "\xea\x97\xa9", "VAI SYLLABLE BHE (U+A5E9)"
"U+A5EA", "\xea\x97\xaa", "VAI SYLLABLE BE (U+A5EA)"
"U+A5EB", "\xea\x97\xab", "VAI SYLLABLE MBE (U+A5EB)"
"U+A5EC", "\xea\x97\xac", "VAI SYLLABLE KPE (U+A5EC)"
"U+A5ED", "\xea\x97\xad", "VAI SYLLABLE KPEN (U+A5ED)"
"U+A5EE", "\xea\x97\xae", "VAI SYLLABLE MGBE (U+A5EE)"
"U+A5EF", "\xea\x97\xaf", "VAI SYLLABLE GBE (U+A5EF)"
"U+A5F0", "\xea\x97\xb0", "VAI SYLLABLE GBEN (U+A5F0)"
"U+A5F1", "\xea\x97\xb1", "VAI SYLLABLE FE (U+A5F1)"
"U+A5F2", "\xea\x97\xb2", "VAI SYLLABLE VE (U+A5F2)"
"U+A5F3", "\xea\x97\xb3", "VAI SYLLABLE TE (U+A5F3)"
"U+A5F4", "\xea\x97\xb4", "VAI SYLLABLE THE (U+A5F4)"
"U+A5F5", "\xea\x97\xb5", "VAI SYLLABLE DHE (U+A5F5)"
"U+A5F6", "\xea\x97\xb6", "VAI SYLLABLE DHHE (U+A5F6)"
"U+A5F7", "\xea\x97\xb7", "VAI SYLLABLE LE (U+A5F7)"
"U+A5F8", "\xea\x97\xb8", "VAI SYLLABLE RE (U+A5F8)"
"U+A5F9", "\xea\x97\xb9", "VAI SYLLABLE DE (U+A5F9)"
