# Unicode Characters in the Block Elements Block
# Source: http://www.fileformat.info/info/unicode/block/block_elements/list.htm
"U+2580", "\xe2\x96\x80", "UPPER HALF BLOCK (U+2580)"
"U+2581", "\xe2\x96\x81", "LOWER ONE EIGHTH BLOCK (U+2581)"
"U+2582", "\xe2\x96\x82", "LOWER ONE QUARTER BLOCK (U+2582)"
"U+2583", "\xe2\x96\x83", "LOWER THREE EIGHTHS BLOCK (U+2583)"
"U+2584", "\xe2\x96\x84", "LOWER HALF BLOCK (U+2584)"
"U+2585", "\xe2\x96\x85", "LOWER FIVE EIGHTHS BLOCK (U+2585)"
"U+2586", "\xe2\x96\x86", "LOWER THREE QUARTERS BLOCK (U+2586)"
"U+2587", "\xe2\x96\x87", "LOWER SEVEN EIGHTHS BLOCK (U+2587)"
"U+2588", "\xe2\x96\x88", "FULL BLOCK (U+2588)"
"U+2589", "\xe2\x96\x89", "LEFT SEVEN EIGHTHS BLOCK (U+2589)"
"U+258A", "\xe2\x96\x8a", "LEFT THREE QUARTERS BLOCK (U+258A)"
"U+258B", "\xe2\x96\x8b", "LEFT FIVE EIGHTHS BLOCK (U+258B)"
"U+258C", "\xe2\x96\x8c", "LEFT HALF BLOCK (U+258C)"
"U+258D", "\xe2\x96\x8d", "LEFT THREE EIGHTHS BLOCK (U+258D)"
"U+258E", "\xe2\x96\x8e", "LEFT ONE QUARTER BLOCK (U+258E)"
"U+258F", "\xe2\x96\x8f", "LEFT ONE EIGHTH BLOCK (U+258F)"
"U+2590", "\xe2\x96\x90", "RIGHT HALF BLOCK (U+2590)"
"U+2591", "\xe2\x96\x91", "LIGHT SHADE (U+2591)"
"U+2592", "\xe2\x96\x92", "MEDIUM SHADE (U+2592)"
"U+2593", "\xe2\x96\x93", "DARK SHADE (U+2593)"
"U+2594", "\xe2\x96\x94", "UPPER ONE EIGHTH BLOCK (U+2594)"
"U+2595", "\xe2\x96\x95", "RIGHT ONE EIGHTH BLOCK (U+2595)"
"U+2596", "\xe2\x96\x96", "QUADRANT LOWER LEFT (U+2596)"
"U+2597", "\xe2\x96\x97", "QUADRANT LOWER RIGHT (U+2597)"
"U+2598", "\xe2\x96\x98", "QUADRANT UPPER LEFT (U+2598)"
"U+2599", "\xe2\x96\x99", "QUADRANT UPPER LEFT AND LOWER LEFT AND LOWER RIGHT (U+2599)"
"U+259A", "\xe2\x96\x9a", "QUADRANT UPPER LEFT AND LOWER RIGHT (U+259A)"
"U+259B", "\xe2\x96\x9b", "QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER LEFT (U+259B)"
"U+259C", "\xe2\x96\x9c", "QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER RIGHT (U+259C)"
"U+259D", "\xe2\x96\x9d", "QUADRANT UPPER RIGHT (U+259D)"
"U+259E", "\xe2\x96\x9e", "QUADRANT UPPER RIGHT AND LOWER LEFT (U+259E)"
"U+259F", "\xe2\x96\x9f", "QUADRANT UPPER RIGHT AND LOWER LEFT AND LOWER RIGHT (U+259F)"
