# Ol Chiki
U+1D37, \xe1\xb4\xb7, MODIFIER LETTER CAPITAL K
U+1D38, \xe1\xb4\xb8, MODIFIER LETTER CAPITAL L
U+1D39, \xe1\xb4\xb9, MODIFIER LETTER CAPITAL M
U+1D3A, \xe1\xb4\xba, MODIFIER LETTER CAPITAL N
U+1D3B, \xe1\xb4\xbb, MODIFIER LETTER CAPITAL REVERSED N
U+1D3C, \xe1\xb4\xbc, MODIFIER LETTER CAPITAL O
U+1D3D, \xe1\xb4\xbd, MODIFIER LETTER CAPITAL OU
U+1D3E, \xe1\xb4\xbe, MODIFIER LETTER CAPITAL P
U+1D3F, \xe1\xb4\xbf, MODIFIER LETTER CAPITAL R
U+1D40, \xe1\xb5\x80, MODIFIER LETTER CAPITAL T
U+1D41, \xe1\xb5\x81, MODIFIER LETTER CAPITAL U
U+1D42, \xe1\xb5\x82, MODIFIER LETTER CAPITAL W
U+1D43, \xe1\xb5\x83, MODIFIER LETTER SMALL A
U+1D44, \xe1\xb5\x84, MODIFIER LETTER SMALL TURNED A
U+1D45, \xe1\xb5\x85, MODIFIER LETTER SMALL ALPHA
U+1D46, \xe1\xb5\x86, MODIFIER LETTER SMALL TURNED AE
U+1D47, \xe1\xb5\x87, MODIFIER LETTER SMALL B
U+1D48, \xe1\xb5\x88, MODIFIER LETTER SMALL D
U+1D49, \xe1\xb5\x89, MODIFIER LETTER SMALL E
U+1D4A, \xe1\xb5\x8a, MODIFIER LETTER SMALL SCHWA
U+1D4B, \xe1\xb5\x8b, MODIFIER LETTER SMALL OPEN E
U+1D4C, \xe1\xb5\x8c, MODIFIER LETTER SMALL TURNED OPEN E
U+1D4D, \xe1\xb5\x8d, MODIFIER LETTER SMALL G
U+1D4E, \xe1\xb5\x8e, MODIFIER LETTER SMALL TURNED I
U+1D4F, \xe1\xb5\x8f, MODIFIER LETTER SMALL K
