# Ethiopic Supplement
U+141E, \xe1\x90\x9e, CANADIAN SYLLABICS GLOTTAL STOP
U+141F, \xe1\x90\x9f, CANADIAN SYLLABICS FINAL ACUTE
U+1420, \xe1\x90\xa0, CANADIAN SYLLABICS FINAL GRAVE
U+1421, \xe1\x90\xa1, CANADIAN SYLLABICS FINAL BOTTOM HALF RING
U+1422, \xe1\x90\xa2, CANADIAN SYLLABICS FINAL TOP HALF RING
U+1423, \xe1\x90\xa3, CANADIAN SYLLABICS FINAL RIGHT HALF RING
U+1424, \xe1\x90\xa4, CANADIAN SYLLABICS FINAL RING
U+1425, \xe1\x90\xa5, CANADIAN SYLLABICS FINAL DOUBLE ACUTE
U+1426, \xe1\x90\xa6, CANADIAN SYLLABICS FINAL DOUBLE SHORT VERTICAL STROKES
U+1427, \xe1\x90\xa7, CANADIAN SYLLABICS FINAL MIDDLE DOT
U+1428, \xe1\x90\xa8, CANADIAN SYLLABICS FINAL SHORT HORIZONTAL STROKE
U+1429, \xe1\x90\xa9, CANADIAN SYLLABICS FINAL PLUS
U+142A, \xe1\x90\xaa, CANADIAN SYLLABICS FINAL DOWN TACK
U+142B, \xe1\x90\xab, CANADIAN SYLLABICS EN
U+142C, \xe1\x90\xac, CANADIAN SYLLABICS IN
U+142D, \xe1\x90\xad, CANADIAN SYLLABICS ON
U+142E, \xe1\x90\xae, CANADIAN SYLLABICS AN
U+142F, \xe1\x90\xaf, CANADIAN SYLLABICS PE
U+1430, \xe1\x90\xb0, CANADIAN SYLLABICS PAAI
U+1431, \xe1\x90\xb1, CANADIAN SYLLABICS PI
U+1432, \xe1\x90\xb2, CANADIAN SYLLABICS PII
U+1433, \xe1\x90\xb3, CANADIAN SYLLABICS PO
U+1434, \xe1\x90\xb4, CANADIAN SYLLABICS POO
U+1435, \xe1\x90\xb5, CANADIAN SYLLABICS Y-CREE POO
U+1436, \xe1\x90\xb6, CANADIAN SYLLABICS CARRIER HEE
U+1437, \xe1\x90\xb7, CANADIAN SYLLABICS CARRIER HI
U+1438, \xe1\x90\xb8, CANADIAN SYLLABICS PA
U+1439, \xe1\x90\xb9, CANADIAN SYLLABICS PAA
U+143A, \xe1\x90\xba, CANADIAN SYLLABICS PWE
U+143B, \xe1\x90\xbb, CANADIAN SYLLABICS WEST-CREE PWE
U+143C, \xe1\x90\xbc, CANADIAN SYLLABICS PWI
U+143D, \xe1\x90\xbd, CANADIAN SYLLABICS WEST-CREE PWI
U+143E, \xe1\x90\xbe, CANADIAN SYLLABICS PWII
U+143F, \xe1\x90\xbf, CANADIAN SYLLABICS WEST-CREE PWII
U+1440, \xe1\x91\x80, CANADIAN SYLLABICS PWO
U+1441, \xe1\x91\x81, CANADIAN SYLLABICS WEST-CREE PWO
U+1442, \xe1\x91\x82, CANADIAN SYLLABICS PWOO
U+1443, \xe1\x91\x83, CANADIAN SYLLABICS WEST-CREE PWOO
U+1444, \xe1\x91\x84, CANADIAN SYLLABICS PWA
U+1445, \xe1\x91\x85, CANADIAN SYLLABICS WEST-CREE PWA
U+1446, \xe1\x91\x86, CANADIAN SYLLABICS PWAA
U+1447, \xe1\x91\x87, CANADIAN SYLLABICS WEST-CREE PWAA
U+1448, \xe1\x91\x88, CANADIAN SYLLABICS Y-CREE PWAA
U+1449, \xe1\x91\x89, CANADIAN SYLLABICS P
U+144A, \xe1\x91\x8a, CANADIAN SYLLABICS WEST-CREE P
U+144B, \xe1\x91\x8b, CANADIAN SYLLABICS CARRIER H
U+144C, \xe1\x91\x8c, CANADIAN SYLLABICS TE
U+144D, \xe1\x91\x8d, CANADIAN SYLLABICS TAAI
U+144E, \xe1\x91\x8e, CANADIAN SYLLABICS TI
U+144F, \xe1\x91\x8f, CANADIAN SYLLABICS TII
U+1450, \xe1\x91\x90, CANADIAN SYLLABICS TO
U+1451, \xe1\x91\x91, CANADIAN SYLLABICS TOO
U+1452, \xe1\x91\x92, CANADIAN SYLLABICS Y-CREE TOO
U+1453, \xe1\x91\x93, CANADIAN SYLLABICS CARRIER DEE
U+1454, \xe1\x91\x94, CANADIAN SYLLABICS CARRIER DI
U+1455, \xe1\x91\x95, CANADIAN SYLLABICS TA
U+1456, \xe1\x91\x96, CANADIAN SYLLABICS TAA
U+1457, \xe1\x91\x97, CANADIAN SYLLABICS TWE
U+1458, \xe1\x91\x98, CANADIAN SYLLABICS WEST-CREE TWE
U+1459, \xe1\x91\x99, CANADIAN SYLLABICS TWI
U+145A, \xe1\x91\x9a, CANADIAN SYLLABICS WEST-CREE TWI
U+145B, \xe1\x91\x9b, CANADIAN SYLLABICS TWII
U+145C, \xe1\x91\x9c, CANADIAN SYLLABICS WEST-CREE TWII
U+145D, \xe1\x91\x9d, CANADIAN SYLLABICS TWO
U+145E, \xe1\x91\x9e, CANADIAN SYLLABICS WEST-CREE TWO
U+145F, \xe1\x91\x9f, CANADIAN SYLLABICS TWOO
