# Unicode Characters in the Lepcha Block
# Source: http://www.fileformat.info/info/unicode/block/lepcha/list.htm
"U+1C2E", "\xe1\xb0\xae", "LEPCHA CONSONANT SIGN M (U+1C2E)"
"U+1C2F", "\xe1\xb0\xaf", "LEPCHA CONSONANT SIGN L (U+1C2F)"
"U+1C30", "\xe1\xb0\xb0", "LEPCHA CONSONANT SIGN N (U+1C30)"
"U+1C31", "\xe1\xb0\xb1", "LEPCHA CONSONANT SIGN P (U+1C31)"
"U+1C32", "\xe1\xb0\xb2", "LEPCHA CONSONANT SIGN R (U+1C32)"
"U+1C33", "\xe1\xb0\xb3", "LEPCHA CONSONANT SIGN T (U+1C33)"
"U+1C34", "\xe1\xb0\xb4", "LEPCHA CONSONANT SIGN NYIN-DO (U+1C34)"
"U+1C35", "\xe1\xb0\xb5", "LEPCHA CONSONANT SIGN KANG (U+1C35)"
"U+1C36", "\xe1\xb0\xb6", "LEPCHA SIGN RAN (U+1C36)"
"U+1C37", "\xe1\xb0\xb7", "LEPCHA SIGN NUKTA (U+1C37)"
"U+1C3B", "\xe1\xb0\xbb", "LEPCHA PUNCTUATION TA-ROL (U+1C3B)"
"U+1C3C", "\xe1\xb0\xbc", "LEPCHA PUNCTUATION NYET THYOOM TA-ROL (U+1C3C)"
"U+1C3D", "\xe1\xb0\xbd", "LEPCHA PUNCTUATION CER-WA (U+1C3D)"
"U+1C3E", "\xe1\xb0\xbe", "LEPCHA PUNCTUATION TSHOOK CER-WA (U+1C3E)"
"U+1C3F", "\xe1\xb0\xbf", "LEPCHA PUNCTUATION TSHOOK (U+1C3F)"
"U+1C40", "\xe1\xb1\x80", "LEPCHA DIGIT ZERO (U+1C40)"
"U+1C41", "\xe1\xb1\x81", "LEPCHA DIGIT ONE (U+1C41)"
"U+1C42", "\xe1\xb1\x82", "LEPCHA DIGIT TWO (U+1C42)"
"U+1C43", "\xe1\xb1\x83", "LEPCHA DIGIT THREE (U+1C43)"
"U+1C44", "\xe1\xb1\x84", "LEPCHA DIGIT FOUR (U+1C44)"
"U+1C45", "\xe1\xb1\x85", "LEPCHA DIGIT FIVE (U+1C45)"
"U+1C46", "\xe1\xb1\x86", "LEPCHA DIGIT SIX (U+1C46)"
"U+1C47", "\xe1\xb1\x87", "LEPCHA DIGIT SEVEN (U+1C47)"
"U+1C48", "\xe1\xb1\x88", "LEPCHA DIGIT EIGHT (U+1C48)"
"U+1C49", "\xe1\xb1\x89", "LEPCHA DIGIT NINE (U+1C49)"
"U+1C4D", "\xe1\xb1\x8d", "LEPCHA LETTER TTA (U+1C4D)"
"U+1C4E", "\xe1\xb1\x8e", "LEPCHA LETTER TTHA (U+1C4E)"
"U+1C4F", "\xe1\xb1\x8f", "LEPCHA LETTER DDA (U+1C4F)"
