# Lao
U+0EC4, \xe0\xbb\x84, LAO VOWEL SIGN AI
U+0EC6, \xe0\xbb\x86, LAO KO LA
U+0EC8, \xe0\xbb\x88, LAO TONE MAI EK
U+0EC9, \xe0\xbb\x89, LAO TONE MAI THO
U+0ECA, \xe0\xbb\x8a, LAO TONE MAI TI
U+0ECB, \xe0\xbb\x8b, LAO TONE MAI CATAWA
U+0ECC, \xe0\xbb\x8c, LAO CANCELLATION MARK
U+0ECD, \xe0\xbb\x8d, LAO NIGGAHITA
U+0ED0, \xe0\xbb\x90, LAO DIGIT ZERO
U+0ED1, \xe0\xbb\x91, LAO DIGIT ONE
U+0ED2, \xe0\xbb\x92, LAO DIGIT TWO
U+0ED3, \xe0\xbb\x93, LAO DIGIT THREE
U+0ED4, \xe0\xbb\x94, LAO DIGIT FOUR
U+0ED5, \xe0\xbb\x95, LAO DIGIT FIVE
U+0ED6, \xe0\xbb\x96, LAO DIGIT SIX
U+0ED7, \xe0\xbb\x97, LAO DIGIT SEVEN
U+0ED8, \xe0\xbb\x98, LAO DIGIT EIGHT
U+0ED9, \xe0\xbb\x99, LAO DIGIT NINE
U+0EDC, \xe0\xbb\x9c, LAO HO NO
U+0EDD, \xe0\xbb\x9d, LAO HO MO
U+0F00, \xe0\xbc\x80, TIBETAN SYLLABLE OM
U+0F01, \xe0\xbc\x81, TIBETAN MARK GTER YIG MGO TRUNCATED A
U+0F02, \xe0\xbc\x82, TIBETAN MARK GTER YIG MGO -UM RNAM BCAD MA
U+0F03, \xe0\xbc\x83, TIBETAN MARK GTER YIG MGO -UM GTER TSHEG MA
U+0F04, \xe0\xbc\x84, TIBETAN MARK INITIAL YIG MGO MDUN MA
U+0F05, \xe0\xbc\x85, TIBETAN MARK CLOSING YIG MGO SGAB MA
U+0F06, \xe0\xbc\x86, TIBETAN MARK CARET YIG MGO PHUR SHAD MA
U+0F07, \xe0\xbc\x87, TIBETAN MARK YIG MGO TSHEG SHAD MA
U+0F08, \xe0\xbc\x88, TIBETAN MARK SBRUL SHAD
U+0F09, \xe0\xbc\x89, TIBETAN MARK BSKUR YIG MGO
U+0F0A, \xe0\xbc\x8a, TIBETAN MARK BKA- SHOG YIG MGO
U+0F0B, \xe0\xbc\x8b, TIBETAN MARK INTERSYLLABIC TSHEG
U+0F0C, \xe0\xbc\x8c, TIBETAN MARK DELIMITER TSHEG BSTAR
U+0F0D, \xe0\xbc\x8d, TIBETAN MARK SHAD
U+0F0E, \xe0\xbc\x8e, TIBETAN MARK NYIS SHAD
U+0F0F, \xe0\xbc\x8f, TIBETAN MARK TSHEG SHAD
U+0F10, \xe0\xbc\x90, TIBETAN MARK NYIS TSHEG SHAD
U+0F11, \xe0\xbc\x91, TIBETAN MARK RIN CHEN SPUNGS SHAD
U+0F12, \xe0\xbc\x92, TIBETAN MARK RGYA GRAM SHAD
U+0F13, \xe0\xbc\x93, TIBETAN MARK CARET -DZUD RTAGS ME LONG CAN
U+0F14, \xe0\xbc\x94, TIBETAN MARK GTER TSHEG
U+0F15, \xe0\xbc\x95, TIBETAN LOGOTYPE SIGN CHAD RTAGS
U+0F16, \xe0\xbc\x96, TIBETAN LOGOTYPE SIGN LHAG RTAGS
U+0F17, \xe0\xbc\x97, TIBETAN ASTROLOGICAL SIGN SGRA GCAN -CHAR RTAGS
U+0F18, \xe0\xbc\x98, TIBETAN ASTROLOGICAL SIGN -KHYUD PA
U+0F19, \xe0\xbc\x99, TIBETAN ASTROLOGICAL SIGN SDONG TSHUGS
U+0F1A, \xe0\xbc\x9a, TIBETAN SIGN RDEL DKAR GCIG
U+0F1B, \xe0\xbc\x9b, TIBETAN SIGN RDEL DKAR GNYIS
U+0F1C, \xe0\xbc\x9c, TIBETAN SIGN RDEL DKAR GSUM
U+0F1D, \xe0\xbc\x9d, TIBETAN SIGN RDEL NAG GCIG
U+0F1E, \xe0\xbc\x9e, TIBETAN SIGN RDEL NAG GNYIS
U+0F1F, \xe0\xbc\x9f, TIBETAN SIGN RDEL DKAR RDEL NAG
U+0F20, \xe0\xbc\xa0, TIBETAN DIGIT ZERO
U+0F21, \xe0\xbc\xa1, TIBETAN DIGIT ONE
U+0F22, \xe0\xbc\xa2, TIBETAN DIGIT TWO
U+0F23, \xe0\xbc\xa3, TIBETAN DIGIT THREE
U+0F24, \xe0\xbc\xa4, TIBETAN DIGIT FOUR
U+0F25, \xe0\xbc\xa5, TIBETAN DIGIT FIVE
U+0F26, \xe0\xbc\xa6, TIBETAN DIGIT SIX
U+0F27, \xe0\xbc\xa7, TIBETAN DIGIT SEVEN
U+0F28, \xe0\xbc\xa8, TIBETAN DIGIT EIGHT
U+0F29, \xe0\xbc\xa9, TIBETAN DIGIT NINE
U+0F2A, \xe0\xbc\xaa, TIBETAN DIGIT HALF ONE
U+0F2B, \xe0\xbc\xab, TIBETAN DIGIT HALF TWO
U+0F2C, \xe0\xbc\xac, TIBETAN DIGIT HALF THREE
U+0F2D, \xe0\xbc\xad, TIBETAN DIGIT HALF FOUR
U+0F2E, \xe0\xbc\xae, TIBETAN DIGIT HALF FIVE
U+0F2F, \xe0\xbc\xaf, TIBETAN DIGIT HALF SIX
U+0F30, \xe0\xbc\xb0, TIBETAN DIGIT HALF SEVEN
U+0F31, \xe0\xbc\xb1, TIBETAN DIGIT HALF EIGHT
U+0F32, \xe0\xbc\xb2, TIBETAN DIGIT HALF NINE
U+0F33, \xe0\xbc\xb3, TIBETAN DIGIT HALF ZERO
U+0F34, \xe0\xbc\xb4, TIBETAN MARK BSDUS RTAGS
U+0F35, \xe0\xbc\xb5, TIBETAN MARK NGAS BZUNG NYI ZLA
U+0F36, \xe0\xbc\xb6, TIBETAN MARK CARET -DZUD RTAGS BZHI MIG CAN
U+0F37, \xe0\xbc\xb7, TIBETAN MARK NGAS BZUNG SGOR RTAGS
U+0F38, \xe0\xbc\xb8, TIBETAN MARK CHE MGO
U+0F39, \xe0\xbc\xb9, TIBETAN MARK TSA -PHRU
U+0F3A, \xe0\xbc\xba, TIBETAN MARK GUG RTAGS GYON
U+0F3B, \xe0\xbc\xbb, TIBETAN MARK GUG RTAGS GYAS
U+0F3C, \xe0\xbc\xbc, TIBETAN MARK ANG KHANG GYON
U+0F3D, \xe0\xbc\xbd, TIBETAN MARK ANG KHANG GYAS
U+0F3E, \xe0\xbc\xbe, TIBETAN SIGN YAR TSHES
U+0F3F, \xe0\xbc\xbf, TIBETAN SIGN MAR TSHES
U+0F40, \xe0\xbd\x80, TIBETAN LETTER KA
U+0F41, \xe0\xbd\x81, TIBETAN LETTER KHA
U+0F42, \xe0\xbd\x82, TIBETAN LETTER GA
U+0F43, \xe0\xbd\x83, TIBETAN LETTER GHA
U+0F44, \xe0\xbd\x84, TIBETAN LETTER NGA
U+0F45, \xe0\xbd\x85, TIBETAN LETTER CA
U+0F46, \xe0\xbd\x86, TIBETAN LETTER CHA
U+0F47, \xe0\xbd\x87, TIBETAN LETTER JA
U+0F49, \xe0\xbd\x89, TIBETAN LETTER NYA
U+0F4A, \xe0\xbd\x8a, TIBETAN LETTER TTA
U+0F4B, \xe0\xbd\x8b, TIBETAN LETTER TTHA
U+0F4C, \xe0\xbd\x8c, TIBETAN LETTER DDA
U+0F4D, \xe0\xbd\x8d, TIBETAN LETTER DDHA
U+0F4E, \xe0\xbd\x8e, TIBETAN LETTER NNA
U+0F4F, \xe0\xbd\x8f, TIBETAN LETTER TA
U+0F50, \xe0\xbd\x90, TIBETAN LETTER THA
U+0F51, \xe0\xbd\x91, TIBETAN LETTER DA
U+0F52, \xe0\xbd\x92, TIBETAN LETTER DHA
U+0F53, \xe0\xbd\x93, TIBETAN LETTER NA
