# Block Elements
U+263C, \xe2\x98\xbc, WHITE SUN WITH RAYS
U+263D, \xe2\x98\xbd, FIRST QUARTER MOON
U+263E, \xe2\x98\xbe, LAST QUARTER MOON
U+263F, \xe2\x98\xbf, MERCURY
U+2640, \xe2\x99\x80, FEMALE SIGN
U+2641, \xe2\x99\x81, EARTH
U+2642, \xe2\x99\x82, MALE SIGN
U+2643, \xe2\x99\x83, JUPITER
U+2644, \xe2\x99\x84, SATURN
U+2645, \xe2\x99\x85, URANUS
U+2646, \xe2\x99\x86, NEPTUNE
U+2647, \xe2\x99\x87, PLUTO
U+2648, \xe2\x99\x88, ARIES
U+2649, \xe2\x99\x89, TAURUS
U+264A, \xe2\x99\x8a, GEMINI
U+264B, \xe2\x99\x8b, CANCER
U+264C, \xe2\x99\x8c, LEO
U+264D, \xe2\x99\x8d, VIRGO
U+264E, \xe2\x99\x8e, LIBRA
U+264F, \xe2\x99\x8f, SCORPIUS
U+2650, \xe2\x99\x90, SAGITTARIUS
U+2651, \xe2\x99\x91, CAPRICORN
U+2652, \xe2\x99\x92, AQUARIUS
U+2653, \xe2\x99\x93, PISCES
U+2654, \xe2\x99\x94, WHITE CHESS KING
U+2655, \xe2\x99\x95, WHITE CHESS QUEEN
U+2656, \xe2\x99\x96, WHITE CHESS ROOK
U+2657, \xe2\x99\x97, WHITE CHESS BISHOP
U+2658, \xe2\x99\x98, WHITE CHESS KNIGHT
U+2659, \xe2\x99\x99, WHITE CHESS PAWN
U+265A, \xe2\x99\x9a, BLACK CHESS KING
U+265B, \xe2\x99\x9b, BLACK CHESS QUEEN
U+265C, \xe2\x99\x9c, BLACK CHESS ROOK
U+265D, \xe2\x99\x9d, BLACK CHESS BISHOP
U+265E, \xe2\x99\x9e, BLACK CHESS KNIGHT
U+265F, \xe2\x99\x9f, BLACK CHESS PAWN
U+2660, \xe2\x99\xa0, BLACK SPADE SUIT
U+2661, \xe2\x99\xa1, WHITE HEART SUIT
U+2662, \xe2\x99\xa2, WHITE DIAMOND SUIT
U+2663, \xe2\x99\xa3, BLACK CLUB SUIT
U+2664, \xe2\x99\xa4, WHITE SPADE SUIT
U+2665, \xe2\x99\xa5, BLACK HEART SUIT
U+2666, \xe2\x99\xa6, BLACK DIAMOND SUIT
U+2667, \xe2\x99\xa7, WHITE CLUB SUIT
U+2668, \xe2\x99\xa8, HOT SPRINGS
U+2669, \xe2\x99\xa9, QUARTER NOTE
U+266A, \xe2\x99\xaa, EIGHTH NOTE
U+266B, \xe2\x99\xab, BEAMED EIGHTH NOTES
U+266C, \xe2\x99\xac, BEAMED SIXTEENTH NOTES
U+266D, \xe2\x99\xad, MUSIC FLAT SIGN
U+266E, \xe2\x99\xae, MUSIC NATURAL SIGN
U+266F, \xe2\x99\xaf, MUSIC SHARP SIGN
U+2670, \xe2\x99\xb0, WEST SYRIAC CROSS
U+2671, \xe2\x99\xb1, EAST SYRIAC CROSS
U+2672, \xe2\x99\xb2, UNIVERSAL RECYCLING SYMBOL
U+2673, \xe2\x99\xb3, RECYCLING SYMBOL FOR TYPE-1 PLASTICS
U+2674, \xe2\x99\xb4, RECYCLING SYMBOL FOR TYPE-2 PLASTICS
U+2675, \xe2\x99\xb5, RECYCLING SYMBOL FOR TYPE-3 PLASTICS
U+2676, \xe2\x99\xb6, RECYCLING SYMBOL FOR TYPE-4 PLASTICS
U+2677, \xe2\x99\xb7, RECYCLING SYMBOL FOR TYPE-5 PLASTICS
U+2678, \xe2\x99\xb8, RECYCLING SYMBOL FOR TYPE-6 PLASTICS
U+2679, \xe2\x99\xb9, RECYCLING SYMBOL FOR TYPE-7 PLASTICS
U+267A, \xe2\x99\xba, RECYCLING SYMBOL FOR GENERIC MATERIALS
U+267B, \xe2\x99\xbb, BLACK UNIVERSAL RECYCLING SYMBOL
U+267C, \xe2\x99\xbc, RECYCLED PAPER SYMBOL
U+267D, \xe2\x99\xbd, PARTIALLY-RECYCLED PAPER SYMBOL
U+267E, \xe2\x99\xbe, PERMANENT PAPER SIGN
U+267F, \xe2\x99\xbf, WHEELCHAIR SYMBOL
