# Block Elements
U+25D6, \xe2\x97\x96, LEFT HALF BLACK CIRCLE
U+25D7, \xe2\x97\x97, RIGHT HALF BLACK CIRCLE
U+25D8, \xe2\x97\x98, INVERSE BULLET
U+25D9, \xe2\x97\x99, INVERSE WHITE CIRCLE
U+25DA, \xe2\x97\x9a, UPPER HALF INVERSE WHITE CIRCLE
U+25DB, \xe2\x97\x9b, LOWER HALF INVERSE WHITE CIRCLE
U+25DC, \xe2\x97\x9c, UPPER LEFT QUADRANT CIRCULAR ARC
U+25DD, \xe2\x97\x9d, UPPER RIGHT QUADRANT CIRCULAR ARC
U+25DE, \xe2\x97\x9e, LOWER RIGHT QUADRANT CIRCULAR ARC
U+25DF, \xe2\x97\x9f, LOWER LEFT QUADRANT CIRCULAR ARC
U+25E0, \xe2\x97\xa0, UPPER HALF CIRCLE
U+25E1, \xe2\x97\xa1, LOWER HALF CIRCLE
U+25E2, \xe2\x97\xa2, BLACK LOWER RIGHT TRIANGLE
U+25E3, \xe2\x97\xa3, BLACK LOWER LEFT TRIANGLE
U+25E4, \xe2\x97\xa4, BLACK UPPER LEFT TRIANGLE
U+25E5, \xe2\x97\xa5, BLACK UPPER RIGHT TRIANGLE
U+25E6, \xe2\x97\xa6, WHITE BULLET
U+25E7, \xe2\x97\xa7, SQUARE WITH LEFT HALF BLACK
U+25E8, \xe2\x97\xa8, SQUARE WITH RIGHT HALF BLACK
U+25E9, \xe2\x97\xa9, SQUARE WITH UPPER LEFT DIAGONAL HALF BLACK
U+25EA, \xe2\x97\xaa, SQUARE WITH LOWER RIGHT DIAGONAL HALF BLACK
U+25EB, \xe2\x97\xab, WHITE SQUARE WITH VERTICAL BISECTING LINE
U+25EC, \xe2\x97\xac, WHITE UP-POINTING TRIANGLE WITH DOT
U+25ED, \xe2\x97\xad, UP-POINTING TRIANGLE WITH LEFT HALF BLACK
U+25EE, \xe2\x97\xae, UP-POINTING TRIANGLE WITH RIGHT HALF BLACK
U+25EF, \xe2\x97\xaf, LARGE CIRCLE
U+25F0, \xe2\x97\xb0, WHITE SQUARE WITH UPPER LEFT QUADRANT
U+25F1, \xe2\x97\xb1, WHITE SQUARE WITH LOWER LEFT QUADRANT
U+25F2, \xe2\x97\xb2, WHITE SQUARE WITH LOWER RIGHT QUADRANT
U+25F3, \xe2\x97\xb3, WHITE SQUARE WITH UPPER RIGHT QUADRANT
U+25F4, \xe2\x97\xb4, WHITE CIRCLE WITH UPPER LEFT QUADRANT
U+25F5, \xe2\x97\xb5, WHITE CIRCLE WITH LOWER LEFT QUADRANT
U+25F6, \xe2\x97\xb6, WHITE CIRCLE WITH LOWER RIGHT QUADRANT
U+25F7, \xe2\x97\xb7, WHITE CIRCLE WITH UPPER RIGHT QUADRANT
U+25F8, \xe2\x97\xb8, UPPER LEFT TRIANGLE
U+25F9, \xe2\x97\xb9, UPPER RIGHT TRIANGLE
U+25FA, \xe2\x97\xba, LOWER LEFT TRIANGLE
U+25FB, \xe2\x97\xbb, WHITE MEDIUM SQUARE
U+25FC, \xe2\x97\xbc, BLACK MEDIUM SQUARE
U+25FD, \xe2\x97\xbd, WHITE MEDIUM SMALL SQUARE
U+25FE, \xe2\x97\xbe, BLACK MEDIUM SMALL SQUARE
U+25FF, \xe2\x97\xbf, LOWER RIGHT TRIANGLE
U+2600, \xe2\x98\x80, BLACK SUN WITH RAYS
U+2601, \xe2\x98\x81, CLOUD
U+2602, \xe2\x98\x82, UMBRELLA
U+2603, \xe2\x98\x83, SNOWMAN
U+2604, \xe2\x98\x84, COMET
U+2605, \xe2\x98\x85, BLACK STAR
U+2606, \xe2\x98\x86, WHITE STAR
U+2607, \xe2\x98\x87, LIGHTNING
U+2608, \xe2\x98\x88, THUNDERSTORM
U+2609, \xe2\x98\x89, SUN
U+260A, \xe2\x98\x8a, ASCENDING NODE
U+260B, \xe2\x98\x8b, DESCENDING NODE
U+260C, \xe2\x98\x8c, CONJUNCTION
U+260D, \xe2\x98\x8d, OPPOSITION
U+260E, \xe2\x98\x8e, BLACK TELEPHONE
U+260F, \xe2\x98\x8f, WHITE TELEPHONE
U+2610, \xe2\x98\x90, BALLOT BOX
U+2611, \xe2\x98\x91, BALLOT BOX WITH CHECK
U+2612, \xe2\x98\x92, BALLOT BOX WITH X
U+2613, \xe2\x98\x93, SALTIRE
U+2614, \xe2\x98\x94, UMBRELLA WITH RAIN DROPS
U+2615, \xe2\x98\x95, HOT BEVERAGE
U+2616, \xe2\x98\x96, WHITE SHOGI PIECE
U+2617, \xe2\x98\x97, BLACK SHOGI PIECE
U+2618, \xe2\x98\x98, SHAMROCK
U+2619, \xe2\x98\x99, REVERSED ROTATED FLORAL HEART BULLET
U+261A, \xe2\x98\x9a, BLACK LEFT POINTING INDEX
U+261B, \xe2\x98\x9b, BLACK RIGHT POINTING INDEX
U+261C, \xe2\x98\x9c, WHITE LEFT POINTING INDEX
U+261D, \xe2\x98\x9d, WHITE UP POINTING INDEX
U+261E, \xe2\x98\x9e, WHITE RIGHT POINTING INDEX
U+261F, \xe2\x98\x9f, WHITE DOWN POINTING INDEX
U+2620, \xe2\x98\xa0, SKULL AND CROSSBONES
U+2621, \xe2\x98\xa1, CAUTION SIGN
U+2622, \xe2\x98\xa2, RADIOACTIVE SIGN
U+2623, \xe2\x98\xa3, BIOHAZARD SIGN
U+2624, \xe2\x98\xa4, CADUCEUS
U+2625, \xe2\x98\xa5, ANKH
U+2626, \xe2\x98\xa6, ORTHODOX CROSS
U+2627, \xe2\x98\xa7, CHI RHO
U+2628, \xe2\x98\xa8, CROSS OF LORRAINE
U+2629, \xe2\x98\xa9, CROSS OF JERUSALEM
U+262A, \xe2\x98\xaa, STAR AND CRESCENT
U+262B, \xe2\x98\xab, FARSI SYMBOL
U+262C, \xe2\x98\xac, ADI SHAKTI
U+262D, \xe2\x98\xad, HAMMER AND SICKLE
U+262E, \xe2\x98\xae, PEACE SYMBOL
U+262F, \xe2\x98\xaf, YIN YANG
U+2630, \xe2\x98\xb0, TRIGRAM FOR HEAVEN
U+2631, \xe2\x98\xb1, TRIGRAM FOR LAKE
U+2632, \xe2\x98\xb2, TRIGRAM FOR FIRE
U+2633, \xe2\x98\xb3, TRIGRAM FOR THUNDER
U+2634, \xe2\x98\xb4, TRIGRAM FOR WIND
U+2635, \xe2\x98\xb5, TRIGRAM FOR WATER
U+2636, \xe2\x98\xb6, TRIGRAM FOR MOUNTAIN
U+2637, \xe2\x98\xb7, TRIGRAM FOR EARTH
U+2638, \xe2\x98\xb8, WHEEL OF DHARMA
U+2639, \xe2\x98\xb9, WHITE FROWNING FACE
U+263A, \xe2\x98\xba, WHITE SMILING FACE
U+263B, \xe2\x98\xbb, BLACK SMILING FACE
