# Unified Canadian Aboriginal Syllabics
U+1400, \xe1\x90\x80, CANADIAN SYLLABICS HYPHEN
U+14B4, \xe1\x92\xb4, CANADIAN SYLLABICS MWOO
U+14B5, \xe1\x92\xb5, CANADIAN SYLLABICS WEST-CREE MWOO
U+14B6, \xe1\x92\xb6, CANADIAN SYLLABICS MWA
U+14B7, \xe1\x92\xb7, CANADIAN SYLLABICS WEST-CREE MWA
U+14B8, \xe1\x92\xb8, CANADIAN SYLLABICS MWAA
U+14B9, \xe1\x92\xb9, CANADIAN SYLLABICS WEST-CREE MWAA
U+14BA, \xe1\x92\xba, CANADIAN SYLLABICS NASKAPI MWAA
U+14BB, \xe1\x92\xbb, CANADIAN SYLLABICS M
U+14BC, \xe1\x92\xbc, CANADIAN SYLLABICS WEST-CREE M
U+14BD, \xe1\x92\xbd, CANADIAN SYLLABICS MH
U+14BE, \xe1\x92\xbe, CANADIAN SYLLABICS ATHAPASCAN M
U+14BF, \xe1\x92\xbf, CANADIAN SYLLABICS SAYISI M
U+14C0, \xe1\x93\x80, CANADIAN SYLLABICS NE
U+14C1, \xe1\x93\x81, CANADIAN SYLLABICS NAAI
U+14C2, \xe1\x93\x82, CANADIAN SYLLABICS NI
U+14C3, \xe1\x93\x83, CANADIAN SYLLABICS NII
U+14C4, \xe1\x93\x84, CANADIAN SYLLABICS NO
U+14C5, \xe1\x93\x85, CANADIAN SYLLABICS NOO
U+14C6, \xe1\x93\x86, CANADIAN SYLLABICS Y-CREE NOO
U+14C7, \xe1\x93\x87, CANADIAN SYLLABICS NA
U+14C8, \xe1\x93\x88, CANADIAN SYLLABICS NAA
U+14C9, \xe1\x93\x89, CANADIAN SYLLABICS NWE
U+14CA, \xe1\x93\x8a, CANADIAN SYLLABICS WEST-CREE NWE
U+14CB, \xe1\x93\x8b, CANADIAN SYLLABICS NWA
U+14CC, \xe1\x93\x8c, CANADIAN SYLLABICS WEST-CREE NWA
U+14CD, \xe1\x93\x8d, CANADIAN SYLLABICS NWAA
U+14CE, \xe1\x93\x8e, CANADIAN SYLLABICS WEST-CREE NWAA
U+14CF, \xe1\x93\x8f, CANADIAN SYLLABICS NASKAPI NWAA
U+14D0, \xe1\x93\x90, CANADIAN SYLLABICS N
U+14D1, \xe1\x93\x91, CANADIAN SYLLABICS CARRIER NG
U+14D2, \xe1\x93\x92, CANADIAN SYLLABICS NH
U+14D3, \xe1\x93\x93, CANADIAN SYLLABICS LE
U+14D4, \xe1\x93\x94, CANADIAN SYLLABICS LAAI
U+14D5, \xe1\x93\x95, CANADIAN SYLLABICS LI
U+14D6, \xe1\x93\x96, CANADIAN SYLLABICS LII
U+14D7, \xe1\x93\x97, CANADIAN SYLLABICS LO
U+14D8, \xe1\x93\x98, CANADIAN SYLLABICS LOO
U+14D9, \xe1\x93\x99, CANADIAN SYLLABICS Y-CREE LOO
U+14DA, \xe1\x93\x9a, CANADIAN SYLLABICS LA
U+14DB, \xe1\x93\x9b, CANADIAN SYLLABICS LAA
U+14DC, \xe1\x93\x9c, CANADIAN SYLLABICS LWE
U+14DD, \xe1\x93\x9d, CANADIAN SYLLABICS WEST-CREE LWE
U+14DE, \xe1\x93\x9e, CANADIAN SYLLABICS LWI
U+14DF, \xe1\x93\x9f, CANADIAN SYLLABICS WEST-CREE LWI
U+14E0, \xe1\x93\xa0, CANADIAN SYLLABICS LWII
U+14E1, \xe1\x93\xa1, CANADIAN SYLLABICS WEST-CREE LWII
