# Unicode Characters in the Malayalam Block
# Source: http://www.fileformat.info/info/unicode/block/malayalam/list.htm
"U+0D4D", "\xe0\xb5\x8d", "MALAYALAM SIGN VIRAMA (U+0D4D)"
"U+0D4E", "\xe0\xb5\x8e", "MALAYALAM LETTER DOT REPH (U+0D4E)"
"U+0D57", "\xe0\xb5\x97", "MALAYALAM AU LENGTH MARK (U+0D57)"
"U+0D60", "\xe0\xb5\xa0", "MALAYALAM LETTER VOCALIC RR (U+0D60)"
"U+0D61", "\xe0\xb5\xa1", "MALAYALAM LETTER VOCALIC LL (U+0D61)"
"U+0D62", "\xe0\xb5\xa2", "MALAYALAM VOWEL SIGN VOCALIC L (U+0D62)"
"U+0D63", "\xe0\xb5\xa3", "MALAYALAM VOWEL SIGN VOCALIC LL (U+0D63)"
"U+0D66", "\xe0\xb5\xa6", "MALAYALAM DIGIT ZERO (U+0D66)"
"U+0D67", "\xe0\xb5\xa7", "MALAYALAM DIGIT ONE (U+0D67)"
"U+0D68", "\xe0\xb5\xa8", "MALAYALAM DIGIT TWO (U+0D68)"
"U+0D69", "\xe0\xb5\xa9", "MALAYALAM DIGIT THREE (U+0D69)"
"U+0D6A", "\xe0\xb5\xaa", "MALAYALAM DIGIT FOUR (U+0D6A)"
"U+0D6B", "\xe0\xb5\xab", "MALAYALAM DIGIT FIVE (U+0D6B)"
"U+0D6C", "\xe0\xb5\xac", "MALAYALAM DIGIT SIX (U+0D6C)"
"U+0D6D", "\xe0\xb5\xad", "MALAYALAM DIGIT SEVEN (U+0D6D)"
"U+0D6E", "\xe0\xb5\xae", "MALAYALAM DIGIT EIGHT (U+0D6E)"
"U+0D6F", "\xe0\xb5\xaf", "MALAYALAM DIGIT NINE (U+0D6F)"
"U+0D70", "\xe0\xb5\xb0", "MALAYALAM NUMBER TEN (U+0D70)"
"U+0D71", "\xe0\xb5\xb1", "MALAYALAM NUMBER ONE HUNDRED (U+0D71)"
"U+0D72", "\xe0\xb5\xb2", "MALAYALAM NUMBER ONE THOUSAND (U+0D72)"
"U+0D73", "\xe0\xb5\xb3", "MALAYALAM FRACTION ONE QUARTER (U+0D73)"
"U+0D74", "\xe0\xb5\xb4", "MALAYALAM FRACTION ONE HALF (U+0D74)"
"U+0D75", "\xe0\xb5\xb5", "MALAYALAM FRACTION THREE QUARTERS (U+0D75)"
"U+0D79", "\xe0\xb5\xb9", "MALAYALAM DATE MARK (U+0D79)"
"U+0D7A", "\xe0\xb5\xba", "MALAYALAM LETTER CHILLU NN (U+0D7A)"
"U+0D7B", "\xe0\xb5\xbb", "MALAYALAM LETTER CHILLU N (U+0D7B)"
"U+0D7C", "\xe0\xb5\xbc", "MALAYALAM LETTER CHILLU RR (U+0D7C)"
"U+0D7D", "\xe0\xb5\xbd", "MALAYALAM LETTER CHILLU L (U+0D7D)"
"U+0D7E", "\xe0\xb5\xbe", "MALAYALAM LETTER CHILLU LL (U+0D7E)"
"U+0D7F", "\xe0\xb5\xbf", "MALAYALAM LETTER CHILLU K (U+0D7F)"
