# Unicode Characters in the Mathematical Operators Block
# Source: http://www.fileformat.info/info/unicode/block/mathematical_operators/list.htm
"U+222D", "\xe2\x88\xad", "TRIPLE INTEGRAL (U+222D)"
"U+222E", "\xe2\x88\xae", "CONTOUR INTEGRAL (U+222E)"
"U+222F", "\xe2\x88\xaf", "SURFACE INTEGRAL (U+222F)"
"U+2230", "\xe2\x88\xb0", "VOLUME INTEGRAL (U+2230)"
"U+2231", "\xe2\x88\xb1", "CLOCKWISE INTEGRAL (U+2231)"
"U+2232", "\xe2\x88\xb2", "CLOCKWISE CONTOUR INTEGRAL (U+2232)"
"U+2233", "\xe2\x88\xb3", "ANTICLOCKWISE CONTOUR INTEGRAL (U+2233)"
"U+2234", "\xe2\x88\xb4", "THEREFORE (U+2234)"
"U+2235", "\xe2\x88\xb5", "BECAUSE (U+2235)"
"U+2236", "\xe2\x88\xb6", "RATIO (U+2236)"
"U+2237", "\xe2\x88\xb7", "PROPORTION (U+2237)"
"U+2238", "\xe2\x88\xb8", "DOT MINUS (U+2238)"
"U+2239", "\xe2\x88\xb9", "EXCESS (U+2239)"
"U+223A", "\xe2\x88\xba", "GEOMETRIC PROPORTION (U+223A)"
"U+223B", "\xe2\x88\xbb", "HOMOTHETIC (U+223B)"
"U+223C", "\xe2\x88\xbc", "TILDE OPERATOR (U+223C)"
"U+223D", "\xe2\x88\xbd", "REVERSED TILDE (U+223D)"
"U+223E", "\xe2\x88\xbe", "INVERTED LAZY S (U+223E)"
"U+223F", "\xe2\x88\xbf", "SINE WAVE (U+223F)"
"U+2240", "\xe2\x89\x80", "WREATH PRODUCT (U+2240)"
"U+2241", "\xe2\x89\x81", "NOT TILDE (U+2241)"
"U+2242", "\xe2\x89\x82", "MINUS TILDE (U+2242)"
"U+2243", "\xe2\x89\x83", "ASYMPTOTICALLY EQUAL TO (U+2243)"
"U+2244", "\xe2\x89\x84", "NOT ASYMPTOTICALLY EQUAL TO (U+2244)"
"U+2245", "\xe2\x89\x85", "APPROXIMATELY EQUAL TO (U+2245)"
"U+2246", "\xe2\x89\x86", "APPROXIMATELY BUT NOT ACTUALLY EQUAL TO (U+2246)"
"U+2247", "\xe2\x89\x87", "NEITHER APPROXIMATELY NOR ACTUALLY EQUAL TO (U+2247)"
"U+2248", "\xe2\x89\x88", "ALMOST EQUAL TO (U+2248)"
"U+2249", "\xe2\x89\x89", "NOT ALMOST EQUAL TO (U+2249)"
"U+224A", "\xe2\x89\x8a", "ALMOST EQUAL OR EQUAL TO (U+224A)"
"U+224B", "\xe2\x89\x8b", "TRIPLE TILDE (U+224B)"
"U+224C", "\xe2\x89\x8c", "ALL EQUAL TO (U+224C)"
"U+224D", "\xe2\x89\x8d", "EQUIVALENT TO (U+224D)"
"U+224E", "\xe2\x89\x8e", "GEOMETRICALLY EQUIVALENT TO (U+224E)"
"U+224F", "\xe2\x89\x8f", "DIFFERENCE BETWEEN (U+224F)"
"U+2250", "\xe2\x89\x90", "APPROACHES THE LIMIT (U+2250)"
"U+2251", "\xe2\x89\x91", "GEOMETRICALLY EQUAL TO (U+2251)"
"U+2252", "\xe2\x89\x92", "APPROXIMATELY EQUAL TO OR THE IMAGE OF (U+2252)"
"U+2253", "\xe2\x89\x93", "IMAGE OF OR APPROXIMATELY EQUAL TO (U+2253)"
"U+2254", "\xe2\x89\x94", "COLON EQUALS (U+2254)"
"U+2255", "\xe2\x89\x95", "EQUALS COLON (U+2255)"
"U+2256", "\xe2\x89\x96", "RING IN EQUAL TO (U+2256)"
"U+2257", "\xe2\x89\x97", "RING EQUAL TO (U+2257)"
"U+2258", "\xe2\x89\x98", "CORRESPONDS TO (U+2258)"
"U+2259", "\xe2\x89\x99", "ESTIMATES (U+2259)"
"U+225A", "\xe2\x89\x9a", "EQUIANGULAR TO (U+225A)"
"U+225B", "\xe2\x89\x9b", "STAR EQUALS (U+225B)"
"U+225C", "\xe2\x89\x9c", "DELTA EQUAL TO (U+225C)"
"U+225D", "\xe2\x89\x9d", "EQUAL TO BY DEFINITION (U+225D)"
"U+225E", "\xe2\x89\x9e", "MEASURED BY (U+225E)"
"U+225F", "\xe2\x89\x9f", "QUESTIONED EQUAL TO (U+225F)"
"U+2260", "\xe2\x89\xa0", "NOT EQUAL TO (U+2260)"
