# Unicode Characters in the Hangul Jamo Block
# Source: http://www.fileformat.info/info/unicode/block/hangul_jamo/list.htm
"U+113E", "\xe1\x84\xbe", "HANGUL CHOSEONG CEONGCHIEUMSIOS (U+113E)"
"U+113F", "\xe1\x84\xbf", "HANGUL CHOSEONG CEONGCHIEUMSSANGSIOS (U+113F)"
"U+1140", "\xe1\x85\x80", "HANGUL CHOSEONG PANSIOS (U+1140)"
"U+1141", "\xe1\x85\x81", "HANGUL CHOSEONG IEUNG-KIYEOK (U+1141)"
"U+1142", "\xe1\x85\x82", "HANGUL CHOSEONG IEUNG-TIKEUT (U+1142)"
"U+1143", "\xe1\x85\x83", "HANGUL CHOSEONG IEUNG-MIEUM (U+1143)"
"U+1144", "\xe1\x85\x84", "HANGUL CHOSEONG IEUNG-PIEUP (U+1144)"
"U+1145", "\xe1\x85\x85", "HANGUL CHOSEONG IEUNG-SIOS (U+1145)"
"U+1146", "\xe1\x85\x86", "HANGUL CHOSEONG IEUNG-PANSIOS (U+1146)"
"U+1147", "\xe1\x85\x87", "HANGUL CHOSEONG SSANGIEUNG (U+1147)"
"U+1148", "\xe1\x85\x88", "HANGUL CHOSEONG IEUNG-CIEUC (U+1148)"
"U+1149", "\xe1\x85\x89", "HANGUL CHOSEONG IEUNG-CHIEUCH (U+1149)"
"U+114A", "\xe1\x85\x8a", "HANGUL CHOSEONG IEUNG-THIEUTH (U+114A)"
"U+114B", "\xe1\x85\x8b", "HANGUL CHOSEONG IEUNG-PHIEUPH (U+114B)"
"U+114C", "\xe1\x85\x8c", "HANGUL CHOSEONG YESIEUNG (U+114C)"
"U+114D", "\xe1\x85\x8d", "HANGUL CHOSEONG CIEUC-IEUNG (U+114D)"
"U+114E", "\xe1\x85\x8e", "HANGUL CHOSEONG CHITUEUMCIEUC (U+114E)"
"U+114F", "\xe1\x85\x8f", "HANGUL CHOSEONG CHITUEUMSSANGCIEUC (U+114F)"
"U+1150", "\xe1\x85\x90", "HANGUL CHOSEONG CEONGCHIEUMCIEUC (U+1150)"
"U+1151", "\xe1\x85\x91", "HANGUL CHOSEONG CEONGCHIEUMSSANGCIEUC (U+1151)"
"U+1152", "\xe1\x85\x92", "HANGUL CHOSEONG CHIEUCH-KHIEUKH (U+1152)"
"U+1153", "\xe1\x85\x93", "HANGUL CHOSEONG CHIEUCH-HIEUH (U+1153)"
"U+1154", "\xe1\x85\x94", "HANGUL CHOSEONG CHITUEUMCHIEUCH (U+1154)"
"U+1155", "\xe1\x85\x95", "HANGUL CHOSEONG CEONGCHIEUMCHIEUCH (U+1155)"
"U+1156", "\xe1\x85\x96", "HANGUL CHOSEONG PHIEUPH-PIEUP (U+1156)"
"U+1157", "\xe1\x85\x97", "HANGUL CHOSEONG KAPYEOUNPHIEUPH (U+1157)"
"U+1158", "\xe1\x85\x98", "HANGUL CHOSEONG SSANGHIEUH (U+1158)"
"U+1159", "\xe1\x85\x99", "HANGUL CHOSEONG YEORINHIEUH (U+1159)"
"U+115A", "\xe1\x85\x9a", "HANGUL CHOSEONG KIYEOK-TIKEUT (U+115A)"
"U+115B", "\xe1\x85\x9b", "HANGUL CHOSEONG NIEUN-SIOS (U+115B)"
"U+115C", "\xe1\x85\x9c", "HANGUL CHOSEONG NIEUN-CIEUC (U+115C)"
"U+115D", "\xe1\x85\x9d", "HANGUL CHOSEONG NIEUN-HIEUH (U+115D)"
"U+115E", "\xe1\x85\x9e", "HANGUL CHOSEONG TIKEUT-RIEUL (U+115E)"
"U+115F", "\xe1\x85\x9f", "HANGUL CHOSEONG FILLER (U+115F)"
"U+1160", "\xe1\x85\xa0", "HANGUL JUNGSEONG FILLER (U+1160)"
"U+1161", "\xe1\x85\xa1", "HANGUL JUNGSEONG A (U+1161)"
"U+1162", "\xe1\x85\xa2", "HANGUL JUNGSEONG AE (U+1162)"
"U+1163", "\xe1\x85\xa3", "HANGUL JUNGSEONG YA (U+1163)"
"U+1164", "\xe1\x85\xa4", "HANGUL JUNGSEONG YAE (U+1164)"
"U+1165", "\xe1\x85\xa5", "HANGUL JUNGSEONG EO (U+1165)"
"U+1166", "\xe1\x85\xa6", "HANGUL JUNGSEONG E (U+1166)"
"U+1167", "\xe1\x85\xa7", "HANGUL JUNGSEONG YEO (U+1167)"
"U+1168", "\xe1\x85\xa8", "HANGUL JUNGSEONG YE (U+1168)"
