# Unicode Characters in the Tags Block
# Source: http://www.fileformat.info/info/unicode/block/tags/list.htm
"U+E0064", "\xee\x80\x86\x34", "TAG LATIN SMALL LETTER D (U+E0064)"
"U+E0065", "\xee\x80\x86\x35", "TAG LATIN SMALL LETTER E (U+E0065)"
"U+E0066", "\xee\x80\x86\x36", "TAG LATIN SMALL LETTER F (U+E0066)"
"U+E0067", "\xee\x80\x86\x37", "TAG LATIN SMALL LETTER G (U+E0067)"
"U+E0068", "\xee\x80\x86\x38", "TAG LATIN SMALL LETTER H (U+E0068)"
"U+E0069", "\xee\x80\x86\x39", "TAG LATIN SMALL LETTER I (U+E0069)"
"U+E006A", "\xee\x80\x86\x41", "TAG LATIN SMALL LETTER J (U+E006A)"
"U+E006B", "\xee\x80\x86\x42", "TAG LATIN SMALL LETTER K (U+E006B)"
"U+E006C", "\xee\x80\x86\x43", "TAG LATIN SMALL LETTER L (U+E006C)"
"U+E006D", "\xee\x80\x86\x44", "TAG LATIN SMALL LETTER M (U+E006D)"
"U+E006E", "\xee\x80\x86\x45", "TAG LATIN SMALL LETTER N (U+E006E)"
"U+E006F", "\xee\x80\x86\x46", "TAG LATIN SMALL LETTER O (U+E006F)"
"U+E0070", "\xee\x80\x87\x30", "TAG LATIN SMALL LETTER P (U+E0070)"
"U+E0071", "\xee\x80\x87\x31", "TAG LATIN SMALL LETTER Q (U+E0071)"
"U+E0072", "\xee\x80\x87\x32", "TAG LATIN SMALL LETTER R (U+E0072)"
"U+E0073", "\xee\x80\x87\x33", "TAG LATIN SMALL LETTER S (U+E0073)"
"U+E0074", "\xee\x80\x87\x34", "TAG LATIN SMALL LETTER T (U+E0074)"
"U+E0075", "\xee\x80\x87\x35", "TAG LATIN SMALL LETTER U (U+E0075)"
"U+E0076", "\xee\x80\x87\x36", "TAG LATIN SMALL LETTER V (U+E0076)"
"U+E0077", "\xee\x80\x87\x37", "TAG LATIN SMALL LETTER W (U+E0077)"
"U+E0078", "\xee\x80\x87\x38", "TAG LATIN SMALL LETTER X (U+E0078)"
"U+E0079", "\xee\x80\x87\x39", "TAG LATIN SMALL LETTER Y (U+E0079)"
"U+E007A", "\xee\x80\x87\x41", "TAG LATIN SMALL LETTER Z (U+E007A)"
"U+E007B", "\xee\x80\x87\x42", "TAG LEFT CURLY BRACKET (U+E007B)"
"U+E007C", "\xee\x80\x87\x43", "TAG VERTICAL LINE (U+E007C)"
"U+E007D", "\xee\x80\x87\x44", "TAG RIGHT CURLY BRACKET (U+E007D)"
"U+E007E", "\xee\x80\x87\x45", "TAG TILDE (U+E007E)"
"U+E007F", "\xee\x80\x87\x46", "CANCEL TAG (U+E007F)"
