# Unicode Characters in the Latin-1 Supplement Block
# Source: http://www.fileformat.info/info/unicode/block/latin_supplement/list.htm
"U+00CE", "\xc3\x8e", "LATIN CAPITAL LETTER I WITH CIRCUMFLEX (U+00CE)"
"U+00CF", "\xc3\x8f", "LATIN CAPITAL LETTER I WITH DIAERESIS (U+00CF)"
"U+00D0", "\xc3\x90", "LATIN CAPITAL LETTER ETH (U+00D0)"
"U+00D1", "\xc3\x91", "LATIN CAPITAL LETTER N WITH TILDE (U+00D1)"
"U+00D2", "\xc3\x92", "LATIN CAPITAL LETTER O WITH GRAVE (U+00D2)"
"U+00D3", "\xc3\x93", "LATIN CAPITAL LETTER O WITH ACUTE (U+00D3)"
"U+00D4", "\xc3\x94", "LATIN CAPITAL LETTER O WITH CIRCUMFLEX (U+00D4)"
"U+00D5", "\xc3\x95", "LATIN CAPITAL LETTER O WITH TILDE (U+00D5)"
"U+00D6", "\xc3\x96", "LATIN CAPITAL LETTER O WITH DIAERESIS (U+00D6)"
"U+00D7", "\xc3\x97", "MULTIPLICATION SIGN (U+00D7)"
"U+00D8", "\xc3\x98", "LATIN CAPITAL LETTER O WITH STROKE (U+00D8)"
"U+00D9", "\xc3\x99", "LATIN CAPITAL LETTER U WITH GRAVE (U+00D9)"
"U+00DA", "\xc3\x9a", "LATIN CAPITAL LETTER U WITH ACUTE (U+00DA)"
"U+00DB", "\xc3\x9b", "LATIN CAPITAL LETTER U WITH CIRCUMFLEX (U+00DB)"
"U+00DC", "\xc3\x9c", "LATIN CAPITAL LETTER U WITH DIAERESIS (U+00DC)"
"U+00DD", "\xc3\x9d", "LATIN CAPITAL LETTER Y WITH ACUTE (U+00DD)"
"U+00DE", "\xc3\x9e", "LATIN CAPITAL LETTER THORN (U+00DE)"
"U+00DF", "\xc3\x9f", "LATIN SMALL LETTER SHARP S (U+00DF)"
"U+00E0", "\xc3\xa0", "LATIN SMALL LETTER A WITH GRAVE (U+00E0)"
"U+00E1", "\xc3\xa1", "LATIN SMALL LETTER A WITH ACUTE (U+00E1)"
"U+00E2", "\xc3\xa2", "LATIN SMALL LETTER A WITH CIRCUMFLEX (U+00E2)"
"U+00E3", "\xc3\xa3", "LATIN SMALL LETTER A WITH TILDE (U+00E3)"
"U+00E4", "\xc3\xa4", "LATIN SMALL LETTER A WITH DIAERESIS (U+00E4)"
"U+00E5", "\xc3\xa5", "LATIN SMALL LETTER A WITH RING ABOVE (U+00E5)"
"U+00E6", "\xc3\xa6", "LATIN SMALL LETTER AE (U+00E6)"
"U+00E7", "\xc3\xa7", "LATIN SMALL LETTER C WITH CEDILLA (U+00E7)"
"U+00E8", "\xc3\xa8", "LATIN SMALL LETTER E WITH GRAVE (U+00E8)"
"U+00E9", "\xc3\xa9", "LATIN SMALL LETTER E WITH ACUTE (U+00E9)"
"U+00EA", "\xc3\xaa", "LATIN SMALL LETTER E WITH CIRCUMFLEX (U+00EA)"
"U+00EB", "\xc3\xab", "LATIN SMALL LETTER E WITH DIAERESIS (U+00EB)"
"U+00EC", "\xc3\xac", "LATIN SMALL LETTER I WITH GRAVE (U+00EC)"
"U+00ED", "\xc3\xad", "LATIN SMALL LETTER I WITH ACUTE (U+00ED)"
"U+00EE", "\xc3\xae", "LATIN SMALL LETTER I WITH CIRCUMFLEX (U+00EE)"
"U+00EF", "\xc3\xaf", "LATIN SMALL LETTER I WITH DIAERESIS (U+00EF)"
"U+00F0", "\xc3\xb0", "LATIN SMALL LETTER ETH (U+00F0)"
"U+00F1", "\xc3\xb1", "LATIN SMALL LETTER N WITH TILDE (U+00F1)"
"U+00F2", "\xc3\xb2", "LATIN SMALL LETTER O WITH GRAVE (U+00F2)"
"U+00F3", "\xc3\xb3", "LATIN SMALL LETTER O WITH ACUTE (U+00F3)"
"U+00F4", "\xc3\xb4", "LATIN SMALL LETTER O WITH CIRCUMFLEX (U+00F4)"
"U+00F5", "\xc3\xb5", "LATIN SMALL LETTER O WITH TILDE (U+00F5)"
"U+00F6", "\xc3\xb6", "LATIN SMALL LETTER O WITH DIAERESIS (U+00F6)"
"U+00F7", "\xc3\xb7", "DIVISION SIGN (U+00F7)"
"U+00F8", "\xc3\xb8", "LATIN SMALL LETTER O WITH STROKE (U+00F8)"
"U+00F9", "\xc3\xb9", "LATIN SMALL LETTER U WITH GRAVE (U+00F9)"
"U+00FA", "\xc3\xba", "LATIN SMALL LETTER U WITH ACUTE (U+00FA)"
"U+00FB", "\xc3\xbb", "LATIN SMALL LETTER U WITH CIRCUMFLEX (U+00FB)"
"U+00FC", "\xc3\xbc", "LATIN SMALL LETTER U WITH DIAERESIS (U+00FC)"
"U+00FD", "\xc3\xbd", "LATIN SMALL LETTER Y WITH ACUTE (U+00FD)"
"U+00FE", "\xc3\xbe", "LATIN SMALL LETTER THORN (U+00FE)"
"U+00FF", "\xc3\xbf", "LATIN SMALL LETTER Y WITH DIAERESIS (U+00FF)"
