# Tifinagh
U+2D50, \xe2\xb5\x90, TIFINAGH LETTER TUAREG YAGN
U+2D51, \xe2\xb5\x91, TIFINAGH LETTER TUAREG YANG
U+2D52, \xe2\xb5\x92, TIFINAGH LETTER YAP
U+2D53, \xe2\xb5\x93, TIFINAGH LETTER YU
U+2D54, \xe2\xb5\x94, TIFINAGH LETTER YAR
U+2D55, \xe2\xb5\x95, TIFINAGH LETTER YARR
U+2D56, \xe2\xb5\x96, TIFINAGH LETTER YAGH
U+2D57, \xe2\xb5\x97, TIFINAGH LETTER TUAREG YAGH
U+2D58, \xe2\xb5\x98, TIFINAGH LETTER AYER YAGH
U+2D59, \xe2\xb5\x99, TIFINAGH LETTER YAS
U+2D5A, \xe2\xb5\x9a, TIFINAGH LETTER YASS
U+2D5B, \xe2\xb5\x9b, TIFINAGH LETTER YASH
U+2D5C, \xe2\xb5\x9c, TIFINAGH LETTER YAT
U+2D5D, \xe2\xb5\x9d, TIFINAGH LETTER YATH
U+2D5E, \xe2\xb5\x9e, TIFINAGH LETTER YACH
U+2D5F, \xe2\xb5\x9f, TIFINAGH LETTER YATT
U+2D60, \xe2\xb5\xa0, TIFINAGH LETTER YAV
U+2D61, \xe2\xb5\xa1, TIFINAGH LETTER YAW
U+2D62, \xe2\xb5\xa2, TIFINAGH LETTER YAY
U+2D63, \xe2\xb5\xa3, TIFINAGH LETTER YAZ
U+2D64, \xe2\xb5\xa4, TIFINAGH LETTER TAWELLEMET YAZ
U+2D65, \xe2\xb5\xa5, TIFINAGH LETTER YAZZ
U+2D6F, \xe2\xb5\xaf, TIFINAGH MODIFIER LETTER LABIALIZATION MARK
U+2D70, \xe2\xb5\xb0, TIFINAGH SEPARATOR MARK
U+2D7F, \xe2\xb5\xbf, TIFINAGH CONSONANT JOINER
U+2D80, \xe2\xb6\x80, ETHIOPIC SYLLABLE LOA
U+2D81, \xe2\xb6\x81, ETHIOPIC SYLLABLE MOA
U+2D82, \xe2\xb6\x82, ETHIOPIC SYLLABLE ROA
U+2D83, \xe2\xb6\x83, ETHIOPIC SYLLABLE SOA
U+2D84, \xe2\xb6\x84, ETHIOPIC SYLLABLE SHOA
U+2D85, \xe2\xb6\x85, ETHIOPIC SYLLABLE BOA
U+2D86, \xe2\xb6\x86, ETHIOPIC SYLLABLE TOA
U+2D87, \xe2\xb6\x87, ETHIOPIC SYLLABLE COA
U+2D88, \xe2\xb6\x88, ETHIOPIC SYLLABLE NOA
U+2D89, \xe2\xb6\x89, ETHIOPIC SYLLABLE NYOA
U+2D8A, \xe2\xb6\x8a, ETHIOPIC SYLLABLE GLOTTAL OA
U+2D8B, \xe2\xb6\x8b, ETHIOPIC SYLLABLE ZOA
U+2D8C, \xe2\xb6\x8c, ETHIOPIC SYLLABLE DOA
U+2D8D, \xe2\xb6\x8d, ETHIOPIC SYLLABLE DDOA
U+2D8E, \xe2\xb6\x8e, ETHIOPIC SYLLABLE JOA
U+2D8F, \xe2\xb6\x8f, ETHIOPIC SYLLABLE THOA
U+2D90, \xe2\xb6\x90, ETHIOPIC SYLLABLE CHOA
U+2D91, \xe2\xb6\x91, ETHIOPIC SYLLABLE PHOA
U+2D92, \xe2\xb6\x92, ETHIOPIC SYLLABLE POA
U+2D93, \xe2\xb6\x93, ETHIOPIC SYLLABLE GGWA
U+2D94, \xe2\xb6\x94, ETHIOPIC SYLLABLE GGWI
U+2D95, \xe2\xb6\x95, ETHIOPIC SYLLABLE GGWEE
U+2D96, \xe2\xb6\x96, ETHIOPIC SYLLABLE GGWE
U+2DA0, \xe2\xb6\xa0, ETHIOPIC SYLLABLE SSA
U+2DA1, \xe2\xb6\xa1, ETHIOPIC SYLLABLE SSU
U+2DA2, \xe2\xb6\xa2, ETHIOPIC SYLLABLE SSI
U+2DA3, \xe2\xb6\xa3, ETHIOPIC SYLLABLE SSAA
U+2DA4, \xe2\xb6\xa4, ETHIOPIC SYLLABLE SSEE
U+2DA5, \xe2\xb6\xa5, ETHIOPIC SYLLABLE SSE
U+2DA6, \xe2\xb6\xa6, ETHIOPIC SYLLABLE SSO
U+2DA8, \xe2\xb6\xa8, ETHIOPIC SYLLABLE CCA
U+2DA9, \xe2\xb6\xa9, ETHIOPIC SYLLABLE CCU
