# Playing Cards
U+1F14E, \xf0\x9f\x85\x8e, SQUARED PPV
U+1F14F, \xf0\x9f\x85\x8f, SQUARED WC
U+1F150, \xf0\x9f\x85\x90, NEGATIVE CIRCLED LATIN CAPITAL LETTER A
U+1F151, \xf0\x9f\x85\x91, NEGATIVE CIRCLED LATIN CAPITAL LETTER B
U+1F152, \xf0\x9f\x85\x92, NEGATIVE CIRCLED LATIN CAPITAL LETTER C
U+1F153, \xf0\x9f\x85\x93, NEGATIVE CIRCLED LATIN CAPITAL LETTER D
U+1F154, \xf0\x9f\x85\x94, NEGATIVE CIRCLED LATIN CAPITAL LETTER E
U+1F155, \xf0\x9f\x85\x95, NEGATIVE CIRCLED LATIN CAPITAL LETTER F
U+1F156, \xf0\x9f\x85\x96, NEGATIVE CIRCLED LATIN CAPITAL LETTER G
U+1F157, \xf0\x9f\x85\x97, NEGATIVE CIRCLED LATIN CAPITAL LETTER H
U+1F158, \xf0\x9f\x85\x98, NEGATIVE CIRCLED LATIN CAPITAL LETTER I
U+1F159, \xf0\x9f\x85\x99, NEGATIVE CIRCLED LATIN CAPITAL LETTER J
U+1F15A, \xf0\x9f\x85\x9a, NEGATIVE CIRCLED LATIN CAPITAL LETTER K
U+1F15B, \xf0\x9f\x85\x9b, NEGATIVE CIRCLED LATIN CAPITAL LETTER L
U+1F15C, \xf0\x9f\x85\x9c, NEGATIVE CIRCLED LATIN CAPITAL LETTER M
U+1F15D, \xf0\x9f\x85\x9d, NEGATIVE CIRCLED LATIN CAPITAL LETTER N
U+1F15E, \xf0\x9f\x85\x9e, NEGATIVE CIRCLED LATIN CAPITAL LETTER O
U+1F15F, \xf0\x9f\x85\x9f, NEGATIVE CIRCLED LATIN CAPITAL LETTER P
U+1F160, \xf0\x9f\x85\xa0, NEGATIVE CIRCLED LATIN CAPITAL LETTER Q
U+1F161, \xf0\x9f\x85\xa1, NEGATIVE CIRCLED LATIN CAPITAL LETTER R
U+1F162, \xf0\x9f\x85\xa2, NEGATIVE CIRCLED LATIN CAPITAL LETTER S
U+1F163, \xf0\x9f\x85\xa3, NEGATIVE CIRCLED LATIN CAPITAL LETTER T
U+1F164, \xf0\x9f\x85\xa4, NEGATIVE CIRCLED LATIN CAPITAL LETTER U
U+1F165, \xf0\x9f\x85\xa5, NEGATIVE CIRCLED LATIN CAPITAL LETTER V
U+1F166, \xf0\x9f\x85\xa6, NEGATIVE CIRCLED LATIN CAPITAL LETTER W
U+1F167, \xf0\x9f\x85\xa7, NEGATIVE CIRCLED LATIN CAPITAL LETTER X
U+1F168, \xf0\x9f\x85\xa8, NEGATIVE CIRCLED LATIN CAPITAL LETTER Y
U+1F169, \xf0\x9f\x85\xa9, NEGATIVE CIRCLED LATIN CAPITAL LETTER Z
U+1F170, \xf0\x9f\x85\xb0, NEGATIVE SQUARED LATIN CAPITAL LETTER A
U+1F171, \xf0\x9f\x85\xb1, NEGATIVE SQUARED LATIN CAPITAL LETTER B
U+1F172, \xf0\x9f\x85\xb2, NEGATIVE SQUARED LATIN CAPITAL LETTER C
U+1F173, \xf0\x9f\x85\xb3, NEGATIVE SQUARED LATIN CAPITAL LETTER D
U+1F174, \xf0\x9f\x85\xb4, NEGATIVE SQUARED LATIN CAPITAL LETTER E
U+1F175, \xf0\x9f\x85\xb5, NEGATIVE SQUARED LATIN CAPITAL LETTER F
U+1F176, \xf0\x9f\x85\xb6, NEGATIVE SQUARED LATIN CAPITAL LETTER G
U+1F177, \xf0\x9f\x85\xb7, NEGATIVE SQUARED LATIN CAPITAL LETTER H
U+1F178, \xf0\x9f\x85\xb8, NEGATIVE SQUARED LATIN CAPITAL LETTER I
U+1F179, \xf0\x9f\x85\xb9, NEGATIVE SQUARED LATIN CAPITAL LETTER J
