# Specials
U+FFF9, \xef\xbf\xb9, INTERLINEAR ANNOTATION ANCHOR
U+FFFA, \xef\xbf\xba, INTERLINEAR ANNOTATION SEPARATOR
U+FFFB, \xef\xbf\xbb, INTERLINEAR ANNOTATION TERMINATOR
U+FFFC, \xef\xbf\xbc, OBJECT REPLACEMENT CHARACTER
U+10053, \xf0\x90\x81\x93, LINEAR B SYMBOL B034
U+10054, \xf0\x90\x81\x94, LINEAR B SYMBOL B047
U+10055, \xf0\x90\x81\x95, LINEAR B SYMBOL B049
U+10056, \xf0\x90\x81\x96, LINEAR B SYMBOL B056
U+10057, \xf0\x90\x81\x97, LINEAR B SYMBOL B063
U+10058, \xf0\x90\x81\x98, LINEAR B SYMBOL B064
U+10059, \xf0\x90\x81\x99, LINEAR B SYMBOL B079
U+1005A, \xf0\x90\x81\x9a, LINEAR B SYMBOL B082
U+1005B, \xf0\x90\x81\x9b, LINEAR B SYMBOL B083
U+1005C, \xf0\x90\x81\x9c, LINEAR B SYMBOL B086
U+1005D, \xf0\x90\x81\x9d, LINEAR B SYMBOL B089
U+10080, \xf0\x90\x82\x80, LINEAR B IDEOGRAM B100 MAN
U+10081, \xf0\x90\x82\x81, LINEAR B IDEOGRAM B102 WOMAN
U+10082, \xf0\x90\x82\x82, LINEAR B IDEOGRAM B104 DEER
U+10083, \xf0\x90\x82\x83, LINEAR B IDEOGRAM B105 EQUID
U+10084, \xf0\x90\x82\x84, LINEAR B IDEOGRAM B105F MARE
U+10085, \xf0\x90\x82\x85, LINEAR B IDEOGRAM B105M STALLION
U+10086, \xf0\x90\x82\x86, LINEAR B IDEOGRAM B106F EWE
U+10087, \xf0\x90\x82\x87, LINEAR B IDEOGRAM B106M RAM
U+10088, \xf0\x90\x82\x88, LINEAR B IDEOGRAM B107F SHE-GOAT
U+10089, \xf0\x90\x82\x89, LINEAR B IDEOGRAM B107M HE-GOAT
U+1008A, \xf0\x90\x82\x8a, LINEAR B IDEOGRAM B108F SOW
U+1008B, \xf0\x90\x82\x8b, LINEAR B IDEOGRAM B108M BOAR
U+1008C, \xf0\x90\x82\x8c, LINEAR B IDEOGRAM B109F COW
U+1008D, \xf0\x90\x82\x8d, LINEAR B IDEOGRAM B109M BULL
U+1008E, \xf0\x90\x82\x8e, LINEAR B IDEOGRAM B120 WHEAT
U+1008F, \xf0\x90\x82\x8f, LINEAR B IDEOGRAM B121 BARLEY
U+10090, \xf0\x90\x82\x90, LINEAR B IDEOGRAM B122 OLIVE
U+10091, \xf0\x90\x82\x91, LINEAR B IDEOGRAM B123 SPICE
U+10092, \xf0\x90\x82\x92, LINEAR B IDEOGRAM B125 CYPERUS
U+10093, \xf0\x90\x82\x93, LINEAR B MONOGRAM B127 KAPO
U+10094, \xf0\x90\x82\x94, LINEAR B MONOGRAM B128 KANAKO
U+10095, \xf0\x90\x82\x95, LINEAR B IDEOGRAM B130 OIL
U+10096, \xf0\x90\x82\x96, LINEAR B IDEOGRAM B131 WINE
U+10097, \xf0\x90\x82\x97, LINEAR B IDEOGRAM B132
U+10098, \xf0\x90\x82\x98, LINEAR B MONOGRAM B133 AREPA
U+10099, \xf0\x90\x82\x99, LINEAR B MONOGRAM B135 MERI
U+1009A, \xf0\x90\x82\x9a, LINEAR B IDEOGRAM B140 BRONZE
U+1009B, \xf0\x90\x82\x9b, LINEAR B IDEOGRAM B141 GOLD
U+1009C, \xf0\x90\x82\x9c, LINEAR B IDEOGRAM B142
U+1009D, \xf0\x90\x82\x9d, LINEAR B IDEOGRAM B145 WOOL
U+1009E, \xf0\x90\x82\x9e, LINEAR B IDEOGRAM B146
U+1009F, \xf0\x90\x82\x9f, LINEAR B IDEOGRAM B150
U+100A0, \xf0\x90\x82\xa0, LINEAR B IDEOGRAM B151 HORN
U+100A1, \xf0\x90\x82\xa1, LINEAR B IDEOGRAM B152
U+100A2, \xf0\x90\x82\xa2, LINEAR B IDEOGRAM B153
U+100A3, \xf0\x90\x82\xa3, LINEAR B IDEOGRAM B154
U+100A4, \xf0\x90\x82\xa4, LINEAR B MONOGRAM B156 TURO2
U+100A5, \xf0\x90\x82\xa5, LINEAR B IDEOGRAM B157
U+100A6, \xf0\x90\x82\xa6, LINEAR B IDEOGRAM B158
U+100A7, \xf0\x90\x82\xa7, LINEAR B IDEOGRAM B159 CLOTH
U+100A8, \xf0\x90\x82\xa8, LINEAR B IDEOGRAM B160
U+100A9, \xf0\x90\x82\xa9, LINEAR B IDEOGRAM B161
U+100AA, \xf0\x90\x82\xaa, LINEAR B IDEOGRAM B162 GARMENT
U+100AB, \xf0\x90\x82\xab, LINEAR B IDEOGRAM B163 ARMOUR
U+100AC, \xf0\x90\x82\xac, LINEAR B IDEOGRAM B164
U+100AD, \xf0\x90\x82\xad, LINEAR B IDEOGRAM B165
U+100AE, \xf0\x90\x82\xae, LINEAR B IDEOGRAM B166
U+100AF, \xf0\x90\x82\xaf, LINEAR B IDEOGRAM B167
U+100B0, \xf0\x90\x82\xb0, LINEAR B IDEOGRAM B168
U+100B1, \xf0\x90\x82\xb1, LINEAR B IDEOGRAM B169
U+100B2, \xf0\x90\x82\xb2, LINEAR B IDEOGRAM B170
U+100B3, \xf0\x90\x82\xb3, LINEAR B IDEOGRAM B171
U+100B4, \xf0\x90\x82\xb4, LINEAR B IDEOGRAM B172
