# Unicode Characters in the Basic Latin Block
# Source: http://www.fileformat.info/info/unicode/block/basic_latin/list.htm
"U+0063", "\x63", "LATIN SMALL LETTER C (U+0063)"
"U+0064", "\x64", "LATIN SMALL LETTER D (U+0064)"
"U+0065", "\x65", "LATIN SMALL LETTER E (U+0065)"
"U+0066", "\x66", "LATIN SMALL LETTER F (U+0066)"
"U+0067", "\x67", "LATIN SMALL LETTER G (U+0067)"
"U+0068", "\x68", "LATIN SMALL LETTER H (U+0068)"
"U+0069", "\x69", "LATIN SMALL LETTER I (U+0069)"
"U+006A", "\x6a", "LATIN SMALL LETTER J (U+006A)"
"U+006B", "\x6b", "LATIN SMALL LETTER K (U+006B)"
"U+006C", "\x6c", "LATIN SMALL LETTER L (U+006C)"
"U+006D", "\x6d", "LATIN SMALL LETTER M (U+006D)"
"U+006E", "\x6e", "LATIN SMALL LETTER N (U+006E)"
"U+006F", "\x6f", "LATIN SMALL LETTER O (U+006F)"
"U+0070", "\x70", "LATIN SMALL LETTER P (U+0070)"
"U+0071", "\x71", "LATIN SMALL LETTER Q (U+0071)"
"U+0072", "\x72", "LATIN SMALL LETTER R (U+0072)"
"U+0073", "\x73", "LATIN SMALL LETTER S (U+0073)"
"U+0074", "\x74", "LATIN SMALL LETTER T (U+0074)"
"U+0075", "\x75", "LATIN SMALL LETTER U (U+0075)"
"U+0076", "\x76", "LATIN SMALL LETTER V (U+0076)"
"U+0077", "\x77", "LATIN SMALL LETTER W (U+0077)"
"U+0078", "\x78", "LATIN SMALL LETTER X (U+0078)"
"U+0079", "\x79", "LATIN SMALL LETTER Y (U+0079)"
"U+007A", "\x7a", "LATIN SMALL LETTER Z (U+007A)"
"U+007B", "\x7b", "LEFT CURLY BRACKET (U+007B)"
"U+007C", "\x7c", "VERTICAL LINE (U+007C)"
"U+007D", "\x7d", "RIGHT CURLY BRACKET (U+007D)"
"U+007E", "\x7e", "TILDE (U+007E)"
"U+007F", "\x7f", "DELETE (U+007F)"
