# Unicode Characters in the Egyptian Hieroglyphs Block
# Source: http://www.fileformat.info/info/unicode/block/egyptian_hieroglyphs/list.htm
"U+1303C", "\xe1\x8c\x83\x43", "EGYPTIAN HIEROGLYPH A051 (U+1303C)"
"U+1303D", "\xe1\x8c\x83\x44", "EGYPTIAN HIEROGLYPH A052 (U+1303D)"
"U+1303E", "\xe1\x8c\x83\x45", "EGYPTIAN HIEROGLYPH A053 (U+1303E)"
"U+1303F", "\xe1\x8c\x83\x46", "EGYPTIAN HIEROGLYPH A054 (U+1303F)"
"U+13040", "\xe1\x8c\x84\x30", "EGYPTIAN HIEROGLYPH A055 (U+13040)"
"U+13041", "\xe1\x8c\x84\x31", "EGYPTIAN HIEROGLYPH A056 (U+13041)"
"U+13042", "\xe1\x8c\x84\x32", "EGYPTIAN HIEROGLYPH A057 (U+13042)"
"U+13043", "\xe1\x8c\x84\x33", "EGYPTIAN HIEROGLYPH A058 (U+13043)"
"U+13044", "\xe1\x8c\x84\x34", "EGYPTIAN HIEROGLYPH A059 (U+13044)"
"U+13045", "\xe1\x8c\x84\x35", "EGYPTIAN HIEROGLYPH A060 (U+13045)"
"U+13046", "\xe1\x8c\x84\x36", "EGYPTIAN HIEROGLYPH A061 (U+13046)"
"U+13047", "\xe1\x8c\x84\x37", "EGYPTIAN HIEROGLYPH A062 (U+13047)"
"U+13048", "\xe1\x8c\x84\x38", "EGYPTIAN HIEROGLYPH A063 (U+13048)"
"U+13049", "\xe1\x8c\x84\x39", "EGYPTIAN HIEROGLYPH A064 (U+13049)"
"U+1304A", "\xe1\x8c\x84\x41", "EGYPTIAN HIEROGLYPH A065 (U+1304A)"
"U+1304B", "\xe1\x8c\x84\x42", "EGYPTIAN HIEROGLYPH A066 (U+1304B)"
"U+1304C", "\xe1\x8c\x84\x43", "EGYPTIAN HIEROGLYPH A067 (U+1304C)"
"U+1304D", "\xe1\x8c\x84\x44", "EGYPTIAN HIEROGLYPH A068 (U+1304D)"
"U+1304E", "\xe1\x8c\x84\x45", "EGYPTIAN HIEROGLYPH A069 (U+1304E)"
"U+1304F", "\xe1\x8c\x84\x46", "EGYPTIAN HIEROGLYPH A070 (U+1304F)"
"U+13050", "\xe1\x8c\x85\x30", "EGYPTIAN HIEROGLYPH B001 (U+13050)"
"U+13051", "\xe1\x8c\x85\x31", "EGYPTIAN HIEROGLYPH B002 (U+13051)"
"U+13052", "\xe1\x8c\x85\x32", "EGYPTIAN HIEROGLYPH B003 (U+13052)"
"U+13053", "\xe1\x8c\x85\x33", "EGYPTIAN HIEROGLYPH B004 (U+13053)"
"U+13054", "\xe1\x8c\x85\x34", "EGYPTIAN HIEROGLYPH B005 (U+13054)"
"U+13055", "\xe1\x8c\x85\x35", "EGYPTIAN HIEROGLYPH B005A (U+13055)"
"U+13056", "\xe1\x8c\x85\x36", "EGYPTIAN HIEROGLYPH B006 (U+13056)"
"U+13057", "\xe1\x8c\x85\x37", "EGYPTIAN HIEROGLYPH B007 (U+13057)"
"U+13058", "\xe1\x8c\x85\x38", "EGYPTIAN HIEROGLYPH B008 (U+13058)"
"U+13059", "\xe1\x8c\x85\x39", "EGYPTIAN HIEROGLYPH B009 (U+13059)"
"U+1305A", "\xe1\x8c\x85\x41", "EGYPTIAN HIEROGLYPH C001 (U+1305A)"
"U+1305B", "\xe1\x8c\x85\x42", "EGYPTIAN HIEROGLYPH C002 (U+1305B)"
"U+1305C", "\xe1\x8c\x85\x43", "EGYPTIAN HIEROGLYPH C002A (U+1305C)"
"U+1305D", "\xe1\x8c\x85\x44", "EGYPTIAN HIEROGLYPH C002B (U+1305D)"
"U+1305E", "\xe1\x8c\x85\x45", "EGYPTIAN HIEROGLYPH C002C (U+1305E)"
"U+1305F", "\xe1\x8c\x85\x46", "EGYPTIAN HIEROGLYPH C003 (U+1305F)"
"U+13060", "\xe1\x8c\x86\x30", "EGYPTIAN HIEROGLYPH C004 (U+13060)"
"U+13061", "\xe1\x8c\x86\x31", "EGYPTIAN HIEROGLYPH C005 (U+13061)"
"U+13062", "\xe1\x8c\x86\x32", "EGYPTIAN HIEROGLYPH C006 (U+13062)"
