# Kanbun
U+3200, \xe3\x88\x80, PARENTHESIZED HANGUL KIYEOK
U+3201, \xe3\x88\x81, PARENTHESIZED HANGUL NIEUN
U+3202, \xe3\x88\x82, PARENTHESIZED HANGUL TIKEUT
U+3203, \xe3\x88\x83, PARENTHESIZED HANGUL RIEUL
U+3204, \xe3\x88\x84, PARENTHESIZED HANGUL MIEUM
U+3205, \xe3\x88\x85, PARENTHESIZED HANGUL PIEUP
U+3206, \xe3\x88\x86, PARENTHESIZED HANGUL SIOS
U+3207, \xe3\x88\x87, PARENTHESIZED HANGUL IEUNG
U+3208, \xe3\x88\x88, PARENTHESIZED HANGUL CIEUC
U+3209, \xe3\x88\x89, PARENTHESIZED HANGUL CHIEUCH
U+320A, \xe3\x88\x8a, PARENTHESIZED HANGUL KHIEUKH
U+320B, \xe3\x88\x8b, PARENTHESIZED HANGUL THIEUTH
U+320C, \xe3\x88\x8c, PARENTHESIZED HANGUL PHIEUPH
U+320D, \xe3\x88\x8d, PARENTHESIZED HANGUL HIEUH
U+320E, \xe3\x88\x8e, PARENTHESIZED HANGUL KIYEOK A
U+320F, \xe3\x88\x8f, PARENTHESIZED HANGUL NIEUN A
U+3210, \xe3\x88\x90, PARENTHESIZED HANGUL TIKEUT A
U+3211, \xe3\x88\x91, PARENTHESIZED HANGUL RIEUL A
U+3212, \xe3\x88\x92, PARENTHESIZED HANGUL MIEUM A
U+3213, \xe3\x88\x93, PARENTHESIZED HANGUL PIEUP A
U+3214, \xe3\x88\x94, PARENTHESIZED HANGUL SIOS A
U+3215, \xe3\x88\x95, PARENTHESIZED HANGUL IEUNG A
U+3216, \xe3\x88\x96, PARENTHESIZED HANGUL CIEUC A
U+3217, \xe3\x88\x97, PARENTHESIZED HANGUL CHIEUCH A
U+3218, \xe3\x88\x98, PARENTHESIZED HANGUL KHIEUKH A
U+3219, \xe3\x88\x99, PARENTHESIZED HANGUL THIEUTH A
U+321A, \xe3\x88\x9a, PARENTHESIZED HANGUL PHIEUPH A
U+321B, \xe3\x88\x9b, PARENTHESIZED HANGUL HIEUH A
U+321C, \xe3\x88\x9c, PARENTHESIZED HANGUL CIEUC U
U+321D, \xe3\x88\x9d, PARENTHESIZED KOREAN CHARACTER OJEON
U+321E, \xe3\x88\x9e, PARENTHESIZED KOREAN CHARACTER O HU
U+3220, \xe3\x88\xa0, PARENTHESIZED IDEOGRAPH ONE
U+3221, \xe3\x88\xa1, PARENTHESIZED IDEOGRAPH TWO
