# Unicode Characters in the Miscellaneous Technical Block
# Source: http://www.fileformat.info/info/unicode/block/miscellaneous_technical/list.htm
"U+2348", "\xe2\x8d\x88", "APL FUNCTIONAL SYMBOL QUAD RIGHTWARDS ARROW (U+2348)"
"U+2349", "\xe2\x8d\x89", "APL FUNCTIONAL SYMBOL CIRCLE BACKSLASH (U+2349)"
"U+234A", "\xe2\x8d\x8a", "APL FUNCTIONAL SYMBOL DOWN TACK UNDERBAR (U+234A)"
"U+234B", "\xe2\x8d\x8b", "APL FUNCTIONAL SYMBOL DELTA STILE (U+234B)"
"U+234C", "\xe2\x8d\x8c", "APL FUNCTIONAL SYMBOL QUAD DOWN CARET (U+234C)"
"U+234D", "\xe2\x8d\x8d", "APL FUNCTIONAL SYMBOL QUAD DELTA (U+234D)"
"U+234E", "\xe2\x8d\x8e", "APL FUNCTIONAL SYMBOL DOWN TACK JOT (U+234E)"
"U+234F", "\xe2\x8d\x8f", "APL FUNCTIONAL SYMBOL UPWARDS VANE (U+234F)"
"U+2350", "\xe2\x8d\x90", "APL FUNCTIONAL SYMBOL QUAD UPWARDS ARROW (U+2350)"
"U+2351", "\xe2\x8d\x91", "APL FUNCTIONAL SYMBOL UP TACK OVERBAR (U+2351)"
"U+2352", "\xe2\x8d\x92", "APL FUNCTIONAL SYMBOL DEL STILE (U+2352)"
"U+2353", "\xe2\x8d\x93", "APL FUNCTIONAL SYMBOL QUAD UP CARET (U+2353)"
"U+2354", "\xe2\x8d\x94", "APL FUNCTIONAL SYMBOL QUAD DEL (U+2354)"
"U+2355", "\xe2\x8d\x95", "APL FUNCTIONAL SYMBOL UP TACK JOT (U+2355)"
"U+2356", "\xe2\x8d\x96", "APL FUNCTIONAL SYMBOL DOWNWARDS VANE (U+2356)"
"U+2357", "\xe2\x8d\x97", "APL FUNCTIONAL SYMBOL QUAD DOWNWARDS ARROW (U+2357)"
"U+2358", "\xe2\x8d\x98", "APL FUNCTIONAL SYMBOL QUOTE UNDERBAR (U+2358)"
"U+2359", "\xe2\x8d\x99", "APL FUNCTIONAL SYMBOL DELTA UNDERBAR (U+2359)"
