# Unicode Characters in the Kangxi Radicals Block
# Source: http://www.fileformat.info/info/unicode/block/kangxi_radicals/list.htm
"U+2F00", "\xe2\xbc\x80", "KANGXI RADICAL ONE (U+2F00)"
"U+2F48", "\xe2\xbd\x88", "KANGXI RADICAL SAY (U+2F48)"
"U+2F49", "\xe2\xbd\x89", "KANGXI RADICAL MOON (U+2F49)"
"U+2F4A", "\xe2\xbd\x8a", "KANGXI RADICAL TREE (U+2F4A)"
"U+2F4B", "\xe2\xbd\x8b", "KANGXI RADICAL LACK (U+2F4B)"
"U+2F4C", "\xe2\xbd\x8c", "KANGXI RADICAL STOP (U+2F4C)"
"U+2F4D", "\xe2\xbd\x8d", "KANGXI RADICAL DEATH (U+2F4D)"
"U+2F4E", "\xe2\xbd\x8e", "KANGXI RADICAL WEAPON (U+2F4E)"
"U+2F4F", "\xe2\xbd\x8f", "KANGXI RADICAL DO NOT (U+2F4F)"
"U+2F50", "\xe2\xbd\x90", "KANGXI RADICAL COMPARE (U+2F50)"
"U+2F51", "\xe2\xbd\x91", "KANGXI RADICAL FUR (U+2F51)"
"U+2F52", "\xe2\xbd\x92", "KANGXI RADICAL CLAN (U+2F52)"
"U+2F53", "\xe2\xbd\x93", "KANGXI RADICAL STEAM (U+2F53)"
"U+2F54", "\xe2\xbd\x94", "KANGXI RADICAL WATER (U+2F54)"
"U+2F55", "\xe2\xbd\x95", "KANGXI RADICAL FIRE (U+2F55)"
"U+2F56", "\xe2\xbd\x96", "KANGXI RADICAL CLAW (U+2F56)"
"U+2F57", "\xe2\xbd\x97", "KANGXI RADICAL FATHER (U+2F57)"
"U+2F58", "\xe2\xbd\x98", "KANGXI RADICAL DOUBLE X (U+2F58)"
"U+2F59", "\xe2\xbd\x99", "KANGXI RADICAL HALF TREE TRUNK (U+2F59)"
"U+2F5A", "\xe2\xbd\x9a", "KANGXI RADICAL SLICE (U+2F5A)"
"U+2F5B", "\xe2\xbd\x9b", "KANGXI RADICAL FANG (U+2F5B)"
"U+2F5C", "\xe2\xbd\x9c", "KANGXI RADICAL COW (U+2F5C)"
"U+2F5D", "\xe2\xbd\x9d", "KANGXI RADICAL DOG (U+2F5D)"
"U+2F5E", "\xe2\xbd\x9e", "KANGXI RADICAL PROFOUND (U+2F5E)"
"U+2F5F", "\xe2\xbd\x9f", "KANGXI RADICAL JADE (U+2F5F)"
"U+2F60", "\xe2\xbd\xa0", "KANGXI RADICAL MELON (U+2F60)"
"U+2F61", "\xe2\xbd\xa1", "KANGXI RADICAL TILE (U+2F61)"
"U+2F62", "\xe2\xbd\xa2", "KANGXI RADICAL SWEET (U+2F62)"
"U+2F63", "\xe2\xbd\xa3", "KANGXI RADICAL LIFE (U+2F63)"
"U+2F64", "\xe2\xbd\xa4", "KANGXI RADICAL USE (U+2F64)"
"U+2F65", "\xe2\xbd\xa5", "KANGXI RADICAL FIELD (U+2F65)"
"U+2F66", "\xe2\xbd\xa6", "KANGXI RADICAL BOLT OF CLOTH (U+2F66)"
"U+2F67", "\xe2\xbd\xa7", "KANGXI RADICAL SICKNESS (U+2F67)"
"U+2F68", "\xe2\xbd\xa8", "KANGXI RADICAL DOTTED TENT (U+2F68)"
"U+2F69", "\xe2\xbd\xa9", "KANGXI RADICAL WHITE (U+2F69)"
"U+2F6A", "\xe2\xbd\xaa", "KANGXI RADICAL SKIN (U+2F6A)"
"U+2F6B", "\xe2\xbd\xab", "KANGXI RADICAL DISH (U+2F6B)"
"U+2F6C", "\xe2\xbd\xac", "KANGXI RADICAL EYE (U+2F6C)"
"U+2F6D", "\xe2\xbd\xad", "KANGXI RADICAL SPEAR (U+2F6D)"
"U+2F6E", "\xe2\xbd\xae", "KANGXI RADICAL ARROW (U+2F6E)"
"U+2F6F", "\xe2\xbd\xaf", "KANGXI RADICAL STONE (U+2F6F)"
"U+2F70", "\xe2\xbd\xb0", "KANGXI RADICAL SPIRIT (U+2F70)"
"U+2F71", "\xe2\xbd\xb1", "KANGXI RADICAL TRACK (U+2F71)"
"U+2F72", "\xe2\xbd\xb2", "KANGXI RADICAL GRAIN (U+2F72)"
"U+2F73", "\xe2\xbd\xb3", "KANGXI RADICAL CAVE (U+2F73)"
"U+2F74", "\xe2\xbd\xb4", "KANGXI RADICAL STAND (U+2F74)"
"U+2F75", "\xe2\xbd\xb5", "KANGXI RADICAL BAMBOO (U+2F75)"
"U+2F76", "\xe2\xbd\xb6", "KANGXI RADICAL RICE (U+2F76)"
"U+2F77", "\xe2\xbd\xb7", "KANGXI RADICAL SILK (U+2F77)"
"U+2F78", "\xe2\xbd\xb8", "KANGXI RADICAL JAR (U+2F78)"
"U+2F79", "\xe2\xbd\xb9", "KANGXI RADICAL NET (U+2F79)"
"U+2F7A", "\xe2\xbd\xba", "KANGXI RADICAL SHEEP (U+2F7A)"
"U+2F7B", "\xe2\xbd\xbb", "KANGXI RADICAL FEATHER (U+2F7B)"
"U+2F7C", "\xe2\xbd\xbc", "KANGXI RADICAL OLD (U+2F7C)"
"U+2F7D", "\xe2\xbd\xbd", "KANGXI RADICAL AND (U+2F7D)"
"U+2F7E", "\xe2\xbd\xbe", "KANGXI RADICAL PLOW (U+2F7E)"
"U+2F7F", "\xe2\xbd\xbf", "KANGXI RADICAL EAR (U+2F7F)"
"U+2F80", "\xe2\xbe\x80", "KANGXI RADICAL BRUSH (U+2F80)"
"U+2F81", "\xe2\xbe\x81", "KANGXI RADICAL MEAT (U+2F81)"
"U+2F82", "\xe2\xbe\x82", "KANGXI RADICAL MINISTER (U+2F82)"
"U+2F83", "\xe2\xbe\x83", "KANGXI RADICAL SELF (U+2F83)"
"U+2F84", "\xe2\xbe\x84", "KANGXI RADICAL ARRIVE (U+2F84)"
"U+2F85", "\xe2\xbe\x85", "KANGXI RADICAL MORTAR (U+2F85)"
"U+2F86", "\xe2\xbe\x86", "KANGXI RADICAL TONGUE (U+2F86)"
"U+2F87", "\xe2\xbe\x87", "KANGXI RADICAL OPPOSE (U+2F87)"
"U+2F88", "\xe2\xbe\x88", "KANGXI RADICAL BOAT (U+2F88)"
"U+2F89", "\xe2\xbe\x89", "KANGXI RADICAL STOPPING (U+2F89)"
"U+2F8A", "\xe2\xbe\x8a", "KANGXI RADICAL COLOR (U+2F8A)"
"U+2F8B", "\xe2\xbe\x8b", "KANGXI RADICAL GRASS (U+2F8B)"
"U+2F8C", "\xe2\xbe\x8c", "KANGXI RADICAL TIGER (U+2F8C)"
"U+2F8D", "\xe2\xbe\x8d", "KANGXI RADICAL INSECT (U+2F8D)"
"U+2F8E", "\xe2\xbe\x8e", "KANGXI RADICAL BLOOD (U+2F8E)"
"U+2F8F", "\xe2\xbe\x8f", "KANGXI RADICAL WALK ENCLOSURE (U+2F8F)"
"U+2F90", "\xe2\xbe\x90", "KANGXI RADICAL CLOTHES (U+2F90)"
"U+2F91", "\xe2\xbe\x91", "KANGXI RADICAL WEST (U+2F91)"
"U+2F92", "\xe2\xbe\x92", "KANGXI RADICAL SEE (U+2F92)"
"U+2F93", "\xe2\xbe\x93", "KANGXI RADICAL HORN (U+2F93)"
"U+2F94", "\xe2\xbe\x94", "KANGXI RADICAL SPEECH (U+2F94)"
"U+2F95", "\xe2\xbe\x95", "KANGXI RADICAL VALLEY (U+2F95)"
"U+2F96", "\xe2\xbe\x96", "KANGXI RADICAL BEAN (U+2F96)"
"U+2F97", "\xe2\xbe\x97", "KANGXI RADICAL PIG (U+2F97)"
"U+2F98", "\xe2\xbe\x98", "KANGXI RADICAL BADGER (U+2F98)"
"U+2F99", "\xe2\xbe\x99", "KANGXI RADICAL SHELL (U+2F99)"
"U+2F9A", "\xe2\xbe\x9a", "KANGXI RADICAL RED (U+2F9A)"
"U+2F9B", "\xe2\xbe\x9b", "KANGXI RADICAL RUN (U+2F9B)"
"U+2F9C", "\xe2\xbe\x9c", "KANGXI RADICAL FOOT (U+2F9C)"
"U+2F9D", "\xe2\xbe\x9d", "KANGXI RADICAL BODY (U+2F9D)"
"U+2F9E", "\xe2\xbe\x9e", "KANGXI RADICAL CART (U+2F9E)"
"U+2F9F", "\xe2\xbe\x9f", "KANGXI RADICAL BITTER (U+2F9F)"
"U+2FA0", "\xe2\xbe\xa0", "KANGXI RADICAL MORNING (U+2FA0)"
"U+2FA1", "\xe2\xbe\xa1", "KANGXI RADICAL WALK (U+2FA1)"
"U+2FA2", "\xe2\xbe\xa2", "KANGXI RADICAL CITY (U+2FA2)"
"U+2FA3", "\xe2\xbe\xa3", "KANGXI RADICAL WINE (U+2FA3)"
"U+2FA4", "\xe2\xbe\xa4", "KANGXI RADICAL DISTINGUISH (U+2FA4)"
"U+2FA5", "\xe2\xbe\xa5", "KANGXI RADICAL VILLAGE (U+2FA5)"
"U+2FA6", "\xe2\xbe\xa6", "KANGXI RADICAL GOLD (U+2FA6)"
"U+2FA7", "\xe2\xbe\xa7", "KANGXI RADICAL LONG (U+2FA7)"
"U+2FA8", "\xe2\xbe\xa8", "KANGXI RADICAL GATE (U+2FA8)"
"U+2FA9", "\xe2\xbe\xa9", "KANGXI RADICAL MOUND (U+2FA9)"
"U+2FAA", "\xe2\xbe\xaa", "KANGXI RADICAL SLAVE (U+2FAA)"
"U+2FAB", "\xe2\xbe\xab", "KANGXI RADICAL SHORT TAILED BIRD (U+2FAB)"
"U+2FAC", "\xe2\xbe\xac", "KANGXI RADICAL RAIN (U+2FAC)"
"U+2FAD", "\xe2\xbe\xad", "KANGXI RADICAL BLUE (U+2FAD)"
"U+2FAE", "\xe2\xbe\xae", "KANGXI RADICAL WRONG (U+2FAE)"
"U+2FAF", "\xe2\xbe\xaf", "KANGXI RADICAL FACE (U+2FAF)"
"U+2FB0", "\xe2\xbe\xb0", "KANGXI RADICAL LEATHER (U+2FB0)"
"U+2FB1", "\xe2\xbe\xb1", "KANGXI RADICAL TANNED LEATHER (U+2FB1)"
"U+2FB2", "\xe2\xbe\xb2", "KANGXI RADICAL LEEK (U+2FB2)"
"U+2FB3", "\xe2\xbe\xb3", "KANGXI RADICAL SOUND (U+2FB3)"
"U+2FB4", "\xe2\xbe\xb4", "KANGXI RADICAL LEAF (U+2FB4)"
"U+2FB5", "\xe2\xbe\xb5", "KANGXI RADICAL WIND (U+2FB5)"
"U+2FB6", "\xe2\xbe\xb6", "KANGXI RADICAL FLY (U+2FB6)"
"U+2FB7", "\xe2\xbe\xb7", "KANGXI RADICAL EAT (U+2FB7)"
"U+2FB8", "\xe2\xbe\xb8", "KANGXI RADICAL HEAD (U+2FB8)"
"U+2FB9", "\xe2\xbe\xb9", "KANGXI RADICAL FRAGRANT (U+2FB9)"
"U+2FBA", "\xe2\xbe\xba", "KANGXI RADICAL HORSE (U+2FBA)"
"U+2FBB", "\xe2\xbe\xbb", "KANGXI RADICAL BONE (U+2FBB)"
"U+2FBC", "\xe2\xbe\xbc", "KANGXI RADICAL TALL (U+2FBC)"
"U+2FBD", "\xe2\xbe\xbd", "KANGXI RADICAL HAIR (U+2FBD)"
"U+2FBE", "\xe2\xbe\xbe", "KANGXI RADICAL FIGHT (U+2FBE)"
"U+2FBF", "\xe2\xbe\xbf", "KANGXI RADICAL SACRIFICIAL WINE (U+2FBF)"
"U+2FC0", "\xe2\xbf\x80", "KANGXI RADICAL CAULDRON (U+2FC0)"
"U+2FC1", "\xe2\xbf\x81", "KANGXI RADICAL GHOST (U+2FC1)"
"U+2FC2", "\xe2\xbf\x82", "KANGXI RADICAL FISH (U+2FC2)"
"U+2FC3", "\xe2\xbf\x83", "KANGXI RADICAL BIRD (U+2FC3)"
"U+2FC4", "\xe2\xbf\x84", "KANGXI RADICAL SALT (U+2FC4)"
"U+2FC5", "\xe2\xbf\x85", "KANGXI RADICAL DEER (U+2FC5)"
"U+2FC6", "\xe2\xbf\x86", "KANGXI RADICAL WHEAT (U+2FC6)"
"U+2FC7", "\xe2\xbf\x87", "KANGXI RADICAL HEMP (U+2FC7)"
"U+2FC8", "\xe2\xbf\x88", "KANGXI RADICAL YELLOW (U+2FC8)"
"U+2FC9", "\xe2\xbf\x89", "KANGXI RADICAL MILLET (U+2FC9)"
"U+2FCA", "\xe2\xbf\x8a", "KANGXI RADICAL BLACK (U+2FCA)"
"U+2FCB", "\xe2\xbf\x8b", "KANGXI RADICAL EMBROIDERY (U+2FCB)"
"U+2FCC", "\xe2\xbf\x8c", "KANGXI RADICAL FROG (U+2FCC)"
"U+2FCD", "\xe2\xbf\x8d", "KANGXI RADICAL TRIPOD (U+2FCD)"
"U+2FCE", "\xe2\xbf\x8e", "KANGXI RADICAL DRUM (U+2FCE)"
"U+2FCF", "\xe2\xbf\x8f", "KANGXI RADICAL RAT (U+2FCF)"
"U+2FD0", "\xe2\xbf\x90", "KANGXI RADICAL NOSE (U+2FD0)"
"U+2FD1", "\xe2\xbf\x91", "KANGXI RADICAL EVEN (U+2FD1)"
"U+2FD2", "\xe2\xbf\x92", "KANGXI RADICAL TOOTH (U+2FD2)"
"U+2FD3", "\xe2\xbf\x93", "KANGXI RADICAL DRAGON (U+2FD3)"
"U+2FD4", "\xe2\xbf\x94", "KANGXI RADICAL TURTLE (U+2FD4)"
"U+2FD5", "\xe2\xbf\x95", "KANGXI RADICAL FLUTE (U+2FD5)"
