# Unicode Characters in the Ethiopic Extended Block
# Source: http://www.fileformat.info/info/unicode/block/ethiopic_extended/list.htm
"U+2DBD", "\xe2\xb6\xbd", "ETHIOPIC SYLLABLE CCHE (U+2DBD)"
"U+2DBE", "\xe2\xb6\xbe", "ETHIOPIC SYLLABLE CCHO (U+2DBE)"
"U+2DC0", "\xe2\xb7\x80", "ETHIOPIC SYLLABLE QYA (U+2DC0)"
"U+2DC1", "\xe2\xb7\x81", "ETHIOPIC SYLLABLE QYU (U+2DC1)"
"U+2DC2", "\xe2\xb7\x82", "ETHIOPIC SYLLABLE QYI (U+2DC2)"
"U+2DC3", "\xe2\xb7\x83", "ETHIOPIC SYLLABLE QYAA (U+2DC3)"
"U+2DC4", "\xe2\xb7\x84", "ETHIOPIC SYLLABLE QYEE (U+2DC4)"
"U+2DC5", "\xe2\xb7\x85", "ETHIOPIC SYLLABLE QYE (U+2DC5)"
"U+2DC6", "\xe2\xb7\x86", "ETHIOPIC SYLLABLE QYO (U+2DC6)"
"U+2DC8", "\xe2\xb7\x88", "ETHIOPIC SYLLABLE KYA (U+2DC8)"
"U+2DC9", "\xe2\xb7\x89", "ETHIOPIC SYLLABLE KYU (U+2DC9)"
"U+2DCA", "\xe2\xb7\x8a", "ETHIOPIC SYLLABLE KYI (U+2DCA)"
"U+2DCB", "\xe2\xb7\x8b", "ETHIOPIC SYLLABLE KYAA (U+2DCB)"
"U+2DCC", "\xe2\xb7\x8c", "ETHIOPIC SYLLABLE KYEE (U+2DCC)"
"U+2DCD", "\xe2\xb7\x8d", "ETHIOPIC SYLLABLE KYE (U+2DCD)"
"U+2DCE", "\xe2\xb7\x8e", "ETHIOPIC SYLLABLE KYO (U+2DCE)"
"U+2DD0", "\xe2\xb7\x90", "ETHIOPIC SYLLABLE XYA (U+2DD0)"
"U+2DD1", "\xe2\xb7\x91", "ETHIOPIC SYLLABLE XYU (U+2DD1)"
"U+2DD2", "\xe2\xb7\x92", "ETHIOPIC SYLLABLE XYI (U+2DD2)"
"U+2DD3", "\xe2\xb7\x93", "ETHIOPIC SYLLABLE XYAA (U+2DD3)"
"U+2DD4", "\xe2\xb7\x94", "ETHIOPIC SYLLABLE XYEE (U+2DD4)"
"U+2DD5", "\xe2\xb7\x95", "ETHIOPIC SYLLABLE XYE (U+2DD5)"
"U+2DD6", "\xe2\xb7\x96", "ETHIOPIC SYLLABLE XYO (U+2DD6)"
"U+2DD8", "\xe2\xb7\x98", "ETHIOPIC SYLLABLE GYA (U+2DD8)"
"U+2DD9", "\xe2\xb7\x99", "ETHIOPIC SYLLABLE GYU (U+2DD9)"
"U+2DDA", "\xe2\xb7\x9a", "ETHIOPIC SYLLABLE GYI (U+2DDA)"
"U+2DDB", "\xe2\xb7\x9b", "ETHIOPIC SYLLABLE GYAA (U+2DDB)"
"U+2DDC", "\xe2\xb7\x9c", "ETHIOPIC SYLLABLE GYEE (U+2DDC)"
"U+2DDD", "\xe2\xb7\x9d", "ETHIOPIC SYLLABLE GYE (U+2DDD)"
"U+2DDE", "\xe2\xb7\x9e", "ETHIOPIC SYLLABLE GYO (U+2DDE)"
