# Unicode Characters in the Katakana Block
# Source: http://www.fileformat.info/info/unicode/block/katakana/list.htm
"U+30EA", "\xe3\x83\xaa", "KATAKANA LETTER RI (U+30EA)"
"U+30EB", "\xe3\x83\xab", "KATAKANA LETTER RU (U+30EB)"
"U+30EC", "\xe3\x83\xac", "KATAKANA LETTER RE (U+30EC)"
"U+30ED", "\xe3\x83\xad", "KATAKANA LETTER RO (U+30ED)"
"U+30EE", "\xe3\x83\xae", "KATAKANA LETTER SMALL WA (U+30EE)"
"U+30EF", "\xe3\x83\xaf", "KATAKANA LETTER WA (U+30EF)"
"U+30F0", "\xe3\x83\xb0", "KATAKANA LETTER WI (U+30F0)"
"U+30F1", "\xe3\x83\xb1", "KATAKANA LETTER WE (U+30F1)"
"U+30F2", "\xe3\x83\xb2", "KATAKANA LETTER WO (U+30F2)"
"U+30F3", "\xe3\x83\xb3", "KATAKANA LETTER N (U+30F3)"
"U+30F4", "\xe3\x83\xb4", "KATAKANA LETTER VU (U+30F4)"
"U+30F5", "\xe3\x83\xb5", "KATAKANA LETTER SMALL KA (U+30F5)"
"U+30F6", "\xe3\x83\xb6", "KATAKANA LETTER SMALL KE (U+30F6)"
"U+30F7", "\xe3\x83\xb7", "KATAKANA LETTER VA (U+30F7)"
"U+30F8", "\xe3\x83\xb8", "KATAKANA LETTER VI (U+30F8)"
"U+30F9", "\xe3\x83\xb9", "KATAKANA LETTER VE (U+30F9)"
"U+30FA", "\xe3\x83\xba", "KATAKANA LETTER VO (U+30FA)"
"U+30FB", "\xe3\x83\xbb", "KATAKANA MIDDLE DOT (U+30FB)"
"U+30FC", "\xe3\x83\xbc", "KATAKANA-HIRAGANA PROLONGED SOUND MARK (U+30FC)"
"U+30FD", "\xe3\x83\xbd", "KATAKANA ITERATION MARK (U+30FD)"
"U+30FE", "\xe3\x83\xbe", "KATAKANA VOICED ITERATION MARK (U+30FE)"
"U+30FF", "\xe3\x83\xbf", "KATAKANA DIGRAPH KOTO (U+30FF)"
