# Kharoshthi
U+10A6C, \xf0\x90\xa9\xac, OLD SOUTH ARABIAN LETTER NUN
U+10A6D, \xf0\x90\xa9\xad, OLD SOUTH ARABIAN LETTER KHETH
U+10A6E, \xf0\x90\xa9\xae, OLD SOUTH ARABIAN LETTER SADHE
U+10A6F, \xf0\x90\xa9\xaf, OLD SOUTH ARABIAN LETTER SAMEKH
U+10A70, \xf0\x90\xa9\xb0, OLD SOUTH ARABIAN LETTER FE
U+10A71, \xf0\x90\xa9\xb1, OLD SOUTH ARABIAN LETTER ALEF
U+10A72, \xf0\x90\xa9\xb2, OLD SOUTH ARABIAN LETTER AYN
U+10A73, \xf0\x90\xa9\xb3, OLD SOUTH ARABIAN LETTER DHADHE
U+10A74, \xf0\x90\xa9\xb4, OLD SOUTH ARABIAN LETTER GIMEL
U+10A75, \xf0\x90\xa9\xb5, OLD SOUTH ARABIAN LETTER DALETH
U+10A76, \xf0\x90\xa9\xb6, OLD SOUTH ARABIAN LETTER GHAYN
U+10A77, \xf0\x90\xa9\xb7, OLD SOUTH ARABIAN LETTER TETH
U+10A78, \xf0\x90\xa9\xb8, OLD SOUTH ARABIAN LETTER ZAYN
U+10A79, \xf0\x90\xa9\xb9, OLD SOUTH ARABIAN LETTER DHALETH
U+10A7A, \xf0\x90\xa9\xba, OLD SOUTH ARABIAN LETTER YODH
U+10A7B, \xf0\x90\xa9\xbb, OLD SOUTH ARABIAN LETTER THAW
U+10A7C, \xf0\x90\xa9\xbc, OLD SOUTH ARABIAN LETTER THETH
U+10A7D, \xf0\x90\xa9\xbd, OLD SOUTH ARABIAN NUMBER ONE
U+10A7E, \xf0\x90\xa9\xbe, OLD SOUTH ARABIAN NUMBER FIFTY
U+10A7F, \xf0\x90\xa9\xbf, OLD SOUTH ARABIAN NUMERIC INDICATOR
