# Unicode Characters in the Yi Syllables Block
# Source: http://www.fileformat.info/info/unicode/block/yi_syllables/list.htm
"U+A050", "\xea\x81\x90", "YI SYLLABLE PYT (U+A050)"
"U+A051", "\xea\x81\x91", "YI SYLLABLE PYX (U+A051)"
"U+A052", "\xea\x81\x92", "YI SYLLABLE PY (U+A052)"
"U+A053", "\xea\x81\x93", "YI SYLLABLE PYP (U+A053)"
"U+A054", "\xea\x81\x94", "YI SYLLABLE PYRX (U+A054)"
"U+A055", "\xea\x81\x95", "YI SYLLABLE PYR (U+A055)"
"U+A056", "\xea\x81\x96", "YI SYLLABLE BBIT (U+A056)"
"U+A057", "\xea\x81\x97", "YI SYLLABLE BBIX (U+A057)"
"U+A058", "\xea\x81\x98", "YI SYLLABLE BBI (U+A058)"
"U+A059", "\xea\x81\x99", "YI SYLLABLE BBIP (U+A059)"
"U+A05A", "\xea\x81\x9a", "YI SYLLABLE BBIET (U+A05A)"
"U+A05B", "\xea\x81\x9b", "YI SYLLABLE BBIEX (U+A05B)"
"U+A05C", "\xea\x81\x9c", "YI SYLLABLE BBIE (U+A05C)"
"U+A05D", "\xea\x81\x9d", "YI SYLLABLE BBIEP (U+A05D)"
"U+A05E", "\xea\x81\x9e", "YI SYLLABLE BBAT (U+A05E)"
"U+A05F", "\xea\x81\x9f", "YI SYLLABLE BBAX (U+A05F)"
"U+A060", "\xea\x81\xa0", "YI SYLLABLE BBA (U+A060)"
"U+A061", "\xea\x81\xa1", "YI SYLLABLE BBAP (U+A061)"
"U+A062", "\xea\x81\xa2", "YI SYLLABLE BBUOX (U+A062)"
"U+A063", "\xea\x81\xa3", "YI SYLLABLE BBUO (U+A063)"
"U+A064", "\xea\x81\xa4", "YI SYLLABLE BBUOP (U+A064)"
"U+A065", "\xea\x81\xa5", "YI SYLLABLE BBOT (U+A065)"
"U+A066", "\xea\x81\xa6", "YI SYLLABLE BBOX (U+A066)"
"U+A067", "\xea\x81\xa7", "YI SYLLABLE BBO (U+A067)"
"U+A068", "\xea\x81\xa8", "YI SYLLABLE BBOP (U+A068)"
"U+A069", "\xea\x81\xa9", "YI SYLLABLE BBEX (U+A069)"
"U+A06A", "\xea\x81\xaa", "YI SYLLABLE BBE (U+A06A)"
"U+A06B", "\xea\x81\xab", "YI SYLLABLE BBEP (U+A06B)"
"U+A06C", "\xea\x81\xac", "YI SYLLABLE BBUT (U+A06C)"
"U+A06D", "\xea\x81\xad", "YI SYLLABLE BBUX (U+A06D)"
"U+A06E", "\xea\x81\xae", "YI SYLLABLE BBU (U+A06E)"
"U+A06F", "\xea\x81\xaf", "YI SYLLABLE BBUP (U+A06F)"
"U+A070", "\xea\x81\xb0", "YI SYLLABLE BBURX (U+A070)"
"U+A071", "\xea\x81\xb1", "YI SYLLABLE BBUR (U+A071)"
"U+A072", "\xea\x81\xb2", "YI SYLLABLE BBYT (U+A072)"
"U+A073", "\xea\x81\xb3", "YI SYLLABLE BBYX (U+A073)"
"U+A074", "\xea\x81\xb4", "YI SYLLABLE BBY (U+A074)"
"U+A075", "\xea\x81\xb5", "YI SYLLABLE BBYP (U+A075)"
"U+A076", "\xea\x81\xb6", "YI SYLLABLE NBIT (U+A076)"
"U+A077", "\xea\x81\xb7", "YI SYLLABLE NBIX (U+A077)"
"U+A078", "\xea\x81\xb8", "YI SYLLABLE NBI (U+A078)"
"U+A079", "\xea\x81\xb9", "YI SYLLABLE NBIP (U+A079)"
"U+A07A", "\xea\x81\xba", "YI SYLLABLE NBIEX (U+A07A)"
"U+A07B", "\xea\x81\xbb", "YI SYLLABLE NBIE (U+A07B)"
"U+A07C", "\xea\x81\xbc", "YI SYLLABLE NBIEP (U+A07C)"
"U+A07D", "\xea\x81\xbd", "YI SYLLABLE NBAT (U+A07D)"
"U+A07E", "\xea\x81\xbe", "YI SYLLABLE NBAX (U+A07E)"
