# Unicode Characters in the Ethiopic Block
# Source: http://www.fileformat.info/info/unicode/block/ethiopic/list.htm
"U+123C", "\xe1\x88\xbc", "ETHIOPIC SYLLABLE SHEE (U+123C)"
"U+123D", "\xe1\x88\xbd", "ETHIOPIC SYLLABLE SHE (U+123D)"
"U+123E", "\xe1\x88\xbe", "ETHIOPIC SYLLABLE SHO (U+123E)"
"U+123F", "\xe1\x88\xbf", "ETHIOPIC SYLLABLE SHWA (U+123F)"
"U+1240", "\xe1\x89\x80", "ETHIOPIC SYLLABLE QA (U+1240)"
"U+1241", "\xe1\x89\x81", "ETHIOPIC SYLLABLE QU (U+1241)"
"U+1242", "\xe1\x89\x82", "ETHIOPIC SYLLABLE QI (U+1242)"
"U+1243", "\xe1\x89\x83", "ETHIOPIC SYLLABLE QAA (U+1243)"
"U+1244", "\xe1\x89\x84", "ETHIOPIC SYLLABLE QEE (U+1244)"
"U+1245", "\xe1\x89\x85", "ETHIOPIC SYLLABLE QE (U+1245)"
"U+1246", "\xe1\x89\x86", "ETHIOPIC SYLLABLE QO (U+1246)"
"U+1247", "\xe1\x89\x87", "ETHIOPIC SYLLABLE QOA (U+1247)"
"U+1248", "\xe1\x89\x88", "ETHIOPIC SYLLABLE QWA (U+1248)"
"U+124A", "\xe1\x89\x8a", "ETHIOPIC SYLLABLE QWI (U+124A)"
"U+124B", "\xe1\x89\x8b", "ETHIOPIC SYLLABLE QWAA (U+124B)"
"U+124C", "\xe1\x89\x8c", "ETHIOPIC SYLLABLE QWEE (U+124C)"
"U+124D", "\xe1\x89\x8d", "ETHIOPIC SYLLABLE QWE (U+124D)"
"U+1250", "\xe1\x89\x90", "ETHIOPIC SYLLABLE QHA (U+1250)"
"U+1251", "\xe1\x89\x91", "ETHIOPIC SYLLABLE QHU (U+1251)"
"U+1252", "\xe1\x89\x92", "ETHIOPIC SYLLABLE QHI (U+1252)"
"U+1253", "\xe1\x89\x93", "ETHIOPIC SYLLABLE QHAA (U+1253)"
"U+1254", "\xe1\x89\x94", "ETHIOPIC SYLLABLE QHEE (U+1254)"
"U+1255", "\xe1\x89\x95", "ETHIOPIC SYLLABLE QHE (U+1255)"
"U+1256", "\xe1\x89\x96", "ETHIOPIC SYLLABLE QHO (U+1256)"
"U+1258", "\xe1\x89\x98", "ETHIOPIC SYLLABLE QHWA (U+1258)"
"U+125A", "\xe1\x89\x9a", "ETHIOPIC SYLLABLE QHWI (U+125A)"
"U+125B", "\xe1\x89\x9b", "ETHIOPIC SYLLABLE QHWAA (U+125B)"
"U+125C", "\xe1\x89\x9c", "ETHIOPIC SYLLABLE QHWEE (U+125C)"
"U+125D", "\xe1\x89\x9d", "ETHIOPIC SYLLABLE QHWE (U+125D)"
"U+1260", "\xe1\x89\xa0", "ETHIOPIC SYLLABLE BA (U+1260)"
"U+1261", "\xe1\x89\xa1", "ETHIOPIC SYLLABLE BU (U+1261)"
"U+1262", "\xe1\x89\xa2", "ETHIOPIC SYLLABLE BI (U+1262)"
