# Combining Diacritical Marks
U+0366, \xcd\xa6, COMBINING LATIN SMALL LETTER O
U+0367, \xcd\xa7, COMBINING LATIN SMALL LETTER U
U+0368, \xcd\xa8, COMBINING LATIN SMALL LETTER C
U+0369, \xcd\xa9, COMBINING LATIN SMALL LETTER D
U+036A, \xcd\xaa, COMBINING LATIN SMALL LETTER H
U+036B, \xcd\xab, COMBINING LATIN SMALL LETTER M
U+036C, \xcd\xac, COMBINING LATIN SMALL LETTER R
U+036D, \xcd\xad, COMBINING LATIN SMALL LETTER T
U+036E, \xcd\xae, COMBINING LATIN SMALL LETTER V
U+036F, \xcd\xaf, COMBINING LATIN SMALL LETTER X
U+0370, \xcd\xb0, GREEK CAPITAL LETTER HETA
U+0371, \xcd\xb1, GREEK SMALL LETTER HETA
U+0372, \xcd\xb2, GREEK CAPITAL LETTER ARCHAIC SAMPI
U+0373, \xcd\xb3, GREEK SMALL LETTER ARCHAIC SAMPI
U+0374, \xcd\xb4, GREEK NUMERAL SIGN
U+0375, \xcd\xb5, GREEK LOWER NUMERAL SIGN
U+0376, \xcd\xb6, GREEK CAPITAL LETTER PAMPHYLIAN DIGAMMA
U+0377, \xcd\xb7, GREEK SMALL LETTER PAMPHYLIAN DIGAMMA
U+037A, \xcd\xba, GREEK YPOGEGRAMMENI
U+037B, \xcd\xbb, GREEK SMALL REVERSED LUNATE SIGMA SYMBOL
U+037C, \xcd\xbc, GREEK SMALL DOTTED LUNATE SIGMA SYMBOL
U+037D, \xcd\xbd, GREEK SMALL REVERSED DOTTED LUNATE SIGMA SYMBOL
U+037E, \xcd\xbe, GREEK QUESTION MARK
U+0384, \xce\x84, GREEK TONOS
U+0385, \xce\x85, GREEK DIALYTIKA TONOS
U+0386, \xce\x86, GREEK CAPITAL LETTER ALPHA WITH TONOS
U+0387, \xce\x87, GREEK ANO TELEIA
U+0388, \xce\x88, GREEK CAPITAL LETTER EPSILON WITH TONOS
U+0389, \xce\x89, GREEK CAPITAL LETTER ETA WITH TONOS
U+038A, \xce\x8a, GREEK CAPITAL LETTER IOTA WITH TONOS
U+038C, \xce\x8c, GREEK CAPITAL LETTER OMICRON WITH TONOS
U+038E, \xce\x8e, GREEK CAPITAL LETTER UPSILON WITH TONOS
U+038F, \xce\x8f, GREEK CAPITAL LETTER OMEGA WITH TONOS
U+0390, \xce\x90, GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
U+0391, \xce\x91, GREEK CAPITAL LETTER ALPHA
U+0392, \xce\x92, GREEK CAPITAL LETTER BETA
