# Balinese
U+1B1E, \xe1\xac\x9e, BALINESE LETTER TA MURDA MAHAPRANA
U+1B1F, \xe1\xac\x9f, BALINESE LETTER DA MURDA ALPAPRANA
U+1B20, \xe1\xac\xa0, BALINESE LETTER DA MURDA MAHAPRANA
U+1B21, \xe1\xac\xa1, BALINESE LETTER NA RAMBAT
U+1B22, \xe1\xac\xa2, BALINESE LETTER TA
U+1B23, \xe1\xac\xa3, BALINESE LETTER TA TAWA
U+1B24, \xe1\xac\xa4, BALINESE LETTER DA
U+1B25, \xe1\xac\xa5, BALINESE LETTER DA MADU
U+1B26, \xe1\xac\xa6, BALINESE LETTER NA
U+1B27, \xe1\xac\xa7, BALINESE LETTER PA
U+1B28, \xe1\xac\xa8, BALINESE LETTER PA KAPAL
U+1B29, \xe1\xac\xa9, BALINESE LETTER BA
U+1B2A, \xe1\xac\xaa, BALINESE LETTER BA KEMBANG
U+1B2B, \xe1\xac\xab, BALINESE LETTER MA
U+1B2C, \xe1\xac\xac, BALINESE LETTER YA
U+1B2D, \xe1\xac\xad, BALINESE LETTER RA
U+1B2E, \xe1\xac\xae, BALINESE LETTER LA
U+1B2F, \xe1\xac\xaf, BALINESE LETTER WA
U+1B30, \xe1\xac\xb0, BALINESE LETTER SA SAGA
U+1B31, \xe1\xac\xb1, BALINESE LETTER SA SAPA
U+1B32, \xe1\xac\xb2, BALINESE LETTER SA
U+1B33, \xe1\xac\xb3, BALINESE LETTER HA
U+1B34, \xe1\xac\xb4, BALINESE SIGN REREKAN
U+1B35, \xe1\xac\xb5, BALINESE VOWEL SIGN TEDUNG
U+1B36, \xe1\xac\xb6, BALINESE VOWEL SIGN ULU
U+1B37, \xe1\xac\xb7, BALINESE VOWEL SIGN ULU SARI
U+1B38, \xe1\xac\xb8, BALINESE VOWEL SIGN SUKU
U+1B39, \xe1\xac\xb9, BALINESE VOWEL SIGN SUKU ILUT
U+1B3A, \xe1\xac\xba, BALINESE VOWEL SIGN RA REPA
U+1B3B, \xe1\xac\xbb, BALINESE VOWEL SIGN RA REPA TEDUNG
U+1B3C, \xe1\xac\xbc, BALINESE VOWEL SIGN LA LENGA
