# Arabic Presentation Forms-B
U+FEBE, \xef\xba\xbe, ARABIC LETTER DAD FINAL FORM
U+FEBF, \xef\xba\xbf, ARABIC LETTER DAD INITIAL FORM
U+FEC0, \xef\xbb\x80, ARABIC LETTER DAD MEDIAL FORM
U+FEC1, \xef\xbb\x81, ARABIC LETTER TAH ISOLATED FORM
U+FEC2, \xef\xbb\x82, ARABIC LETTER TAH FINAL FORM
U+FEC3, \xef\xbb\x83, ARABIC LETTER TAH INITIAL FORM
U+FEC4, \xef\xbb\x84, ARABIC LETTER TAH MEDIAL FORM
U+FEC5, \xef\xbb\x85, ARABIC LETTER ZAH ISOLATED FORM
U+FEC6, \xef\xbb\x86, ARABIC LETTER ZAH FINAL FORM
U+FEC7, \xef\xbb\x87, ARABIC LETTER ZAH INITIAL FORM
U+FEC8, \xef\xbb\x88, ARABIC LETTER ZAH MEDIAL FORM
U+FEC9, \xef\xbb\x89, ARABIC LETTER AIN ISOLATED FORM
U+FECA, \xef\xbb\x8a, ARABIC LETTER AIN FINAL FORM
U+FECB, \xef\xbb\x8b, ARABIC LETTER AIN INITIAL FORM
U+FECC, \xef\xbb\x8c, ARABIC LETTER AIN MEDIAL FORM
U+FECD, \xef\xbb\x8d, ARABIC LETTER GHAIN ISOLATED FORM
U+FECE, \xef\xbb\x8e, ARABIC LETTER GHAIN FINAL FORM
U+FECF, \xef\xbb\x8f, ARABIC LETTER GHAIN INITIAL FORM
U+FED0, \xef\xbb\x90, ARABIC LETTER GHAIN MEDIAL FORM
U+FED1, \xef\xbb\x91, ARABIC LETTER FEH ISOLATED FORM
U+FED2, \xef\xbb\x92, ARABIC LETTER FEH FINAL FORM
U+FED3, \xef\xbb\x93, ARABIC LETTER FEH INITIAL FORM
U+FED4, \xef\xbb\x94, ARABIC LETTER FEH MEDIAL FORM
U+FED5, \xef\xbb\x95, ARABIC LETTER QAF ISOLATED FORM
U+FED6, \xef\xbb\x96, ARABIC LETTER QAF FINAL FORM
U+FED7, \xef\xbb\x97, ARABIC LETTER QAF INITIAL FORM
U+FED8, \xef\xbb\x98, ARABIC LETTER QAF MEDIAL FORM
U+FED9, \xef\xbb\x99, ARABIC LETTER KAF ISOLATED FORM
U+FEDA, \xef\xbb\x9a, ARABIC LETTER KAF FINAL FORM
U+FEDB, \xef\xbb\x9b, ARABIC LETTER KAF INITIAL FORM
U+FEDC, \xef\xbb\x9c, ARABIC LETTER KAF MEDIAL FORM
U+FEDD, \xef\xbb\x9d, ARABIC LETTER LAM ISOLATED FORM
U+FEDE, \xef\xbb\x9e, ARABIC LETTER LAM FINAL FORM
U+FEDF, \xef\xbb\x9f, ARABIC LETTER LAM INITIAL FORM
U+FEE0, \xef\xbb\xa0, ARABIC LETTER LAM MEDIAL FORM
U+FEE1, \xef\xbb\xa1, ARABIC LETTER MEEM ISOLATED FORM
U+FEE2, \xef\xbb\xa2, ARABIC LETTER MEEM FINAL FORM
U+FEE3, \xef\xbb\xa3, ARABIC LETTER MEEM INITIAL FORM
U+FEE4, \xef\xbb\xa4, ARABIC LETTER MEEM MEDIAL FORM
U+FEE5, \xef\xbb\xa5, ARABIC LETTER NOON ISOLATED FORM
U+FEE6, \xef\xbb\xa6, ARABIC LETTER NOON FINAL FORM
U+FEE7, \xef\xbb\xa7, ARABIC LETTER NOON INITIAL FORM
U+FEE8, \xef\xbb\xa8, ARABIC LETTER NOON MEDIAL FORM
U+FEE9, \xef\xbb\xa9, ARABIC LETTER HEH ISOLATED FORM
U+FEEA, \xef\xbb\xaa, ARABIC LETTER HEH FINAL FORM
U+FEEB, \xef\xbb\xab, ARABIC LETTER HEH INITIAL FORM
U+FEEC, \xef\xbb\xac, ARABIC LETTER HEH MEDIAL FORM
U+FEED, \xef\xbb\xad, ARABIC LETTER WAW ISOLATED FORM
U+FEEE, \xef\xbb\xae, ARABIC LETTER WAW FINAL FORM
U+FEEF, \xef\xbb\xaf, ARABIC LETTER ALEF MAKSURA ISOLATED FORM
U+FEF0, \xef\xbb\xb0, ARABIC LETTER ALEF MAKSURA FINAL FORM
U+FEF1, \xef\xbb\xb1, ARABIC LETTER YEH ISOLATED FORM
U+FEF2, \xef\xbb\xb2, ARABIC LETTER YEH FINAL FORM
