# Bengali
U+0A2E, \xe0\xa8\xae, GURMUKHI LETTER MA
U+0A2F, \xe0\xa8\xaf, GURMUKHI LETTER YA
U+0A30, \xe0\xa8\xb0, GURMUKHI LETTER RA
U+0A32, \xe0\xa8\xb2, GURMUKHI LETTER LA
U+0A33, \xe0\xa8\xb3, GURMUKHI LETTER LLA
U+0A35, \xe0\xa8\xb5, GURMUKHI LETTER VA
U+0A36, \xe0\xa8\xb6, GURMUKHI LETTER SHA
U+0A38, \xe0\xa8\xb8, GURMUKHI LETTER SA
U+0A39, \xe0\xa8\xb9, GURMUKHI LETTER HA
U+0A3C, \xe0\xa8\xbc, GURMUKHI SIGN NUKTA
U+0A3E, \xe0\xa8\xbe, GURMUKHI VOWEL SIGN AA
U+0A3F, \xe0\xa8\xbf, GURMUKHI VOWEL SIGN I
U+0A40, \xe0\xa9\x80, GURMUKHI VOWEL SIGN II
U+0A41, \xe0\xa9\x81, GURMUKHI VOWEL SIGN U
U+0A42, \xe0\xa9\x82, GURMUKHI VOWEL SIGN UU
U+0A47, \xe0\xa9\x87, GURMUKHI VOWEL SIGN EE
U+0A48, \xe0\xa9\x88, GURMUKHI VOWEL SIGN AI
U+0A4B, \xe0\xa9\x8b, GURMUKHI VOWEL SIGN OO
U+0A4C, \xe0\xa9\x8c, GURMUKHI VOWEL SIGN AU
U+0A4D, \xe0\xa9\x8d, GURMUKHI SIGN VIRAMA
U+0A51, \xe0\xa9\x91, GURMUKHI SIGN UDAAT
U+0A59, \xe0\xa9\x99, GURMUKHI LETTER KHHA
U+0A5A, \xe0\xa9\x9a, GURMUKHI LETTER GHHA
U+0A5B, \xe0\xa9\x9b, GURMUKHI LETTER ZA
U+0A5C, \xe0\xa9\x9c, GURMUKHI LETTER RRA
U+0A5E, \xe0\xa9\x9e, GURMUKHI LETTER FA
U+0A66, \xe0\xa9\xa6, GURMUKHI DIGIT ZERO
U+0A67, \xe0\xa9\xa7, GURMUKHI DIGIT ONE
U+0A68, \xe0\xa9\xa8, GURMUKHI DIGIT TWO
U+0A69, \xe0\xa9\xa9, GURMUKHI DIGIT THREE
U+0A6A, \xe0\xa9\xaa, GURMUKHI DIGIT FOUR
U+0A6B, \xe0\xa9\xab, GURMUKHI DIGIT FIVE
U+0A6C, \xe0\xa9\xac, GURMUKHI DIGIT SIX
U+0A6D, \xe0\xa9\xad, GURMUKHI DIGIT SEVEN
U+0A6E, \xe0\xa9\xae, GURMUKHI DIGIT EIGHT
U+0A6F, \xe0\xa9\xaf, GURMUKHI DIGIT NINE
U+0A70, \xe0\xa9\xb0, GURMUKHI TIPPI
U+0A71, \xe0\xa9\xb1, GURMUKHI ADDAK
U+0A72, \xe0\xa9\xb2, GURMUKHI IRI
U+0A73, \xe0\xa9\xb3, GURMUKHI URA
U+0A74, \xe0\xa9\xb4, GURMUKHI EK ONKAR
U+0A75, \xe0\xa9\xb5, GURMUKHI SIGN YAKASH
