# Unicode Characters in the Halfwidth and Fullwidth Forms Block
# Source: http://www.fileformat.info/info/unicode/block/halfwidth_and_fullwidth_forms/list.htm
"U+FF3F", "\xef\xbc\xbf", "FULLWIDTH LOW LINE (U+FF3F)"
"U+FF40", "\xef\xbd\x80", "FULLWIDTH GRAVE ACCENT (U+FF40)"
"U+FF41", "\xef\xbd\x81", "FULLWIDTH LATIN SMALL LETTER A (U+FF41)"
"U+FF42", "\xef\xbd\x82", "FULLWIDTH LATIN SMALL LETTER B (U+FF42)"
"U+FF43", "\xef\xbd\x83", "FULLWIDTH LATIN SMALL LETTER C (U+FF43)"
"U+FF44", "\xef\xbd\x84", "FULLWIDTH LATIN SMALL LETTER D (U+FF44)"
"U+FF45", "\xef\xbd\x85", "FULLWIDTH LATIN SMALL LETTER E (U+FF45)"
"U+FF46", "\xef\xbd\x86", "FULLWIDTH LATIN SMALL LETTER F (U+FF46)"
"U+FF47", "\xef\xbd\x87", "FULLWIDTH LATIN SMALL LETTER G (U+FF47)"
"U+FF48", "\xef\xbd\x88", "FULLWIDTH LATIN SMALL LETTER H (U+FF48)"
"U+FF49", "\xef\xbd\x89", "FULLWIDTH LATIN SMALL LETTER I (U+FF49)"
"U+FF4A", "\xef\xbd\x8a", "FULLWIDTH LATIN SMALL LETTER J (U+FF4A)"
"U+FF4B", "\xef\xbd\x8b", "FULLWIDTH LATIN SMALL LETTER K (U+FF4B)"
"U+FF4C", "\xef\xbd\x8c", "FULLWIDTH LATIN SMALL LETTER L (U+FF4C)"
"U+FF4D", "\xef\xbd\x8d", "FULLWIDTH LATIN SMALL LETTER M (U+FF4D)"
"U+FF4E", "\xef\xbd\x8e", "FULLWIDTH LATIN SMALL LETTER N (U+FF4E)"
"U+FF4F", "\xef\xbd\x8f", "FULLWIDTH LATIN SMALL LETTER O (U+FF4F)"
"U+FF50", "\xef\xbd\x90", "FULLWIDTH LATIN SMALL LETTER P (U+FF50)"
"U+FF51", "\xef\xbd\x91", "FULLWIDTH LATIN SMALL LETTER Q (U+FF51)"
"U+FF52", "\xef\xbd\x92", "FULLWIDTH LATIN SMALL LETTER R (U+FF52)"
"U+FF53", "\xef\xbd\x93", "FULLWIDTH LATIN SMALL LETTER S (U+FF53)"
"U+FF54", "\xef\xbd\x94", "FULLWIDTH LATIN SMALL LETTER T (U+FF54)"
"U+FF55", "\xef\xbd\x95", "FULLWIDTH LATIN SMALL LETTER U (U+FF55)"
"U+FF56", "\xef\xbd\x96", "FULLWIDTH LATIN SMALL LETTER V (U+FF56)"
"U+FF57", "\xef\xbd\x97", "FULLWIDTH LATIN SMALL LETTER W (U+FF57)"
"U+FF58", "\xef\xbd\x98", "FULLWIDTH LATIN SMALL LETTER X (U+FF58)"
"U+FF59", "\xef\xbd\x99", "FULLWIDTH LATIN SMALL LETTER Y (U+FF59)"
"U+FF5A", "\xef\xbd\x9a", "FULLWIDTH LATIN SMALL LETTER Z (U+FF5A)"
"U+FF5B", "\xef\xbd\x9b", "FULLWIDTH LEFT CURLY BRACKET (U+FF5B)"
"U+FF5C", "\xef\xbd\x9c", "FULLWIDTH VERTICAL LINE (U+FF5C)"
"U+FF5D", "\xef\xbd\x9d", "FULLWIDTH RIGHT CURLY BRACKET (U+FF5D)"
"U+FF5E", "\xef\xbd\x9e", "FULLWIDTH TILDE (U+FF5E)"
"U+FF5F", "\xef\xbd\x9f", "FULLWIDTH LEFT WHITE PARENTHESIS (U+FF5F)"
"U+FF60", "\xef\xbd\xa0", "FULLWIDTH RIGHT WHITE PARENTHESIS (U+FF60)"
"U+FF61", "\xef\xbd\xa1", "HALFWIDTH IDEOGRAPHIC FULL STOP (U+FF61)"
"U+FF62", "\xef\xbd\xa2", "HALFWIDTH LEFT CORNER BRACKET (U+FF62)"
"U+FF63", "\xef\xbd\xa3", "HALFWIDTH RIGHT CORNER BRACKET (U+FF63)"
"U+FF64", "\xef\xbd\xa4", "HALFWIDTH IDEOGRAPHIC COMMA (U+FF64)"
"U+FF65", "\xef\xbd\xa5", "HALFWIDTH KATAKANA MIDDLE DOT (U+FF65)"
"U+FF66", "\xef\xbd\xa6", "HALFWIDTH KATAKANA LETTER WO (U+FF66)"
"U+FF67", "\xef\xbd\xa7", "HALFWIDTH KATAKANA LETTER SMALL A (U+FF67)"
