# Unicode Characters in the Dingbats Block
# Source: http://www.fileformat.info/info/unicode/block/dingbats/list.htm
"U+274A", "\xe2\x9d\x8a", "EIGHT TEARDROP-SPOKED PROPELLER ASTERISK (U+274A)"
"U+274B", "\xe2\x9d\x8b", "HEAVY EIGHT TEARDROP-SPOKED PROPELLER ASTERISK (U+274B)"
"U+274C", "\xe2\x9d\x8c", "CROSS MARK (U+274C)"
"U+274D", "\xe2\x9d\x8d", "SHADOWED WHITE CIRCLE (U+274D)"
"U+274E", "\xe2\x9d\x8e", "NEGATIVE SQUARED CROSS MARK (U+274E)"
"U+274F", "\xe2\x9d\x8f", "LOWER RIGHT DROP-SHADOWED WHITE SQUARE (U+274F)"
"U+2750", "\xe2\x9d\x90", "UPPER RIGHT DROP-SHADOWED WHITE SQUARE (U+2750)"
"U+2751", "\xe2\x9d\x91", "LOWER RIGHT SHADOWED WHITE SQUARE (U+2751)"
"U+2752", "\xe2\x9d\x92", "UPPER RIGHT SHADOWED WHITE SQUARE (U+2752)"
"U+2753", "\xe2\x9d\x93", "BLACK QUESTION MARK ORNAMENT (U+2753)"
"U+2754", "\xe2\x9d\x94", "WHITE QUESTION MARK ORNAMENT (U+2754)"
"U+2755", "\xe2\x9d\x95", "WHITE EXCLAMATION MARK ORNAMENT (U+2755)"
"U+2756", "\xe2\x9d\x96", "BLACK DIAMOND MINUS WHITE X (U+2756)"
"U+2757", "\xe2\x9d\x97", "HEAVY EXCLAMATION MARK SYMBOL (U+2757)"
"U+2758", "\xe2\x9d\x98", "LIGHT VERTICAL BAR (U+2758)"
"U+2759", "\xe2\x9d\x99", "MEDIUM VERTICAL BAR (U+2759)"
"U+275A", "\xe2\x9d\x9a", "HEAVY VERTICAL BAR (U+275A)"
"U+275B", "\xe2\x9d\x9b", "HEAVY SINGLE TURNED COMMA QUOTATION MARK ORNAMENT (U+275B)"
"U+275C", "\xe2\x9d\x9c", "HEAVY SINGLE COMMA QUOTATION MARK ORNAMENT (U+275C)"
"U+275D", "\xe2\x9d\x9d", "HEAVY DOUBLE TURNED COMMA QUOTATION MARK ORNAMENT (U+275D)"
"U+275E", "\xe2\x9d\x9e", "HEAVY DOUBLE COMMA QUOTATION MARK ORNAMENT (U+275E)"
"U+275F", "\xe2\x9d\x9f", "HEAVY LOW SINGLE COMMA QUOTATION MARK ORNAMENT (U+275F)"
"U+2760", "\xe2\x9d\xa0", "HEAVY LOW DOUBLE COMMA QUOTATION MARK ORNAMENT (U+2760)"
"U+2761", "\xe2\x9d\xa1", "CURVED STEM PARAGRAPH SIGN ORNAMENT (U+2761)"
"U+2762", "\xe2\x9d\xa2", "HEAVY EXCLAMATION MARK ORNAMENT (U+2762)"
"U+2763", "\xe2\x9d\xa3", "HEAVY HEART EXCLAMATION MARK ORNAMENT (U+2763)"
"U+2764", "\xe2\x9d\xa4", "HEAVY BLACK HEART (U+2764)"
"U+2765", "\xe2\x9d\xa5", "ROTATED HEAVY BLACK HEART BULLET (U+2765)"
"U+2766", "\xe2\x9d\xa6", "FLORAL HEART (U+2766)"
"U+2767", "\xe2\x9d\xa7", "ROTATED FLORAL HEART BULLET (U+2767)"
"U+2768", "\xe2\x9d\xa8", "MEDIUM LEFT PARENTHESIS ORNAMENT (U+2768)"
"U+2769", "\xe2\x9d\xa9", "MEDIUM RIGHT PARENTHESIS ORNAMENT (U+2769)"
"U+276A", "\xe2\x9d\xaa", "MEDIUM FLATTENED LEFT PARENTHESIS ORNAMENT (U+276A)"
"U+276B", "\xe2\x9d\xab", "MEDIUM FLATTENED RIGHT PARENTHESIS ORNAMENT (U+276B)"
"U+276C", "\xe2\x9d\xac", "MEDIUM LEFT-POINTING ANGLE BRACKET ORNAMENT (U+276C)"
"U+276D", "\xe2\x9d\xad", "MEDIUM RIGHT-POINTING ANGLE BRACKET ORNAMENT (U+276D)"
"U+276E", "\xe2\x9d\xae", "HEAVY LEFT-POINTING ANGLE QUOTATION MARK ORNAMENT (U+276E)"
"U+276F", "\xe2\x9d\xaf", "HEAVY RIGHT-POINTING ANGLE QUOTATION MARK ORNAMENT (U+276F)"
"U+2770", "\xe2\x9d\xb0", "HEAVY LEFT-POINTING ANGLE BRACKET ORNAMENT (U+2770)"
"U+2771", "\xe2\x9d\xb1", "HEAVY RIGHT-POINTING ANGLE BRACKET ORNAMENT (U+2771)"
"U+2772", "\xe2\x9d\xb2", "LIGHT LEFT TORTOISE SHELL BRACKET ORNAMENT (U+2772)"
"U+2773", "\xe2\x9d\xb3", "LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT (U+2773)"
"U+2774", "\xe2\x9d\xb4", "MEDIUM LEFT CURLY BRACKET ORNAMENT (U+2774)"
"U+2775", "\xe2\x9d\xb5", "MEDIUM RIGHT CURLY BRACKET ORNAMENT (U+2775)"
"U+2776", "\xe2\x9d\xb6", "DINGBAT NEGATIVE CIRCLED DIGIT ONE (U+2776)"
"U+2777", "\xe2\x9d\xb7", "DINGBAT NEGATIVE CIRCLED DIGIT TWO (U+2777)"
"U+2778", "\xe2\x9d\xb8", "DINGBAT NEGATIVE CIRCLED DIGIT THREE (U+2778)"
"U+2779", "\xe2\x9d\xb9", "DINGBAT NEGATIVE CIRCLED DIGIT FOUR (U+2779)"
"U+277A", "\xe2\x9d\xba", "DINGBAT NEGATIVE CIRCLED DIGIT FIVE (U+277A)"
"U+277B", "\xe2\x9d\xbb", "DINGBAT NEGATIVE CIRCLED DIGIT SIX (U+277B)"
"U+277C", "\xe2\x9d\xbc", "DINGBAT NEGATIVE CIRCLED DIGIT SEVEN (U+277C)"
"U+277D", "\xe2\x9d\xbd", "DINGBAT NEGATIVE CIRCLED DIGIT EIGHT (U+277D)"
"U+277E", "\xe2\x9d\xbe", "DINGBAT NEGATIVE CIRCLED DIGIT NINE (U+277E)"
"U+277F", "\xe2\x9d\xbf", "DINGBAT NEGATIVE CIRCLED NUMBER TEN (U+277F)"
"U+2780", "\xe2\x9e\x80", "DINGBAT CIRCLED SANS-SERIF DIGIT ONE (U+2780)"
"U+2781", "\xe2\x9e\x81", "DINGBAT CIRCLED SANS-SERIF DIGIT TWO (U+2781)"
"U+2782", "\xe2\x9e\x82", "DINGBAT CIRCLED SANS-SERIF DIGIT THREE (U+2782)"
"U+2783", "\xe2\x9e\x83", "DINGBAT CIRCLED SANS-SERIF DIGIT FOUR (U+2783)"
"U+2784", "\xe2\x9e\x84", "DINGBAT CIRCLED SANS-SERIF DIGIT FIVE (U+2784)"
"U+2785", "\xe2\x9e\x85", "DINGBAT CIRCLED SANS-SERIF DIGIT SIX (U+2785)"
"U+2786", "\xe2\x9e\x86", "DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN (U+2786)"
"U+2787", "\xe2\x9e\x87", "DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT (U+2787)"
"U+2788", "\xe2\x9e\x88", "DINGBAT CIRCLED SANS-SERIF DIGIT NINE (U+2788)"
"U+2789", "\xe2\x9e\x89", "DINGBAT CIRCLED SANS-SERIF NUMBER TEN (U+2789)"
"U+278A", "\xe2\x9e\x8a", "DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE (U+278A)"
"U+278B", "\xe2\x9e\x8b", "DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO (U+278B)"
"U+278C", "\xe2\x9e\x8c", "DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE (U+278C)"
"U+278D", "\xe2\x9e\x8d", "DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR (U+278D)"
"U+278E", "\xe2\x9e\x8e", "DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE (U+278E)"
"U+278F", "\xe2\x9e\x8f", "DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX (U+278F)"
"U+2790", "\xe2\x9e\x90", "DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN (U+2790)"
"U+2791", "\xe2\x9e\x91", "DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT EIGHT (U+2791)"
"U+2792", "\xe2\x9e\x92", "DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT NINE (U+2792)"
"U+2793", "\xe2\x9e\x93", "DINGBAT NEGATIVE CIRCLED SANS-SERIF NUMBER TEN (U+2793)"
"U+2794", "\xe2\x9e\x94", "HEAVY WIDE-HEADED RIGHTWARDS ARROW (U+2794)"
"U+2795", "\xe2\x9e\x95", "HEAVY PLUS SIGN (U+2795)"
"U+2796", "\xe2\x9e\x96", "HEAVY MINUS SIGN (U+2796)"
"U+2797", "\xe2\x9e\x97", "HEAVY DIVISION SIGN (U+2797)"
"U+2798", "\xe2\x9e\x98", "HEAVY SOUTH EAST ARROW (U+2798)"
"U+2799", "\xe2\x9e\x99", "HEAVY RIGHTWARDS ARROW (U+2799)"
"U+279A", "\xe2\x9e\x9a", "HEAVY NORTH EAST ARROW (U+279A)"
"U+279B", "\xe2\x9e\x9b", "DRAFTING POINT RIGHTWARDS ARROW (U+279B)"
"U+279C", "\xe2\x9e\x9c", "HEAVY ROUND-TIPPED RIGHTWARDS ARROW (U+279C)"
"U+279D", "\xe2\x9e\x9d", "TRIANGLE-HEADED RIGHTWARDS ARROW (U+279D)"
"U+279E", "\xe2\x9e\x9e", "HEAVY TRIANGLE-HEADED RIGHTWARDS ARROW (U+279E)"
"U+279F", "\xe2\x9e\x9f", "DASHED TRIANGLE-HEADED RIGHTWARDS ARROW (U+279F)"
"U+27A0", "\xe2\x9e\xa0", "HEAVY DASHED TRIANGLE-HEADED RIGHTWARDS ARROW (U+27A0)"
