# Currency Symbols
U+2170, \xe2\x85\xb0, SMALL ROMAN NUMERAL ONE
U+2171, \xe2\x85\xb1, SMALL ROMAN NUMERAL TWO
U+2172, \xe2\x85\xb2, SMALL ROMAN NUMERAL THREE
U+2173, \xe2\x85\xb3, SMALL ROMAN NUMERAL FOUR
U+2174, \xe2\x85\xb4, SMALL ROMAN NUMERAL FIVE
U+2175, \xe2\x85\xb5, SMALL ROMAN NUMERAL SIX
U+2176, \xe2\x85\xb6, SMALL ROMAN NUMERAL SEVEN
U+2177, \xe2\x85\xb7, SMALL ROMAN NUMERAL EIGHT
U+2178, \xe2\x85\xb8, SMALL ROMAN NUMERAL NINE
U+2179, \xe2\x85\xb9, SMALL ROMAN NUMERAL TEN
U+217A, \xe2\x85\xba, SMALL ROMAN NUMERAL ELEVEN
U+217B, \xe2\x85\xbb, SMALL ROMAN NUMERAL TWELVE
U+217C, \xe2\x85\xbc, SMALL ROMAN NUMERAL FIFTY
U+217D, \xe2\x85\xbd, SMALL ROMAN NUMERAL ONE HUNDRED
U+217E, \xe2\x85\xbe, SMALL ROMAN NUMERAL FIVE HUNDRED
U+217F, \xe2\x85\xbf, SMALL ROMAN NUMERAL ONE THOUSAND
U+2180, \xe2\x86\x80, ROMAN NUMERAL ONE THOUSAND C D
U+2181, \xe2\x86\x81, ROMAN NUMERAL FIVE THOUSAND
U+2182, \xe2\x86\x82, ROMAN NUMERAL TEN THOUSAND
U+2183, \xe2\x86\x83, ROMAN NUMERAL REVERSED ONE HUNDRED
U+2184, \xe2\x86\x84, LATIN SMALL LETTER REVERSED C
U+2185, \xe2\x86\x85, ROMAN NUMERAL SIX LATE FORM
U+2186, \xe2\x86\x86, ROMAN NUMERAL FIFTY EARLY FORM
U+2187, \xe2\x86\x87, ROMAN NUMERAL FIFTY THOUSAND
U+2188, \xe2\x86\x88, ROMAN NUMERAL ONE HUNDRED THOUSAND
U+2189, \xe2\x86\x89, VULGAR FRACTION ZERO THIRDS
U+2190, \xe2\x86\x90, LEFTWARDS ARROW
U+2191, \xe2\x86\x91, UPWARDS ARROW
U+2192, \xe2\x86\x92, RIGHTWARDS ARROW
U+2193, \xe2\x86\x93, DOWNWARDS ARROW
U+2194, \xe2\x86\x94, LEFT RIGHT ARROW
U+2195, \xe2\x86\x95, UP DOWN ARROW
U+2196, \xe2\x86\x96, NORTH WEST ARROW
U+2197, \xe2\x86\x97, NORTH EAST ARROW
U+2198, \xe2\x86\x98, SOUTH EAST ARROW
U+2199, \xe2\x86\x99, SOUTH WEST ARROW
U+219A, \xe2\x86\x9a, LEFTWARDS ARROW WITH STROKE
U+219B, \xe2\x86\x9b, RIGHTWARDS ARROW WITH STROKE
U+219C, \xe2\x86\x9c, LEFTWARDS WAVE ARROW
U+219D, \xe2\x86\x9d, RIGHTWARDS WAVE ARROW
U+219E, \xe2\x86\x9e, LEFTWARDS TWO HEADED ARROW
U+219F, \xe2\x86\x9f, UPWARDS TWO HEADED ARROW
