# Unicode Characters in the Tai Xuan Jing Symbols Block
# Source: http://www.fileformat.info/info/unicode/block/tai_xuan_jing_symbols/list.htm
"U+1D337", "\xe1\xb4\xb3\x37", "TETRAGRAM FOR VASTNESS OR WASTING (U+1D337)"
"U+1D338", "\xe1\xb4\xb3\x38", "TETRAGRAM FOR CONSTANCY (U+1D338)"
"U+1D339", "\xe1\xb4\xb3\x39", "TETRAGRAM FOR MEASURE (U+1D339)"
"U+1D33A", "\xe1\xb4\xb3\x41", "TETRAGRAM FOR ETERNITY (U+1D33A)"
"U+1D33B", "\xe1\xb4\xb3\x42", "TETRAGRAM FOR UNITY (U+1D33B)"
"U+1D33C", "\xe1\xb4\xb3\x43", "TETRAGRAM FOR DIMINISHMENT (U+1D33C)"
"U+1D33D", "\xe1\xb4\xb3\x44", "TETRAGRAM FOR CLOSED MOUTH (U+1D33D)"
"U+1D33E", "\xe1\xb4\xb3\x45", "TETRAGRAM FOR GUARDEDNESS (U+1D33E)"
"U+1D33F", "\xe1\xb4\xb3\x46", "TETRAGRAM FOR GATHERING IN (U+1D33F)"
"U+1D340", "\xe1\xb4\xb4\x30", "TETRAGRAM FOR MASSING (U+1D340)"
"U+1D341", "\xe1\xb4\xb4\x31", "TETRAGRAM FOR ACCUMULATION (U+1D341)"
"U+1D342", "\xe1\xb4\xb4\x32", "TETRAGRAM FOR EMBELLISHMENT (U+1D342)"
"U+1D343", "\xe1\xb4\xb4\x33", "TETRAGRAM FOR DOUBT (U+1D343)"
"U+1D344", "\xe1\xb4\xb4\x34", "TETRAGRAM FOR WATCH (U+1D344)"
"U+1D345", "\xe1\xb4\xb4\x35", "TETRAGRAM FOR SINKING (U+1D345)"
"U+1D346", "\xe1\xb4\xb4\x36", "TETRAGRAM FOR INNER (U+1D346)"
"U+1D347", "\xe1\xb4\xb4\x37", "TETRAGRAM FOR DEPARTURE (U+1D347)"
"U+1D348", "\xe1\xb4\xb4\x38", "TETRAGRAM FOR DARKENING (U+1D348)"
"U+1D349", "\xe1\xb4\xb4\x39", "TETRAGRAM FOR DIMMING (U+1D349)"
"U+1D34A", "\xe1\xb4\xb4\x41", "TETRAGRAM FOR EXHAUSTION (U+1D34A)"
"U+1D34B", "\xe1\xb4\xb4\x42", "TETRAGRAM FOR SEVERANCE (U+1D34B)"
