# Spacing Modifier Letters
U+02E1, \xcb\xa1, MODIFIER LETTER SMALL L
U+02E2, \xcb\xa2, MODIFIER LETTER SMALL S
U+02E3, \xcb\xa3, MODIFIER LETTER SMALL X
U+02E4, \xcb\xa4, MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
U+02E5, \xcb\xa5, MODIFIER LETTER EXTRA-HIGH TONE BAR
U+02E6, \xcb\xa6, MODIFIER LETTER HIGH TONE BAR
U+02E7, \xcb\xa7, MODIFIER LETTER MID TONE BAR
U+02E8, \xcb\xa8, MODIFIER LETTER LOW TONE BAR
U+02E9, \xcb\xa9, MODIFIER LETTER EXTRA-LOW TONE BAR
U+02EA, \xcb\xaa, MODIFIER LETTER YIN DEPARTING TONE MARK
U+02EB, \xcb\xab, MODIFIER LETTER YANG DEPARTING TONE MARK
U+02EC, \xcb\xac, MODIFIER LETTER VOICING
U+02ED, \xcb\xad, MODIFIER LETTER UNASPIRATED
U+02EE, \xcb\xae, MODIFIER LETTER DOUBLE APOSTROPHE
U+02EF, \xcb\xaf, MODIFIER LETTER LOW DOWN ARROWHEAD
U+02F0, \xcb\xb0, MODIFIER LETTER LOW UP ARROWHEAD
U+02F1, \xcb\xb1, MODIFIER LETTER LOW LEFT ARROWHEAD
U+02F2, \xcb\xb2, MODIFIER LETTER LOW RIGHT ARROWHEAD
U+02F3, \xcb\xb3, MODIFIER LETTER LOW RING
U+02F4, \xcb\xb4, MODIFIER LETTER MIDDLE GRAVE ACCENT
U+02F5, \xcb\xb5, MODIFIER LETTER MIDDLE DOUBLE GRAVE ACCENT
U+02F6, \xcb\xb6, MODIFIER LETTER MIDDLE DOUBLE ACUTE ACCENT
U+02F7, \xcb\xb7, MODIFIER LETTER LOW TILDE
U+02F8, \xcb\xb8, MODIFIER LETTER RAISED COLON
U+02F9, \xcb\xb9, MODIFIER LETTER BEGIN HIGH TONE
U+02FA, \xcb\xba, MODIFIER LETTER END HIGH TONE
U+02FB, \xcb\xbb, MODIFIER LETTER BEGIN LOW TONE
U+02FC, \xcb\xbc, MODIFIER LETTER END LOW TONE
U+02FD, \xcb\xbd, MODIFIER LETTER SHELF
U+02FE, \xcb\xbe, MODIFIER LETTER OPEN SHELF
U+02FF, \xcb\xbf, MODIFIER LETTER LOW LEFT ARROW
U+0300, \xcc\x80, COMBINING GRAVE ACCENT
U+0301, \xcc\x81, COMBINING ACUTE ACCENT
U+0302, \xcc\x82, COMBINING CIRCUMFLEX ACCENT
U+0303, \xcc\x83, COMBINING TILDE
