# Unicode Characters in the Arabic Mathematical Alphabetic Symbols Block
# Source: http://www.fileformat.info/info/unicode/block/arabic_mathematical_alphabetic_symbols/list.htm
"U+1EE4D", "\xe1\xbb\xa4\x44", "ARABIC MATHEMATICAL TAILED NOON (U+1EE4D)"
"U+1EE4E", "\xe1\xbb\xa4\x45", "ARABIC MATHEMATICAL TAILED SEEN (U+1EE4E)"
"U+1EE4F", "\xe1\xbb\xa4\x46", "ARABIC MATHEMATICAL TAILED AIN (U+1EE4F)"
"U+1EE51", "\xe1\xbb\xa5\x31", "ARABIC MATHEMATICAL TAILED SAD (U+1EE51)"
"U+1EE52", "\xe1\xbb\xa5\x32", "ARABIC MATHEMATICAL TAILED QAF (U+1EE52)"
"U+1EE54", "\xe1\xbb\xa5\x34", "ARABIC MATHEMATICAL TAILED SHEEN (U+1EE54)"
"U+1EE57", "\xe1\xbb\xa5\x37", "ARABIC MATHEMATICAL TAILED KHAH (U+1EE57)"
"U+1EE59", "\xe1\xbb\xa5\x39", "ARABIC MATHEMATICAL TAILED DAD (U+1EE59)"
"U+1EE5B", "\xe1\xbb\xa5\x42", "ARABIC MATHEMATICAL TAILED GHAIN (U+1EE5B)"
"U+1EE5D", "\xe1\xbb\xa5\x44", "ARABIC MATHEMATICAL TAILED DOTLESS NOON (U+1EE5D)"
"U+1EE5F", "\xe1\xbb\xa5\x46", "ARABIC MATHEMATICAL TAILED DOTLESS QAF (U+1EE5F)"
"U+1EE61", "\xe1\xbb\xa6\x31", "ARABIC MATHEMATICAL STRETCHED BEH (U+1EE61)"
"U+1EE62", "\xe1\xbb\xa6\x32", "ARABIC MATHEMATICAL STRETCHED JEEM (U+1EE62)"
"U+1EE64", "\xe1\xbb\xa6\x34", "ARABIC MATHEMATICAL STRETCHED HEH (U+1EE64)"
"U+1EE67", "\xe1\xbb\xa6\x37", "ARABIC MATHEMATICAL STRETCHED HAH (U+1EE67)"
"U+1EE68", "\xe1\xbb\xa6\x38", "ARABIC MATHEMATICAL STRETCHED TAH (U+1EE68)"
"U+1EE69", "\xe1\xbb\xa6\x39", "ARABIC MATHEMATICAL STRETCHED YEH (U+1EE69)"
"U+1EE6A", "\xe1\xbb\xa6\x41", "ARABIC MATHEMATICAL STRETCHED KAF (U+1EE6A)"
"U+1EE6C", "\xe1\xbb\xa6\x43", "ARABIC MATHEMATICAL STRETCHED MEEM (U+1EE6C)"
"U+1EE6D", "\xe1\xbb\xa6\x44", "ARABIC MATHEMATICAL STRETCHED NOON (U+1EE6D)"
