# Unicode Characters in the Enclosed CJK Letters and Months Block
# Source: http://www.fileformat.info/info/unicode/block/enclosed_cjk_letters_and_months/list.htm
"U+3240", "\xe3\x89\x80", "PARENTHESIZED IDEOGRAPH FESTIVAL (U+3240)"
"U+3241", "\xe3\x89\x81", "PARENTHESIZED IDEOGRAPH REST (U+3241)"
"U+3242", "\xe3\x89\x82", "PARENTHESIZED IDEOGRAPH SELF (U+3242)"
"U+3243", "\xe3\x89\x83", "PARENTHESIZED IDEOGRAPH REACH (U+3243)"
"U+3244", "\xe3\x89\x84", "CIRCLED IDEOGRAPH QUESTION (U+3244)"
"U+3245", "\xe3\x89\x85", "CIRCLED IDEOGRAPH KINDERGARTEN (U+3245)"
"U+3246", "\xe3\x89\x86", "CIRCLED IDEOGRAPH SCHOOL (U+3246)"
"U+3247", "\xe3\x89\x87", "CIRCLED IDEOGRAPH KOTO (U+3247)"
"U+3248", "\xe3\x89\x88", "CIRCLED NUMBER TEN ON BLACK SQUARE (U+3248)"
"U+3249", "\xe3\x89\x89", "CIRCLED NUMBER TWENTY ON BLACK SQUARE (U+3249)"
"U+324A", "\xe3\x89\x8a", "CIRCLED NUMBER THIRTY ON BLACK SQUARE (U+324A)"
"U+324B", "\xe3\x89\x8b", "CIRCLED NUMBER FORTY ON BLACK SQUARE (U+324B)"
"U+324C", "\xe3\x89\x8c", "CIRCLED NUMBER FIFTY ON BLACK SQUARE (U+324C)"
"U+324D", "\xe3\x89\x8d", "CIRCLED NUMBER SIXTY ON BLACK SQUARE (U+324D)"
"U+324E", "\xe3\x89\x8e", "CIRCLED NUMBER SEVENTY ON BLACK SQUARE (U+324E)"
"U+324F", "\xe3\x89\x8f", "CIRCLED NUMBER EIGHTY ON BLACK SQUARE (U+324F)"
"U+3250", "\xe3\x89\x90", "PARTNERSHIP SIGN (U+3250)"
"U+3251", "\xe3\x89\x91", "CIRCLED NUMBER TWENTY ONE (U+3251)"
"U+3252", "\xe3\x89\x92", "CIRCLED NUMBER TWENTY TWO (U+3252)"
"U+3253", "\xe3\x89\x93", "CIRCLED NUMBER TWENTY THREE (U+3253)"
"U+3254", "\xe3\x89\x94", "CIRCLED NUMBER TWENTY FOUR (U+3254)"
"U+3255", "\xe3\x89\x95", "CIRCLED NUMBER TWENTY FIVE (U+3255)"
"U+3256", "\xe3\x89\x96", "CIRCLED NUMBER TWENTY SIX (U+3256)"
"U+3257", "\xe3\x89\x97", "CIRCLED NUMBER TWENTY SEVEN (U+3257)"
"U+3258", "\xe3\x89\x98", "CIRCLED NUMBER TWENTY EIGHT (U+3258)"
"U+3259", "\xe3\x89\x99", "CIRCLED NUMBER TWENTY NINE (U+3259)"
"U+325A", "\xe3\x89\x9a", "CIRCLED NUMBER THIRTY (U+325A)"
"U+325B", "\xe3\x89\x9b", "CIRCLED NUMBER THIRTY ONE (U+325B)"
"U+325C", "\xe3\x89\x9c", "CIRCLED NUMBER THIRTY TWO (U+325C)"
"U+325D", "\xe3\x89\x9d", "CIRCLED NUMBER THIRTY THREE (U+325D)"
"U+325E", "\xe3\x89\x9e", "CIRCLED NUMBER THIRTY FOUR (U+325E)"
"U+325F", "\xe3\x89\x9f", "CIRCLED NUMBER THIRTY FIVE (U+325F)"
"U+3260", "\xe3\x89\xa0", "CIRCLED HANGUL KIYEOK (U+3260)"
"U+3261", "\xe3\x89\xa1", "CIRCLED HANGUL NIEUN (U+3261)"
"U+3262", "\xe3\x89\xa2", "CIRCLED HANGUL TIKEUT (U+3262)"
"U+3263", "\xe3\x89\xa3", "CIRCLED HANGUL RIEUL (U+3263)"
"U+3264", "\xe3\x89\xa4", "CIRCLED HANGUL MIEUM (U+3264)"
"U+3265", "\xe3\x89\xa5", "CIRCLED HANGUL PIEUP (U+3265)"
"U+3266", "\xe3\x89\xa6", "CIRCLED HANGUL SIOS (U+3266)"
"U+3267", "\xe3\x89\xa7", "CIRCLED HANGUL IEUNG (U+3267)"
"U+3268", "\xe3\x89\xa8", "CIRCLED HANGUL CIEUC (U+3268)"
"U+3269", "\xe3\x89\xa9", "CIRCLED HANGUL CHIEUCH (U+3269)"
"U+326A", "\xe3\x89\xaa", "CIRCLED HANGUL KHIEUKH (U+326A)"
"U+326B", "\xe3\x89\xab", "CIRCLED HANGUL THIEUTH (U+326B)"
"U+326C", "\xe3\x89\xac", "CIRCLED HANGUL PHIEUPH (U+326C)"
"U+326D", "\xe3\x89\xad", "CIRCLED HANGUL HIEUH (U+326D)"
"U+326E", "\xe3\x89\xae", "CIRCLED HANGUL KIYEOK A (U+326E)"
"U+326F", "\xe3\x89\xaf", "CIRCLED HANGUL NIEUN A (U+326F)"
"U+3270", "\xe3\x89\xb0", "CIRCLED HANGUL TIKEUT A (U+3270)"
"U+3271", "\xe3\x89\xb1", "CIRCLED HANGUL RIEUL A (U+3271)"
"U+3272", "\xe3\x89\xb2", "CIRCLED HANGUL MIEUM A (U+3272)"
"U+3273", "\xe3\x89\xb3", "CIRCLED HANGUL PIEUP A (U+3273)"
"U+3274", "\xe3\x89\xb4", "CIRCLED HANGUL SIOS A (U+3274)"
"U+3275", "\xe3\x89\xb5", "CIRCLED HANGUL IEUNG A (U+3275)"
"U+3276", "\xe3\x89\xb6", "CIRCLED HANGUL CIEUC A (U+3276)"
"U+3277", "\xe3\x89\xb7", "CIRCLED HANGUL CHIEUCH A (U+3277)"
"U+3278", "\xe3\x89\xb8", "CIRCLED HANGUL KHIEUKH A (U+3278)"
"U+3279", "\xe3\x89\xb9", "CIRCLED HANGUL THIEUTH A (U+3279)"
"U+327A", "\xe3\x89\xba", "CIRCLED HANGUL PHIEUPH A (U+327A)"
"U+327B", "\xe3\x89\xbb", "CIRCLED HANGUL HIEUH A (U+327B)"
"U+327C", "\xe3\x89\xbc", "CIRCLED KOREAN CHARACTER CHAMKO (U+327C)"
"U+327D", "\xe3\x89\xbd", "CIRCLED KOREAN CHARACTER JUEUI (U+327D)"
"U+327E", "\xe3\x89\xbe", "CIRCLED HANGUL IEUNG U (U+327E)"
"U+327F", "\xe3\x89\xbf", "KOREAN STANDARD SYMBOL (U+327F)"
"U+3280", "\xe3\x8a\x80", "CIRCLED IDEOGRAPH ONE (U+3280)"
"U+3281", "\xe3\x8a\x81", "CIRCLED IDEOGRAPH TWO (U+3281)"
"U+3282", "\xe3\x8a\x82", "CIRCLED IDEOGRAPH THREE (U+3282)"
"U+3283", "\xe3\x8a\x83", "CIRCLED IDEOGRAPH FOUR (U+3283)"
"U+3284", "\xe3\x8a\x84", "CIRCLED IDEOGRAPH FIVE (U+3284)"
"U+3285", "\xe3\x8a\x85", "CIRCLED IDEOGRAPH SIX (U+3285)"
"U+3286", "\xe3\x8a\x86", "CIRCLED IDEOGRAPH SEVEN (U+3286)"
"U+3287", "\xe3\x8a\x87", "CIRCLED IDEOGRAPH EIGHT (U+3287)"
"U+3288", "\xe3\x8a\x88", "CIRCLED IDEOGRAPH NINE (U+3288)"
"U+3289", "\xe3\x8a\x89", "CIRCLED IDEOGRAPH TEN (U+3289)"
"U+328A", "\xe3\x8a\x8a", "CIRCLED IDEOGRAPH MOON (U+328A)"
"U+328B", "\xe3\x8a\x8b", "CIRCLED IDEOGRAPH FIRE (U+328B)"
"U+328C", "\xe3\x8a\x8c", "CIRCLED IDEOGRAPH WATER (U+328C)"
"U+328D", "\xe3\x8a\x8d", "CIRCLED IDEOGRAPH WOOD (U+328D)"
"U+328E", "\xe3\x8a\x8e", "CIRCLED IDEOGRAPH METAL (U+328E)"
"U+328F", "\xe3\x8a\x8f", "CIRCLED IDEOGRAPH EARTH (U+328F)"
"U+3290", "\xe3\x8a\x90", "CIRCLED IDEOGRAPH SUN (U+3290)"
"U+3291", "\xe3\x8a\x91", "CIRCLED IDEOGRAPH STOCK (U+3291)"
"U+3292", "\xe3\x8a\x92", "CIRCLED IDEOGRAPH HAVE (U+3292)"
"U+3293", "\xe3\x8a\x93", "CIRCLED IDEOGRAPH SOCIETY (U+3293)"
"U+3294", "\xe3\x8a\x94", "CIRCLED IDEOGRAPH NAME (U+3294)"
"U+3295", "\xe3\x8a\x95", "CIRCLED IDEOGRAPH SPECIAL (U+3295)"
"U+3296", "\xe3\x8a\x96", "CIRCLED IDEOGRAPH FINANCIAL (U+3296)"
"U+3297", "\xe3\x8a\x97", "CIRCLED IDEOGRAPH CONGRATULATION (U+3297)"
"U+3298", "\xe3\x8a\x98", "CIRCLED IDEOGRAPH LABOR (U+3298)"
"U+3299", "\xe3\x8a\x99", "CIRCLED IDEOGRAPH SECRET (U+3299)"
"U+329A", "\xe3\x8a\x9a", "CIRCLED IDEOGRAPH MALE (U+329A)"
"U+329B", "\xe3\x8a\x9b", "CIRCLED IDEOGRAPH FEMALE (U+329B)"
