# CJK Compatibility
U+3364, \xe3\x8d\xa4, IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWELVE
U+3365, \xe3\x8d\xa5, IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR THIRTEEN
U+3366, \xe3\x8d\xa6, IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FOURTEEN
U+3367, \xe3\x8d\xa7, IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FIFTEEN
U+3368, \xe3\x8d\xa8, IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SIXTEEN
U+3369, \xe3\x8d\xa9, IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SEVENTEEN
U+336A, \xe3\x8d\xaa, IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR EIGHTEEN
U+336B, \xe3\x8d\xab, IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR NINETEEN
U+336C, \xe3\x8d\xac, IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY
U+336D, \xe3\x8d\xad, IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-ONE
U+336E, \xe3\x8d\xae, IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-TWO
U+336F, \xe3\x8d\xaf, IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-THREE
U+3370, \xe3\x8d\xb0, IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-FOUR
U+3371, \xe3\x8d\xb1, SQUARE HPA
U+3372, \xe3\x8d\xb2, SQUARE DA
U+3373, \xe3\x8d\xb3, SQUARE AU
U+3374, \xe3\x8d\xb4, SQUARE BAR
U+3375, \xe3\x8d\xb5, SQUARE OV
U+3376, \xe3\x8d\xb6, SQUARE PC
U+3377, \xe3\x8d\xb7, SQUARE DM
U+3378, \xe3\x8d\xb8, SQUARE DM SQUARED
U+3379, \xe3\x8d\xb9, SQUARE DM CUBED
U+337A, \xe3\x8d\xba, SQUARE IU
U+337B, \xe3\x8d\xbb, SQUARE ERA NAME HEISEI
U+337C, \xe3\x8d\xbc, SQUARE ERA NAME SYOUWA
U+337D, \xe3\x8d\xbd, SQUARE ERA NAME TAISYOU
U+337E, \xe3\x8d\xbe, SQUARE ERA NAME MEIZI
U+337F, \xe3\x8d\xbf, SQUARE CORPORATION
U+3380, \xe3\x8e\x80, SQUARE PA AMPS
U+3381, \xe3\x8e\x81, SQUARE NA
U+3382, \xe3\x8e\x82, SQUARE MU A
U+3383, \xe3\x8e\x83, SQUARE MA
U+3384, \xe3\x8e\x84, SQUARE KA
U+3385, \xe3\x8e\x85, SQUARE KB
U+3386, \xe3\x8e\x86, SQUARE MB
U+3387, \xe3\x8e\x87, SQUARE GB
U+3388, \xe3\x8e\x88, SQUARE CAL
U+3389, \xe3\x8e\x89, SQUARE KCAL
U+338A, \xe3\x8e\x8a, SQUARE PF
U+338B, \xe3\x8e\x8b, SQUARE NF
U+338C, \xe3\x8e\x8c, SQUARE MU F
U+338D, \xe3\x8e\x8d, SQUARE MU G
U+338E, \xe3\x8e\x8e, SQUARE MG
U+338F, \xe3\x8e\x8f, SQUARE KG
U+3390, \xe3\x8e\x90, SQUARE HZ
U+3391, \xe3\x8e\x91, SQUARE KHZ
U+3392, \xe3\x8e\x92, SQUARE MHZ
U+3393, \xe3\x8e\x93, SQUARE GHZ
U+3394, \xe3\x8e\x94, SQUARE THZ
U+3395, \xe3\x8e\x95, SQUARE MU L
U+3396, \xe3\x8e\x96, SQUARE ML
U+3397, \xe3\x8e\x97, SQUARE DL
U+3398, \xe3\x8e\x98, SQUARE KL
U+3399, \xe3\x8e\x99, SQUARE FM
U+339A, \xe3\x8e\x9a, SQUARE NM
U+339B, \xe3\x8e\x9b, SQUARE MU M
U+339C, \xe3\x8e\x9c, SQUARE MM
U+339D, \xe3\x8e\x9d, SQUARE CM
U+339E, \xe3\x8e\x9e, SQUARE KM
U+339F, \xe3\x8e\x9f, SQUARE MM SQUARED
U+33A0, \xe3\x8e\xa0, SQUARE CM SQUARED
U+33A1, \xe3\x8e\xa1, SQUARE M SQUARED
U+33A2, \xe3\x8e\xa2, SQUARE KM SQUARED
U+33A3, \xe3\x8e\xa3, SQUARE MM CUBED
U+33A4, \xe3\x8e\xa4, SQUARE CM CUBED
U+33A5, \xe3\x8e\xa5, SQUARE M CUBED
U+33A6, \xe3\x8e\xa6, SQUARE KM CUBED
U+33A7, \xe3\x8e\xa7, SQUARE M OVER S
U+33A8, \xe3\x8e\xa8, SQUARE M OVER S SQUARED
U+33A9, \xe3\x8e\xa9, SQUARE PA
U+33AA, \xe3\x8e\xaa, SQUARE KPA
U+33AB, \xe3\x8e\xab, SQUARE MPA
U+33AC, \xe3\x8e\xac, SQUARE GPA
U+33AD, \xe3\x8e\xad, SQUARE RAD
U+33AE, \xe3\x8e\xae, SQUARE RAD OVER S
U+33AF, \xe3\x8e\xaf, SQUARE RAD OVER S SQUARED
U+33B0, \xe3\x8e\xb0, SQUARE PS
U+33B1, \xe3\x8e\xb1, SQUARE NS
U+33B2, \xe3\x8e\xb2, SQUARE MU S
U+33B3, \xe3\x8e\xb3, SQUARE MS
U+33B4, \xe3\x8e\xb4, SQUARE PV
U+33B5, \xe3\x8e\xb5, SQUARE NV
U+33B6, \xe3\x8e\xb6, SQUARE MU V
U+33B7, \xe3\x8e\xb7, SQUARE MV
U+33B8, \xe3\x8e\xb8, SQUARE KV
U+33B9, \xe3\x8e\xb9, SQUARE MV MEGA
U+33BA, \xe3\x8e\xba, SQUARE PW
U+33BB, \xe3\x8e\xbb, SQUARE NW
U+33BC, \xe3\x8e\xbc, SQUARE MU W
U+33BD, \xe3\x8e\xbd, SQUARE MW
U+33BE, \xe3\x8e\xbe, SQUARE KW
U+33BF, \xe3\x8e\xbf, SQUARE MW MEGA
U+33C0, \xe3\x8f\x80, SQUARE K OHM
U+33C1, \xe3\x8f\x81, SQUARE M OHM
U+33C2, \xe3\x8f\x82, SQUARE AM
U+33C3, \xe3\x8f\x83, SQUARE BQ
U+33C4, \xe3\x8f\x84, SQUARE CC
U+33C5, \xe3\x8f\x85, SQUARE CD
U+33C6, \xe3\x8f\x86, SQUARE C OVER KG
U+33C7, \xe3\x8f\x87, SQUARE CO
U+33C8, \xe3\x8f\x88, SQUARE DB
U+33C9, \xe3\x8f\x89, SQUARE GY
U+33CA, \xe3\x8f\x8a, SQUARE HA
U+33CB, \xe3\x8f\x8b, SQUARE HP
U+33CC, \xe3\x8f\x8c, SQUARE IN
U+33CD, \xe3\x8f\x8d, SQUARE KK
U+33CE, \xe3\x8f\x8e, SQUARE KM CAPITAL
U+33CF, \xe3\x8f\x8f, SQUARE KT
U+33D0, \xe3\x8f\x90, SQUARE LM
U+33D1, \xe3\x8f\x91, SQUARE LN
U+33D2, \xe3\x8f\x92, SQUARE LOG
U+33D3, \xe3\x8f\x93, SQUARE LX
U+33D4, \xe3\x8f\x94, SQUARE MB SMALL
U+33D5, \xe3\x8f\x95, SQUARE MIL
U+33D6, \xe3\x8f\x96, SQUARE MOL
U+33D7, \xe3\x8f\x97, SQUARE PH
U+33D8, \xe3\x8f\x98, SQUARE PM
U+33D9, \xe3\x8f\x99, SQUARE PPM
U+33DA, \xe3\x8f\x9a, SQUARE PR
U+33DB, \xe3\x8f\x9b, SQUARE SR
U+33DC, \xe3\x8f\x9c, SQUARE SV
U+33DD, \xe3\x8f\x9d, SQUARE WB
U+33DE, \xe3\x8f\x9e, SQUARE V OVER M
U+33DF, \xe3\x8f\x9f, SQUARE A OVER M
U+33E0, \xe3\x8f\xa0, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY ONE
U+33E1, \xe3\x8f\xa1, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWO
U+33E2, \xe3\x8f\xa2, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THREE
U+33E3, \xe3\x8f\xa3, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FOUR
U+33E4, \xe3\x8f\xa4, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FIVE
U+33E5, \xe3\x8f\xa5, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SIX
