# Unicode Characters in the Samaritan Block
# Source: http://www.fileformat.info/info/unicode/block/samaritan/list.htm
"U+0818", "\xe0\xa0\x98", "SAMARITAN MARK OCCLUSION (U+0818)"
"U+0819", "\xe0\xa0\x99", "SAMARITAN MARK DAGESH (U+0819)"
"U+081A", "\xe0\xa0\x9a", "SAMARITAN MODIFIER LETTER EPENTHETIC YUT (U+081A)"
"U+081B", "\xe0\xa0\x9b", "SAMARITAN MARK EPENTHETIC YUT (U+081B)"
"U+081C", "\xe0\xa0\x9c", "SAMARITAN VOWEL SIGN LONG E (U+081C)"
"U+081D", "\xe0\xa0\x9d", "SAMARITAN VOWEL SIGN E (U+081D)"
"U+081E", "\xe0\xa0\x9e", "SAMARITAN VOWEL SIGN OVERLONG AA (U+081E)"
"U+081F", "\xe0\xa0\x9f", "SAMARITAN VOWEL SIGN LONG AA (U+081F)"
"U+0820", "\xe0\xa0\xa0", "SAMARITAN VOWEL SIGN AA (U+0820)"
"U+0821", "\xe0\xa0\xa1", "SAMARITAN VOWEL SIGN OVERLONG A (U+0821)"
"U+0822", "\xe0\xa0\xa2", "SAMARITAN VOWEL SIGN LONG A (U+0822)"
"U+0823", "\xe0\xa0\xa3", "SAMARITAN VOWEL SIGN A (U+0823)"
"U+0824", "\xe0\xa0\xa4", "SAMARITAN MODIFIER LETTER SHORT A (U+0824)"
"U+0825", "\xe0\xa0\xa5", "SAMARITAN VOWEL SIGN SHORT A (U+0825)"
"U+0826", "\xe0\xa0\xa6", "SAMARITAN VOWEL SIGN LONG U (U+0826)"
"U+0827", "\xe0\xa0\xa7", "SAMARITAN VOWEL SIGN U (U+0827)"
"U+0828", "\xe0\xa0\xa8", "SAMARITAN MODIFIER LETTER I (U+0828)"
"U+0829", "\xe0\xa0\xa9", "SAMARITAN VOWEL SIGN LONG I (U+0829)"
"U+082A", "\xe0\xa0\xaa", "SAMARITAN VOWEL SIGN I (U+082A)"
"U+082B", "\xe0\xa0\xab", "SAMARITAN VOWEL SIGN O (U+082B)"
"U+082C", "\xe0\xa0\xac", "SAMARITAN VOWEL SIGN SUKUN (U+082C)"
