# CJK Compatibility Ideographs
U+F96B, \xef\xa5\xab, CJK COMPATIBILITY IDEOGRAPH-F96B
U+F96C, \xef\xa5\xac, CJK COMPATIBILITY IDEOGRAPH-F96C
U+F96D, \xef\xa5\xad, CJK COMPATIBILITY IDEOGRAPH-F96D
U+F96E, \xef\xa5\xae, CJK COMPATIBILITY IDEOGRAPH-F96E
U+F96F, \xef\xa5\xaf, CJK COMPATIBILITY IDEOGRAPH-F96F
U+F970, \xef\xa5\xb0, CJK COMPATIBILITY IDEOGRAPH-F970
U+F971, \xef\xa5\xb1, CJK COMPATIBILITY IDEOGRAPH-F971
U+F972, \xef\xa5\xb2, CJK COMPATIBILITY IDEOGRAPH-F972
U+F973, \xef\xa5\xb3, CJK COMPATIBILITY IDEOGRAPH-F973
U+F974, \xef\xa5\xb4, CJK COMPATIBILITY IDEOGRAPH-F974
U+F975, \xef\xa5\xb5, CJK COMPATIBILITY IDEOGRAPH-F975
U+F976, \xef\xa5\xb6, CJK COMPATIBILITY IDEOGRAPH-F976
U+F977, \xef\xa5\xb7, CJK COMPATIBILITY IDEOGRAPH-F977
U+F978, \xef\xa5\xb8, CJK COMPATIBILITY IDEOGRAPH-F978
U+F979, \xef\xa5\xb9, CJK COMPATIBILITY IDEOGRAPH-F979
U+F97A, \xef\xa5\xba, CJK COMPATIBILITY IDEOGRAPH-F97A
U+F97B, \xef\xa5\xbb, CJK COMPATIBILITY IDEOGRAPH-F97B
U+F97C, \xef\xa5\xbc, CJK COMPATIBILITY IDEOGRAPH-F97C
U+F97D, \xef\xa5\xbd, CJK COMPATIBILITY IDEOGRAPH-F97D
U+F97E, \xef\xa5\xbe, CJK COMPATIBILITY IDEOGRAPH-F97E
U+F97F, \xef\xa5\xbf, CJK COMPATIBILITY IDEOGRAPH-F97F
U+F980, \xef\xa6\x80, CJK COMPATIBILITY IDEOGRAPH-F980
U+F981, \xef\xa6\x81, CJK COMPATIBILITY IDEOGRAPH-F981
U+F982, \xef\xa6\x82, CJK COMPATIBILITY IDEOGRAPH-F982
U+F983, \xef\xa6\x83, CJK COMPATIBILITY IDEOGRAPH-F983
U+F984, \xef\xa6\x84, CJK COMPATIBILITY IDEOGRAPH-F984
U+F985, \xef\xa6\x85, CJK COMPATIBILITY IDEOGRAPH-F985
U+F986, \xef\xa6\x86, CJK COMPATIBILITY IDEOGRAPH-F986
U+F987, \xef\xa6\x87, CJK COMPATIBILITY IDEOGRAPH-F987
U+F988, \xef\xa6\x88, CJK COMPATIBILITY IDEOGRAPH-F988
U+F989, \xef\xa6\x89, CJK COMPATIBILITY IDEOGRAPH-F989
U+F98A, \xef\xa6\x8a, CJK COMPATIBILITY IDEOGRAPH-F98A
U+F98B, \xef\xa6\x8b, CJK COMPATIBILITY IDEOGRAPH-F98B
U+F98C, \xef\xa6\x8c, CJK COMPATIBILITY IDEOGRAPH-F98C
U+F98D, \xef\xa6\x8d, CJK COMPATIBILITY IDEOGRAPH-F98D
U+F98E, \xef\xa6\x8e, CJK COMPATIBILITY IDEOGRAPH-F98E
U+F98F, \xef\xa6\x8f, CJK COMPATIBILITY IDEOGRAPH-F98F
U+F990, \xef\xa6\x90, CJK COMPATIBILITY IDEOGRAPH-F990
U+F991, \xef\xa6\x91, CJK COMPATIBILITY IDEOGRAPH-F991
U+F992, \xef\xa6\x92, CJK COMPATIBILITY IDEOGRAPH-F992
U+F993, \xef\xa6\x93, CJK COMPATIBILITY IDEOGRAPH-F993
U+F994, \xef\xa6\x94, CJK COMPATIBILITY IDEOGRAPH-F994
U+F995, \xef\xa6\x95, CJK COMPATIBILITY IDEOGRAPH-F995
U+F996, \xef\xa6\x96, CJK COMPATIBILITY IDEOGRAPH-F996
U+F997, \xef\xa6\x97, CJK COMPATIBILITY IDEOGRAPH-F997
U+F998, \xef\xa6\x98, CJK COMPATIBILITY IDEOGRAPH-F998
U+F999, \xef\xa6\x99, CJK COMPATIBILITY IDEOGRAPH-F999
U+F99A, \xef\xa6\x9a, CJK COMPATIBILITY IDEOGRAPH-F99A
U+F99B, \xef\xa6\x9b, CJK COMPATIBILITY IDEOGRAPH-F99B
U+F99C, \xef\xa6\x9c, CJK COMPATIBILITY IDEOGRAPH-F99C
U+F99D, \xef\xa6\x9d, CJK COMPATIBILITY IDEOGRAPH-F99D
U+F99E, \xef\xa6\x9e, CJK COMPATIBILITY IDEOGRAPH-F99E
U+F99F, \xef\xa6\x9f, CJK COMPATIBILITY IDEOGRAPH-F99F
U+F9A0, \xef\xa6\xa0, CJK COMPATIBILITY IDEOGRAPH-F9A0
U+F9A1, \xef\xa6\xa1, CJK COMPATIBILITY IDEOGRAPH-F9A1
U+F9A2, \xef\xa6\xa2, CJK COMPATIBILITY IDEOGRAPH-F9A2
U+F9A3, \xef\xa6\xa3, CJK COMPATIBILITY IDEOGRAPH-F9A3
U+F9A4, \xef\xa6\xa4, CJK COMPATIBILITY IDEOGRAPH-F9A4
U+F9A5, \xef\xa6\xa5, CJK COMPATIBILITY IDEOGRAPH-F9A5
U+F9A6, \xef\xa6\xa6, CJK COMPATIBILITY IDEOGRAPH-F9A6
U+F9A7, \xef\xa6\xa7, CJK COMPATIBILITY IDEOGRAPH-F9A7
U+F9A8, \xef\xa6\xa8, CJK COMPATIBILITY IDEOGRAPH-F9A8
U+F9A9, \xef\xa6\xa9, CJK COMPATIBILITY IDEOGRAPH-F9A9
U+F9AA, \xef\xa6\xaa, CJK COMPATIBILITY IDEOGRAPH-F9AA
U+F9AB, \xef\xa6\xab, CJK COMPATIBILITY IDEOGRAPH-F9AB
U+F9AC, \xef\xa6\xac, CJK COMPATIBILITY IDEOGRAPH-F9AC
U+F9AD, \xef\xa6\xad, CJK COMPATIBILITY IDEOGRAPH-F9AD
U+F9AE, \xef\xa6\xae, CJK COMPATIBILITY IDEOGRAPH-F9AE
U+F9AF, \xef\xa6\xaf, CJK COMPATIBILITY IDEOGRAPH-F9AF
