# Kannada
U+0D0B, \xe0\xb4\x8b, MALAYALAM LETTER VOCALIC R
U+0D0C, \xe0\xb4\x8c, MALAYALAM LETTER VOCALIC L
U+0D0E, \xe0\xb4\x8e, MALAYALAM LETTER E
U+0D0F, \xe0\xb4\x8f, MALAYALAM LETTER EE
U+0D10, \xe0\xb4\x90, MALAYALAM LETTER AI
U+0D12, \xe0\xb4\x92, MALAYALAM LETTER O
U+0D13, \xe0\xb4\x93, MALAYALAM LETTER OO
U+0D14, \xe0\xb4\x94, MALAYALAM LETTER AU
U+0D15, \xe0\xb4\x95, MALAYALAM LETTER KA
U+0D16, \xe0\xb4\x96, MALAYALAM LETTER KHA
U+0D17, \xe0\xb4\x97, MALAYALAM LETTER GA
U+0D18, \xe0\xb4\x98, MALAYALAM LETTER GHA
U+0D19, \xe0\xb4\x99, MALAYALAM LETTER NGA
U+0D1A, \xe0\xb4\x9a, MALAYALAM LETTER CA
U+0D1B, \xe0\xb4\x9b, MALAYALAM LETTER CHA
U+0D1C, \xe0\xb4\x9c, MALAYALAM LETTER JA
U+0D1D, \xe0\xb4\x9d, MALAYALAM LETTER JHA
U+0D1E, \xe0\xb4\x9e, MALAYALAM LETTER NYA
U+0D1F, \xe0\xb4\x9f, MALAYALAM LETTER TTA
U+0D20, \xe0\xb4\xa0, MALAYALAM LETTER TTHA
U+0D21, \xe0\xb4\xa1, MALAYALAM LETTER DDA
U+0D22, \xe0\xb4\xa2, MALAYALAM LETTER DDHA
U+0D23, \xe0\xb4\xa3, MALAYALAM LETTER NNA
U+0D24, \xe0\xb4\xa4, MALAYALAM LETTER TA
U+0D25, \xe0\xb4\xa5, MALAYALAM LETTER THA
U+0D26, \xe0\xb4\xa6, MALAYALAM LETTER DA
U+0D27, \xe0\xb4\xa7, MALAYALAM LETTER DHA
U+0D28, \xe0\xb4\xa8, MALAYALAM LETTER NA
U+0D29, \xe0\xb4\xa9, MALAYALAM LETTER NNNA
U+0D2A, \xe0\xb4\xaa, MALAYALAM LETTER PA
U+0D2B, \xe0\xb4\xab, MALAYALAM LETTER PHA
U+0D2C, \xe0\xb4\xac, MALAYALAM LETTER BA
U+0D2D, \xe0\xb4\xad, MALAYALAM LETTER BHA
U+0D2E, \xe0\xb4\xae, MALAYALAM LETTER MA
U+0D2F, \xe0\xb4\xaf, MALAYALAM LETTER YA
U+0D30, \xe0\xb4\xb0, MALAYALAM LETTER RA
U+0D31, \xe0\xb4\xb1, MALAYALAM LETTER RRA
U+0D32, \xe0\xb4\xb2, MALAYALAM LETTER LA
U+0D33, \xe0\xb4\xb3, MALAYALAM LETTER LLA
U+0D34, \xe0\xb4\xb4, MALAYALAM LETTER LLLA
U+0D35, \xe0\xb4\xb5, MALAYALAM LETTER VA
U+0D36, \xe0\xb4\xb6, MALAYALAM LETTER SHA
U+0D37, \xe0\xb4\xb7, MALAYALAM LETTER SSA
U+0D38, \xe0\xb4\xb8, MALAYALAM LETTER SA
U+0D39, \xe0\xb4\xb9, MALAYALAM LETTER HA
U+0D3A, \xe0\xb4\xba, MALAYALAM LETTER TTTA
U+0D3D, \xe0\xb4\xbd, MALAYALAM SIGN AVAGRAHA
U+0D3E, \xe0\xb4\xbe, MALAYALAM VOWEL SIGN AA
U+0D3F, \xe0\xb4\xbf, MALAYALAM VOWEL SIGN I
U+0D40, \xe0\xb5\x80, MALAYALAM VOWEL SIGN II
U+0D41, \xe0\xb5\x81, MALAYALAM VOWEL SIGN U
U+0D42, \xe0\xb5\x82, MALAYALAM VOWEL SIGN UU
U+0D43, \xe0\xb5\x83, MALAYALAM VOWEL SIGN VOCALIC R
U+0D44, \xe0\xb5\x84, MALAYALAM VOWEL SIGN VOCALIC RR
U+0D46, \xe0\xb5\x86, MALAYALAM VOWEL SIGN E
