# Unicode Characters in the Khmer Block
# Source: http://www.fileformat.info/info/unicode/block/khmer/list.htm
"U+17D5", "\xe1\x9f\x95", "KHMER SIGN BARIYOOSAN (U+17D5)"
"U+17D6", "\xe1\x9f\x96", "KHMER SIGN CAMNUC PII KUUH (U+17D6)"
"U+17D7", "\xe1\x9f\x97", "KHMER SIGN LEK TOO (U+17D7)"
"U+17D8", "\xe1\x9f\x98", "KHMER SIGN BEYYAL (U+17D8)"
"U+17D9", "\xe1\x9f\x99", "KHMER SIGN PHNAEK MUAN (U+17D9)"
"U+17DA", "\xe1\x9f\x9a", "KHMER SIGN KOOMUUT (U+17DA)"
"U+17DB", "\xe1\x9f\x9b", "KHMER CURRENCY SYMBOL RIEL (U+17DB)"
"U+17DC", "\xe1\x9f\x9c", "KHMER SIGN AVAKRAHASANYA (U+17DC)"
"U+17DD", "\xe1\x9f\x9d", "KHMER SIGN ATTHACAN (U+17DD)"
"U+17E0", "\xe1\x9f\xa0", "KHMER DIGIT ZERO (U+17E0)"
"U+17E1", "\xe1\x9f\xa1", "KHMER DIGIT ONE (U+17E1)"
"U+17E2", "\xe1\x9f\xa2", "KHMER DIGIT TWO (U+17E2)"
"U+17E3", "\xe1\x9f\xa3", "KHMER DIGIT THREE (U+17E3)"
"U+17E4", "\xe1\x9f\xa4", "KHMER DIGIT FOUR (U+17E4)"
"U+17E5", "\xe1\x9f\xa5", "KHMER DIGIT FIVE (U+17E5)"
"U+17E6", "\xe1\x9f\xa6", "KHMER DIGIT SIX (U+17E6)"
"U+17E7", "\xe1\x9f\xa7", "KHMER DIGIT SEVEN (U+17E7)"
"U+17E8", "\xe1\x9f\xa8", "KHMER DIGIT EIGHT (U+17E8)"
"U+17E9", "\xe1\x9f\xa9", "KHMER DIGIT NINE (U+17E9)"
"U+17F0", "\xe1\x9f\xb0", "KHMER SYMBOL LEK ATTAK SON (U+17F0)"
"U+17F1", "\xe1\x9f\xb1", "KHMER SYMBOL LEK ATTAK MUOY (U+17F1)"
"U+17F2", "\xe1\x9f\xb2", "KHMER SYMBOL LEK ATTAK PII (U+17F2)"
"U+17F3", "\xe1\x9f\xb3", "KHMER SYMBOL LEK ATTAK BEI (U+17F3)"
"U+17F4", "\xe1\x9f\xb4", "KHMER SYMBOL LEK ATTAK BUON (U+17F4)"
"U+17F5", "\xe1\x9f\xb5", "KHMER SYMBOL LEK ATTAK PRAM (U+17F5)"
"U+17F6", "\xe1\x9f\xb6", "KHMER SYMBOL LEK ATTAK PRAM-MUOY (U+17F6)"
"U+17F7", "\xe1\x9f\xb7", "KHMER SYMBOL LEK ATTAK PRAM-PII (U+17F7)"
"U+17F8", "\xe1\x9f\xb8", "KHMER SYMBOL LEK ATTAK PRAM-BEI (U+17F8)"
"U+17F9", "\xe1\x9f\xb9", "KHMER SYMBOL LEK ATTAK PRAM-BUON (U+17F9)"
